,model_type,n,alpha,l1_ratio,max_iter,n_estimators,max_features,max_depth,min_samples_split,min_samples_leaf,bootstrap,C,epsilon,kernel,activation,hidden_layer_sizes,solver
5a949d5c-a41f-4fa7-a51f-61aa59c60578,MLR,500,0.0010000000000000002,0.1,10000.0,,,,,,,,,,,,
c6c73fbd-dd67-44f6-b541-bd72268d193a,MLR,500,0.0316227766016838,0.55,10000.0,,,,,,,,,,,,
20658742-2344-465b-9ecb-d825fa459f15,MLR,500,0.1778279410038923,0.325,10000.0,,,,,,,,,,,,
9f8eecbc-57f0-4b17-8a8f-c649647c57dc,MLR,500,0.005623413251903493,0.775,10000.0,,,,,,,,,,,,
8ea09a65-dd6e-4689-bec0-f24150fc6654,MLR,500,0.013335214321633242,0.4375,10000.0,,,,,,,,,,,,
b35a4e30-48c6-4c44-89fd-3af9bc761fb0,MLR,500,0.4216965034285822,0.8875,10000.0,,,,,,,,,,,,
0734b37a-e428-4dd4-b601-87b2ebcc27a3,MLR,500,0.07498942093324559,0.21250000000000002,10000.0,,,,,,,,,,,,
757febad-44f9-4191-b509-33c9e92495a6,MLR,500,0.002371373705661656,0.6625,10000.0,,,,,,,,,,,,
692c729b-abe5-48fb-8970-d5248a0afa36,MLR,500,0.003651741272548378,0.38125,10000.0,,,,,,,,,,,,
00d94fdd-ca33-4913-98bb-51190ed1e0ed,MLR,500,0.11547819846894583,0.83125,10000.0,,,,,,,,,,,,
c628b01c-103b-42bd-b91c-30954bab4a6d,MLR,500,0.6493816315762113,0.15625,10000.0,,,,,,,,,,,,
fb52bb02-8401-49a1-8765-0627a2e33a85,MLR,500,0.020535250264571463,0.60625,10000.0,,,,,,,,,,,,
dd75f10a-92ee-4e60-a231-8fcaacfe9558,MLR,500,0.008659643233600656,0.26875000000000004,10000.0,,,,,,,,,,,,
825e36b0-8ca1-4662-8f29-264bc92b2bf3,MLR,500,0.27384196342643613,0.71875,10000.0,,,,,,,,,,,,
77c51d24-f572-47db-864c-d629af5aca22,MLR,500,0.04869675251658631,0.49375,10000.0,,,,,,,,,,,,
623d31c3-8594-4080-b9c8-af7a691afb73,MLR,500,0.0015399265260594922,0.94375,10000.0,,,,,,,,,,,,
411a2f50-5d49-4930-b8ee-2b99a6753f5d,RF,500,,,,1.0,0.010000000000000004,1.0,0.010000000000000004,0.010000000000000004,True,,,,,,
