,RADIUS,LENGTH,WALL,SHEAR,CIRCUM,FLOW,NODES,EDGES,GRADIUS,GDIAMETER,AVG_ECCENTRICITY,AVG_SHORTEST_PATH,AVG_IN_DEGREES,AVG_OUT_DEGREES,AVG_DEGREE,AVG_CLUSTERING,AVG_CLOSENESS,AVG_BETWEENNESS,AVG_CORENESS
0,7.737046499477534,34.641000000000005,2.4871374085684432,0.0682558040752351,119.62827429467085,85055918.33944617,1575,1914,56.0,110.0,79.94920634920635,40.72486476674533,1.2152380952380952,1.2152380952380952,2.4304761904761905,0.0125026488662852,0.0250104297974894,0.0048041355792308,1.9987301587301587
1,6.977449652777778,34.64100000000001,2.3144710648148146,0.0494250109953703,109.84304340277777,36793996.772743054,1425,1728,53.0,105.0,77.67719298245613,39.06680563768973,1.2126315789473685,1.2126315789473685,2.425263157894737,0.0201452330756617,0.026187496929584,0.0045129943305601,1.9985964912280705
2,7.096114795918367,34.641000000000005,2.338,0.052505075255102,111.62907971938776,44065185.17117348,1298,1568,54.0,107.0,76.22650231124807,35.97926113717445,1.2080123266563945,1.2080123266563945,2.416024653312789,0.014917695473251,0.0286713083714545,0.0056272248634621,1.9984591679506931
3,7.460581838565022,34.641000000000005,2.430439461883408,0.0493973452914798,112.16800896860988,50499157.3331278,1472,1784,58.0,112.0,83.8070652173913,42.69260688528951,1.2119565217391304,1.2119565217391304,2.4239130434782608,0.0163265306122448,0.023974202969021,0.0057758668226549,1.9986413043478264
4,7.695600815586769,34.641,2.4899062075215226,0.0607632560036248,118.84141821477118,65979959.66157679,1823,2207,55.0,103.0,81.11793746571585,41.66966490501598,1.210641799232035,1.210641799232035,2.42128359846407,0.0117151748123741,0.0246211209554544,0.0042049771013986,1.9989029072956663
5,7.7981977124182995,34.641000000000005,2.5097238562091504,0.0683303224400871,114.3916988017429,80331040.31911765,1504,1836,49.0,97.0,73.12101063829788,37.833588142863206,1.2207446808510638,1.2207446808510638,2.441489361702128,0.009542831779849,0.0270846243752726,0.0043715179753722,1.9986702127659572
6,7.890964757709251,34.641000000000005,2.534474118942731,0.0670890550660793,119.83049669603524,79659288.4104075,1503,1816,55.0,108.0,78.16234198270126,39.623252385597205,1.2082501663339986,1.2082501663339986,2.416500332667997,0.0088829669109482,0.0260056177189398,0.0043159181825157,1.9986693280106451
7,8.181211591033351,34.641000000000005,2.617080918534718,0.052264642427556,116.56720667031163,60990485.69420448,1520,1829,54.0,107.0,80.18947368421053,41.06950729357957,1.2032894736842106,1.2032894736842106,2.406578947368421,0.0149319279754062,0.0250101132205179,0.0078154636536698,1.998684210526316
8,7.58095181375203,34.641000000000005,2.4583784515430427,0.0629584834867352,116.43784136437466,65296678.97087169,1512,1847,49.0,96.0,73.18981481481481,37.38703826261735,1.2215608465608463,1.2215608465608463,2.443121693121693,0.0105960264900662,0.0275145354585708,0.0043820824077419,1.998015873015873
9,6.997682449819866,34.64100000000001,2.3232887287699437,0.0390138322182192,111.94244518785382,29701368.451621205,1623,1943,56.0,103.0,80.3690696241528,41.88001774734797,1.1971657424522488,1.1971657424522488,2.3943314849044977,0.0108986222496401,0.0244575730004246,0.0049781320038427,1.99815157116451
10,6.557759048603929,34.64100000000001,2.211474663908997,0.0355243035160289,108.4720961737332,21801311.78671148,1596,1934,53.0,105.0,77.63157894736842,39.463140610146056,1.2117794486215538,1.2117794486215538,2.423558897243108,0.0186114596403178,0.025991775013143,0.0055658928100843,1.99874686716792
11,6.426509405185562,34.641000000000005,2.175971021860702,0.0285528169801728,107.15783884087443,17034959.535790544,1621,1967,60.0,119.0,84.91116594694633,41.37278771677291,1.2134484885872918,1.2134484885872918,2.426896977174584,0.0096767551986823,0.0248602852073023,0.0073386709175258,1.998766193707588
12,7.473668053629218,34.641000000000005,2.4381123439667127,0.0503340485436893,117.06212436430884,49684121.28677762,1790,2163,55.0,107.0,80.2659217877095,41.25919227057968,1.2083798882681565,1.2083798882681565,2.416759776536313,0.012117822520507,0.0248581823385474,0.0045792612850775,1.9988826815642455
13,6.035045334739062,34.641000000000005,2.0669947285187136,0.0312019947285187,102.9598086452293,15498839.96515551,1581,1897,58.0,112.0,80.90765338393422,39.80461092562791,1.199873497786211,1.199873497786211,2.3997469955724227,0.0120329322355921,0.0258359800062003,0.0051976996780086,1.9987349778621128
14,7.912873751135332,34.641,2.541264759309718,0.0680172229791098,120.4048437783833,83815082.55590372,1800,2202,54.0,105.0,76.75444444444445,39.89777901303193,1.2233333333333334,1.2233333333333334,2.4466666666666668,0.0081572117167222,0.0256624810857171,0.0045612879455064,1.998888888888889
15,7.836702294685989,34.641000000000005,2.519382246376812,0.0669249492753623,115.8865634057971,79915734.56135266,1358,1656,53.0,102.0,76.68556701030928,38.20119535100277,1.219440353460972,1.219440353460972,2.4388807069219443,0.0162241887905604,0.0268374533799399,0.0058456796536493,1.9985272459499264
16,7.3926513605442175,34.64100000000001,2.4118786848072564,0.0580602806122449,116.395175170068,59754337.67125851,1458,1764,54.0,108.0,77.96570644718793,38.37684024806219,1.2098765432098766,1.2098765432098766,2.419753086419753,0.0123626373626373,0.026892171589076,0.0052373390894006,1.9986282578875167
17,6.139663561076604,34.641000000000005,2.0971997929606627,0.0315190155279503,104.06964285714284,17386552.14161491,1608,1932,56.0,108.0,81.10199004975124,41.465997640918,1.2014925373134329,1.2014925373134329,2.4029850746268657,0.0190950601909505,0.0247196922525418,0.0046318299005822,1.9987562189054728
18,8.46641926345609,34.64100000000001,2.683027195467422,0.071330797733711,121.58939150141642,94249151.03320114,1466,1765,53.0,106.0,76.31650750341065,39.36088169149179,1.203956343792633,1.203956343792633,2.407912687585266,0.0077413479052823,0.02610889775081,0.0061460608064168,1.9986357435197817
