,model_type,n,alpha,l1_ratio,max_iter,n_estimators,max_features,max_depth,min_samples_split,min_samples_leaf,bootstrap,C,epsilon,kernel,activation,hidden_layer_sizes,solver
59cdfce9-0e59-4bfc-a8f2-fed7d487e7f1,MLR,500,0.0010000000000000002,0.1,10000.0,,,,,,,,,,,,
d9fbd3b3-3f3e-49d8-b1be-f757131e5449,MLR,500,0.0316227766016838,0.55,10000.0,,,,,,,,,,,,
b7eead34-53de-43a8-8e3e-1b2afa1dd1e7,MLR,500,0.1778279410038923,0.325,10000.0,,,,,,,,,,,,
3881704e-3c2d-4f1f-8195-432fce0baa5b,MLR,500,0.005623413251903493,0.775,10000.0,,,,,,,,,,,,
d1410b24-5cdb-4aca-8a72-f5473b67295a,MLR,500,0.013335214321633242,0.4375,10000.0,,,,,,,,,,,,
6875be17-8aea-4c26-ae23-ecd9e798e146,MLR,500,0.4216965034285822,0.8875,10000.0,,,,,,,,,,,,
ca17e6fa-21fe-4015-a9c7-932ce0476cee,MLR,500,0.07498942093324559,0.21250000000000002,10000.0,,,,,,,,,,,,
79e39f97-3c7b-45af-987a-e597ada5d931,MLR,500,0.002371373705661656,0.6625,10000.0,,,,,,,,,,,,
f142b4a1-3253-4636-8ba1-388b49243561,MLR,500,0.003651741272548378,0.38125,10000.0,,,,,,,,,,,,
26c5daea-e548-43d2-a20a-fd440fd9ea7b,MLR,500,0.11547819846894583,0.83125,10000.0,,,,,,,,,,,,
7a3bceca-e200-4a7b-a4c6-c146385c7043,MLR,500,0.6493816315762113,0.15625,10000.0,,,,,,,,,,,,
9f486412-9acc-47a0-97b3-6a0cd005ba08,MLR,500,0.020535250264571463,0.60625,10000.0,,,,,,,,,,,,
05af3f71-ebd0-4552-b7d1-c27a55b9a2e7,MLR,500,0.008659643233600656,0.26875000000000004,10000.0,,,,,,,,,,,,
eef7e561-6fa1-4961-9880-5ad2365c2510,MLR,500,0.27384196342643613,0.71875,10000.0,,,,,,,,,,,,
abb66efa-6f8b-4a0d-b01e-03b032bfdbe8,MLR,500,0.04869675251658631,0.49375,10000.0,,,,,,,,,,,,
d4edb9e9-1701-4719-80ec-25240ba7291c,MLR,500,0.0015399265260594922,0.94375,10000.0,,,,,,,,,,,,
d0411a56-7373-429f-8710-4a83dc1d50c8,RF,500,,,,1.0,0.010000000000000004,1.0,0.010000000000000004,0.010000000000000004,True,,,,,,
5ad5f80d-bfed-487c-bb36-01604c9f7c78,RF,500,,,,1.0,0.010000000000000004,1.0,0.010000000000000004,0.010000000000000004,False,,,,,,
4c9721e5-95d0-42d9-acea-74a5fb3098f9,RF,500,,,,50.0,0.10000000000000002,50.0,0.10000000000000002,0.10000000000000002,True,,,,,,
270687d8-3f40-4580-ae9a-3bc33efbd2b0,RF,500,,,,50.0,0.10000000000000002,50.0,0.10000000000000002,0.10000000000000002,False,,,,,,
bd095845-36bf-4b31-8aa9-bfeb9f225ae4,RF,500,,,,75.0,0.0316227766016838,26.0,0.0316227766016838,0.31622776601683805,True,,,,,,
