,model_type,n,C,epsilon,kernel
7204b88a-14d8-4e66-82ba-291a151b8a54,SVR,500,0.10000000000000002,0.0010000000000000002,
b5b0662f-820c-4c00-9a59-2a8dda584eff,SVR,500,0.10000000000000002,0.0010000000000000002,poly
9cb51cf2-22a9-40e7-bce1-a8dce57ffa3c,SVR,500,0.10000000000000002,0.0010000000000000002,rbf
d2cbec4e-226b-443d-b770-2a4a9f7bfe0f,SVR,500,0.10000000000000002,0.0010000000000000002,sigmoid
d74ebd80-4f77-429c-9848-ac78d94fcbf3,SVR,500,3.1622776601683795,0.0316227766016838,
07bbc849-c030-4b9a-b8d2-2be798d16035,SVR,500,3.1622776601683795,0.0316227766016838,poly
8f8f9702-2af9-4108-8f04-d43d05fa5d95,SVR,500,3.1622776601683795,0.0316227766016838,rbf
7f631e01-e317-4257-878d-0185fd54a1d9,SVR,500,3.1622776601683795,0.0316227766016838,sigmoid
8e937442-4d5e-418c-a1dd-36d7e668e989,SVR,500,17.78279410038923,0.005623413251903493,
bb7335e2-d6a9-4877-994f-783615707264,SVR,500,17.78279410038923,0.005623413251903493,poly
6b5ec69f-3c76-47a6-a7f6-2d8f621af6ac,SVR,500,17.78279410038923,0.005623413251903493,rbf
2a9e1a7d-2f10-4c0d-b79d-aaf0f28f2120,SVR,500,17.78279410038923,0.005623413251903493,sigmoid
49c05714-00b3-4805-a7ce-28b8f00cbd04,SVR,500,0.5623413251903492,0.1778279410038923,
4b587241-d900-401a-9497-71fb4b32c903,SVR,500,0.5623413251903492,0.1778279410038923,poly
cd3aa73c-ea25-4a48-9ab3-5efc38e4515b,SVR,500,0.5623413251903492,0.1778279410038923,rbf
81af2c96-aa84-4844-9415-f1d40edf33e1,SVR,500,0.5623413251903492,0.1778279410038923,sigmoid
4417cde5-9908-45a5-9cb7-7e7cc2b79699,SVR,500,1.3335214321633242,0.013335214321633242,
eff90a45-f7a0-48d5-9e94-da917f78a0b3,SVR,500,1.3335214321633242,0.013335214321633242,poly
a5120fbd-40df-404b-aa44-c7e12f87d915,SVR,500,1.3335214321633242,0.013335214321633242,rbf
b33bedc8-c082-480f-bcbc-65c630aa86a2,SVR,500,1.3335214321633242,0.013335214321633242,sigmoid
153af349-8d04-4fff-be34-90d43a702d9a,SVR,500,42.169650342858226,0.4216965034285822,
8b4d95a2-6710-446c-ba92-4873a6f9b885,SVR,500,42.169650342858226,0.4216965034285822,poly
c7bc16f1-2fa7-4ba7-adb9-8561604ee580,SVR,500,42.169650342858226,0.4216965034285822,rbf
b0bddfc8-ca99-46e4-98ea-490dbef31f64,SVR,500,42.169650342858226,0.4216965034285822,sigmoid
9ef928e5-0ec0-4857-b70d-85e8326cd726,SVR,500,7.498942093324559,0.002371373705661656,
3e90c070-f3af-4060-a76f-378b1dfbe6a7,SVR,500,7.498942093324559,0.002371373705661656,poly
ec4852cf-7c5c-4c47-b547-995b6c99758a,SVR,500,7.498942093324559,0.002371373705661656,rbf
057465c7-ac53-40b0-9f56-7dd7553a11d1,SVR,500,7.498942093324559,0.002371373705661656,sigmoid
