Unnamed: 0,SVR,set,MLR,RF,MLP
0,0.6725175643086416,train,0.6499364426263139,0.6425979812044972,0.6438726004505839
1,0.6418881915190277,test,0.6517469375436821,0.6655439631468931,0.6245273499950423
2,0.6942893935437434,test,0.6587425233683999,0.6483844761425495,0.6514172598994767
3,0.6009840270476989,train,0.6033483510149301,0.6368907116248208,0.5669016384272578
4,0.6720195903967964,test,0.6768091601096572,0.6656052369738945,0.6634629498651206
5,0.6630276850948987,train,0.6746833262437568,0.6486481488190129,0.6667411657892032
6,0.6167247675778194,train,0.6500819903511543,0.6337991386875634,0.666169786501218
7,0.6319918962800285,test,0.6613584791652848,0.6633377952076,0.6558835409127219
8,0.6911034941721625,test,0.6757895421002762,0.6611046837973326,0.6742165957307441
9,0.6885011571378694,test,0.6585687684837481,0.6638056452784401,0.6701617000867348
10,0.6445231045453176,test,0.6115787281430877,0.6540192265289788,0.6245584345557031
11,0.5820114255613356,train,0.6451903779568839,0.6329198707275909,0.6393880256985924
12,0.7040291443356027,train,0.6671058914255131,0.6896257538318512,0.6543781835096034
13,0.6237802998721809,test,0.6825023636013596,0.6496041811190943,0.691129846155437
14,0.6370731320048084,test,0.6550806924450134,0.6655694008740761,0.6535786871580366
15,0.6738233050061994,test,0.6792556476701861,0.6686806435822639,0.6574561633328918
16,0.6850942349141631,test,0.704505035117947,0.6555851962721325,0.6834488223721668
17,0.6517265728802215,train,0.6541026686953102,0.6607116640339038,0.6682148682247192
18,0.6195626946020523,train,0.6265319220537025,0.6525052482322611,0.6236190333814108
19,0.6669819652473852,train,0.638421582564598,0.6491393899938409,0.6374788473610443
20,0.6253394349789887,train,0.6500248495151669,0.6389274329236603,0.6564604850406062
21,0.627983978961275,train,0.6699700899568636,0.6562913463389038,0.6508078371397567
22,0.6567318864476114,train,0.6707746677659571,0.6514153774906589,0.6718176191859154
23,0.6628099436525037,train,0.6979044481068678,0.6460577087127153,0.6932213762638809
24,0.6733081767127311,test,0.6364846238096894,0.6478280995268919,0.6308001093624397
25,0.6315976403591477,train,0.6544119918534658,0.6535653008316742,0.6482885081745995
26,0.6716385866065661,train,0.6668430253678103,0.6608936427337009,0.6673023628073397
27,0.6796170635559727,test,0.6158755132928351,0.6475056791239969,0.6324857548279686
28,0.6411241591130796,train,0.6720016742289939,0.6454721333068338,0.6475790413448312
29,0.6367295312877327,train,0.6589090119835289,0.6404656591685166,0.6371245439544367
30,0.6836874765381055,train,0.6730526974881604,0.6527705648442855,0.6790295877447834
31,0.6874905034487595,test,0.6877629220765633,0.6536861424889306,0.6789169801651916
32,0.5984698583235994,train,0.6323091659531583,0.6414874206712522,0.6164522310775743
33,0.6468989141076656,train,0.6456793421863789,0.6494629916579089,0.6338348344193339
34,0.6334085375046967,test,0.6822993595335171,0.6453064283661258,0.6614986095058958
35,0.6352606772582394,train,0.6429618648441464,0.6451446276827763,0.6461387054909412
36,0.6686979515624603,train,0.6800592869480445,0.6767370530429581,0.6720925080146442
37,0.5782579759253959,train,0.6438506812586208,0.6350587999685863,0.6315491141850633
38,0.6784570302646066,train,0.6756244156095483,0.6422368604611783,0.6672741915660505
39,0.6537312490069574,train,0.6025978118680128,0.6489684202359732,0.6277753249801664
40,0.6203949035825052,train,0.6546468788526815,0.6350095315972822,0.6480769713077582
41,0.6624431592788395,train,0.6725278220190499,0.6528158488483413,0.6621056601365166
42,0.6886044583274353,train,0.6462185117691663,0.6634997732666658,0.6679142679827614
43,0.654552634342498,train,0.6473713224537745,0.6493162034026171,0.651260553193697
44,0.6449877070727383,train,0.6574479554336966,0.6543821555893536,0.6528763910740041
45,0.6607706239305918,train,0.6570078462268449,0.6452629596154079,0.6684064453608183
46,0.6413471106492611,train,0.6690631417917036,0.6505489584824528,0.6550161443583749
47,0.6522050421012711,test,0.6679728020686663,0.6587348034456619,0.6609634432255981
48,0.652572872218543,test,0.6774977413707095,0.6511505328508869,0.6779589309207676
49,0.6681165386365387,test,0.6597532940396386,0.6478806793500443,0.6450735768910655
50,0.5944382845146889,train,0.6239203144198702,0.6369809929022436,0.6137161305202179
51,0.6908412253214039,train,0.6781510806096478,0.6641973053425355,0.674795568536338
52,0.6147308653430701,test,0.6320594848062514,0.6471001788453384,0.6324971718742339
53,0.6472961998534639,test,0.6825048042700367,0.658144027590301,0.652513501339509
54,0.6939354140033205,train,0.7095923037260133,0.6731867488813451,0.7020454443710749
55,0.5943065639528855,train,0.6238445129610855,0.6349244910457724,0.6169909355677919
56,0.5603105121190901,train,0.6177464112469822,0.6280411424513124,0.6072753157553631
