,model_type,n,alpha,l1_ratio,max_iter,n_estimators,max_features,max_depth,min_samples_split,min_samples_leaf,bootstrap,C,epsilon,kernel,activation,hidden_layer_sizes,solver
2e051465-7bbd-4f0e-845e-94b8c01ec756,MLR,494,0.0010000000000000002,0.1,10000.0,,,,,,,,,,,,
9abedbf3-b307-48cb-9d15-ea905b35d82c,MLR,494,0.0316227766016838,0.55,10000.0,,,,,,,,,,,,
bad3efbb-056e-4ad0-8193-d189ee6b6d56,MLR,494,0.1778279410038923,0.325,10000.0,,,,,,,,,,,,
17b445a8-209c-498f-94d8-e29761f5a145,MLR,494,0.005623413251903493,0.775,10000.0,,,,,,,,,,,,
d5d5288b-de9c-46fb-a1e1-74bb7bd85d7e,MLR,494,0.013335214321633242,0.4375,10000.0,,,,,,,,,,,,
e3c114fa-af6b-4db5-9acf-de120b32f24f,MLR,494,0.4216965034285822,0.8875,10000.0,,,,,,,,,,,,
33de7b1e-fcd7-4713-ba51-ebe1ded0d371,MLR,494,0.07498942093324559,0.21250000000000002,10000.0,,,,,,,,,,,,
0ba67db2-63e7-443f-966b-f91ea4b6a668,MLR,494,0.002371373705661656,0.6625,10000.0,,,,,,,,,,,,
f8095497-81d0-4a60-8425-34969225b388,MLR,494,0.003651741272548378,0.38125,10000.0,,,,,,,,,,,,
430afd2d-d41d-49ab-beca-13bb43607b6f,MLR,494,0.11547819846894583,0.83125,10000.0,,,,,,,,,,,,
68d35ac1-4d33-4744-9f73-d4805cce60f5,MLR,494,0.6493816315762113,0.15625,10000.0,,,,,,,,,,,,
00f7163c-baed-4abe-952a-f180f50e1488,MLR,494,0.020535250264571463,0.60625,10000.0,,,,,,,,,,,,
7fe34413-7dcc-43de-9b1f-7d264bf8eec1,MLR,494,0.008659643233600656,0.26875000000000004,10000.0,,,,,,,,,,,,
b6201ca1-19fd-4ffc-98e4-423b7352d367,MLR,494,0.27384196342643613,0.71875,10000.0,,,,,,,,,,,,
fe0407e0-2eda-4802-b2fa-9f85b29cdae1,MLR,494,0.04869675251658631,0.49375,10000.0,,,,,,,,,,,,
a6661aef-7401-495f-b209-274a3dd6e9fd,MLR,494,0.0015399265260594922,0.94375,10000.0,,,,,,,,,,,,
63304c83-bb39-462c-9e47-1ba9199b4268,RF,494,,,,1.0,0.010000000000000004,1.0,0.010000000000000004,0.010000000000000004,True,,,,,,
97beb047-b9b0-439f-90f5-fe9e86e3f51d,RF,494,,,,1.0,0.010000000000000004,1.0,0.010000000000000004,0.010000000000000004,False,,,,,,
03d0187f-6674-4f22-8424-9f08b8b8ef2b,RF,494,,,,50.0,0.10000000000000002,50.0,0.10000000000000002,0.10000000000000002,True,,,,,,
def1f19a-343c-4a6a-8f52-8b0c96d6a810,RF,494,,,,50.0,0.10000000000000002,50.0,0.10000000000000002,0.10000000000000002,False,,,,,,
b922d8a3-f2d0-4c8a-9136-2a3380cd2bd3,RF,494,,,,75.0,0.0316227766016838,26.0,0.0316227766016838,0.31622776601683805,True,,,,,,
f986c286-08e6-4f3d-855d-9febdb0b92f0,RF,494,,,,75.0,0.0316227766016838,26.0,0.0316227766016838,0.31622776601683805,False,,,,,,
6742329c-dd4e-453d-b8be-b0fb3ca454db,RF,494,,,,26.0,0.31622776601683805,75.0,0.31622776601683805,0.0316227766016838,True,,,,,,
53e7333b-da07-47eb-9d25-1a3abc61dc58,RF,494,,,,26.0,0.31622776601683805,75.0,0.31622776601683805,0.0316227766016838,False,,,,,,
0cd421f9-d341-4580-87c7-2ca4299cfc16,RF,494,,,,38.0,0.05623413251903493,63.0,0.562341325190349,0.05623413251903493,True,,,,,,
2a331ff7-90a3-4508-8651-7927be11b05a,RF,494,,,,38.0,0.05623413251903493,63.0,0.562341325190349,0.05623413251903493,False,,,,,,
7230e3c4-5cee-4c40-8447-f095930503c1,RF,494,,,,88.0,0.562341325190349,13.0,0.05623413251903493,0.562341325190349,True,,,,,,
b58307fb-7a72-4e3d-9729-8f0e05880e9d,RF,494,,,,88.0,0.562341325190349,13.0,0.05623413251903493,0.562341325190349,False,,,,,,
1dd5a337-996f-410c-a8cb-c937b009cf47,RF,494,,,,63.0,0.017782794100389243,88.0,0.1778279410038923,0.1778279410038923,True,,,,,,
be7704dc-cce4-490b-bb11-dd33d8ea084a,RF,494,,,,63.0,0.017782794100389243,88.0,0.1778279410038923,0.1778279410038923,False,,,,,,
24da069f-15aa-4abb-a4be-62296487c41f,RF,494,,,,13.0,0.1778279410038923,38.0,0.017782794100389243,0.017782794100389243,True,,,,,,
3f4de4a7-4316-42be-981f-fd84bc45eea8,RF,494,,,,13.0,0.1778279410038923,38.0,0.017782794100389243,0.017782794100389243,False,,,,,,
d0401eb8-4891-4183-8aac-56d42c121d5d,RF,494,,,,20.0,0.04216965034285824,94.0,0.07498942093324559,0.13335214321633243,True,,,,,,
30e3290f-c277-4feb-b0dc-dfb9834bfb96,RF,494,,,,20.0,0.04216965034285824,94.0,0.07498942093324559,0.13335214321633243,False,,,,,,
1302cb0b-e6b4-468a-97f6-0eaefed885c6,RF,494,,,,69.0,0.4216965034285822,44.0,0.7498942093324561,0.013335214321633242,True,,,,,,
ec4a946d-041a-4ab3-a462-054cbf6b99f2,RF,494,,,,69.0,0.4216965034285822,44.0,0.7498942093324561,0.013335214321633242,False,,,,,,
af7c1973-2357-4a5d-a5bf-524dd52b47b6,RF,494,,,,94.0,0.013335214321633242,69.0,0.023713737056616564,0.04216965034285824,True,,,,,,
3d000267-387a-4eb0-a885-8def935d41f1,RF,494,,,,94.0,0.013335214321633242,69.0,0.023713737056616564,0.04216965034285824,False,,,,,,
5aac6f2e-b8f4-456c-b7a7-4e0477a5715f,RF,494,,,,44.0,0.13335214321633243,20.0,0.23713737056616557,0.4216965034285822,True,,,,,,
e0cca3f7-38e8-423a-8147-62e2619056da,RF,494,,,,44.0,0.13335214321633243,20.0,0.23713737056616557,0.4216965034285822,False,,,,,,
aa2fc05c-54b8-4cc4-a641-3574ba4d0dca,RF,494,,,,32.0,0.023713737056616564,32.0,0.13335214321633243,0.7498942093324561,True,,,,,,
73f8d059-983e-4536-adb6-cc16a6b006d5,RF,494,,,,32.0,0.023713737056616564,32.0,0.13335214321633243,0.7498942093324561,False,,,,,,
4c8d8394-3ecc-471a-a39e-a52ba4f6463d,RF,494,,,,81.0,0.23713737056616557,81.0,0.013335214321633242,0.07498942093324559,True,,,,,,
12165b0f-1ad9-4cda-97e4-2a174e1aa713,RF,494,,,,81.0,0.23713737056616557,81.0,0.013335214321633242,0.07498942093324559,False,,,,,,
2ae22bc8-75d4-4c1b-b9b9-ca04da53025d,RF,494,,,,57.0,0.07498942093324559,7.0,0.4216965034285822,0.023713737056616564,True,,,,,,
781f498c-98e3-483d-ad78-06bbc3ead115,RF,494,,,,57.0,0.07498942093324559,7.0,0.4216965034285822,0.023713737056616564,False,,,,,,
f833266d-8ec7-4952-a363-3a820f1e558d,RF,494,,,,7.0,0.7498942093324561,57.0,0.04216965034285824,0.23713737056616557,True,,,,,,
845ce4eb-4367-4704-a228-ffe0a7903300,RF,494,,,,7.0,0.7498942093324561,57.0,0.04216965034285824,0.23713737056616557,False,,,,,,
5b6ab23c-ec7d-4429-bd59-49b6fe462d9b,SVR,494,,,,,,,,,,0.10000000000000002,0.0010000000000000002,linear,,,
530bbeba-379a-4b9f-87ac-b633f3292271,SVR,494,,,,,,,,,,0.10000000000000002,0.0010000000000000002,poly,,,
50929fe3-691d-44e5-940c-5781a52fb267,SVR,494,,,,,,,,,,0.10000000000000002,0.0010000000000000002,rbf,,,
fb83c639-1fd2-473e-861a-08aba88570f9,SVR,494,,,,,,,,,,0.10000000000000002,0.0010000000000000002,sigmoid,,,
1fb16421-c4b5-4635-95cb-a67be34fa1e9,SVR,494,,,,,,,,,,3.1622776601683795,0.0316227766016838,linear,,,
df9a5c08-127e-4ecc-988f-1cdfe8adf467,SVR,494,,,,,,,,,,3.1622776601683795,0.0316227766016838,poly,,,
e72455c2-6814-4367-9f13-17d500a1b580,SVR,494,,,,,,,,,,3.1622776601683795,0.0316227766016838,rbf,,,
8b4adc33-51ac-4f52-ade6-76253cadde82,SVR,494,,,,,,,,,,3.1622776601683795,0.0316227766016838,sigmoid,,,
6a231358-2622-4057-a746-9911b3b70708,SVR,494,,,,,,,,,,17.78279410038923,0.005623413251903493,linear,,,
67b586bb-48ea-48ca-a989-5e81225e5210,SVR,494,,,,,,,,,,17.78279410038923,0.005623413251903493,poly,,,
6c503f1f-569f-42a2-96bb-d9deb1cfb6ee,SVR,494,,,,,,,,,,17.78279410038923,0.005623413251903493,rbf,,,
9022b731-d382-4c1b-be29-d9210ff3cc4d,SVR,494,,,,,,,,,,17.78279410038923,0.005623413251903493,sigmoid,,,
19516205-5f6d-4b24-879b-e13636ad7061,SVR,494,,,,,,,,,,0.5623413251903492,0.1778279410038923,linear,,,
a56426bf-f071-4e7c-9493-89d0bd7e48ff,SVR,494,,,,,,,,,,0.5623413251903492,0.1778279410038923,poly,,,
29f98213-89ff-4001-8251-357a171c588d,SVR,494,,,,,,,,,,0.5623413251903492,0.1778279410038923,rbf,,,
70c43385-bbb4-4124-a3ba-f53a94c0d9a7,SVR,494,,,,,,,,,,0.5623413251903492,0.1778279410038923,sigmoid,,,
505753d2-0619-440a-bd48-c675e3526643,SVR,494,,,,,,,,,,1.3335214321633242,0.013335214321633242,linear,,,
eab7b9ac-1e07-4a80-a3bd-dda483665992,SVR,494,,,,,,,,,,1.3335214321633242,0.013335214321633242,poly,,,
0febaf7d-757c-474c-b306-41412c830422,SVR,494,,,,,,,,,,1.3335214321633242,0.013335214321633242,rbf,,,
9acc4ac7-ad67-4875-9ff6-f01eb0216096,SVR,494,,,,,,,,,,1.3335214321633242,0.013335214321633242,sigmoid,,,
203beec7-766a-4e72-8968-b984632c33b6,SVR,494,,,,,,,,,,42.169650342858226,0.4216965034285822,linear,,,
0a2cc379-86c6-4042-83cb-aa40a700d564,SVR,494,,,,,,,,,,42.169650342858226,0.4216965034285822,poly,,,
9212e942-e4a6-4648-9df6-a4a356d5862c,SVR,494,,,,,,,,,,42.169650342858226,0.4216965034285822,rbf,,,
6327ed00-0b13-4df0-bf3c-629f3516f3cb,SVR,494,,,,,,,,,,42.169650342858226,0.4216965034285822,sigmoid,,,
78113678-e792-4709-8b9a-653f1dd3d595,SVR,494,,,,,,,,,,7.498942093324559,0.002371373705661656,linear,,,
775d95e1-fb34-4490-b7db-6fd5384971c3,SVR,494,,,,,,,,,,7.498942093324559,0.002371373705661656,poly,,,
2721f426-a1d3-4bbf-93b6-865d91f5dfc9,SVR,494,,,,,,,,,,7.498942093324559,0.002371373705661656,rbf,,,
1672ec63-d602-4c73-8ca2-9077a76e1078,SVR,494,,,,,,,,,,7.498942093324559,0.002371373705661656,sigmoid,,,
14c0a7d3-c20c-4b7b-a50c-b43e21ad0db6,SVR,494,,,,,,,,,,0.23713737056616557,0.07498942093324559,linear,,,
0c854b72-cc8b-44bb-a081-c614f43b6067,SVR,494,,,,,,,,,,0.23713737056616557,0.07498942093324559,poly,,,
