feature,timepoint,context,response,model,R^2,num_observations,set,se_lower,se_upper
topo,0,C,ACTIVITY,MLR,0.8232525602831245,50,TRAIN,0.8106085614360256,0.8358965591302235
topo,0,C,ACTIVITY,RF,0.7397042409139466,50,TRAIN,0.7318729359603796,0.7475355458675136
topo,0,C,ACTIVITY,SVR,0.6435347508085681,50,TRAIN,0.629236296489501,0.6578332051276353
topo,0,C,ACTIVITY,MLP,0.09578077943029817,50,TRAIN,0.06342118408803675,0.12814037477255957
topo,0,C,ACTIVITY,MLR,0.5213309834440755,100,TRAIN,0.5073037507806148,0.5353582161075361
topo,0,C,ACTIVITY,RF,0.6120984462151499,100,TRAIN,0.6024325662019562,0.6217643262283435
topo,0,C,ACTIVITY,SVR,0.6015366372797456,100,TRAIN,0.5867707667957789,0.6163025077637123
topo,0,C,ACTIVITY,MLP,0.28807703218348096,100,TRAIN,0.26064993269189096,0.31550413167507096
topo,0,C,ACTIVITY,MLR,0.4607796049305148,150,TRAIN,0.44830326361849865,0.4732559462425309
topo,0,C,ACTIVITY,RF,0.5557701400213374,150,TRAIN,0.546329846622381,0.5652104334202938
topo,0,C,ACTIVITY,SVR,0.6012767934073188,150,TRAIN,0.5895515664322553,0.6130020203823823
topo,0,C,ACTIVITY,MLP,0.3924758920703964,150,TRAIN,0.372081676079613,0.4128701080611798
topo,0,C,ACTIVITY,MLR,0.3949171553082135,200,TRAIN,0.38561752014693096,0.404216790469496
topo,0,C,ACTIVITY,RF,0.4823714227935447,200,TRAIN,0.47587168106465616,0.4888711645224333
topo,0,C,ACTIVITY,SVR,0.5664845119365389,200,TRAIN,0.5597728326528899,0.573196191220188
topo,0,C,ACTIVITY,MLP,0.4106314564750788,200,TRAIN,0.39304286206219474,0.4282200508879629
topo,0,C,ACTIVITY,MLR,0.3796737125574216,250,TRAIN,0.3705350154100385,0.3888124097048047
topo,0,C,ACTIVITY,RF,0.4570996577288568,250,TRAIN,0.44945656194162614,0.46474275351608746
topo,0,C,ACTIVITY,SVR,0.5455811845392214,250,TRAIN,0.5350883749292239,0.556073994149219
topo,0,C,ACTIVITY,MLP,0.4454331679058186,250,TRAIN,0.4307739874257224,0.4600923483859148
topo,0,C,ACTIVITY,MLR,0.3532654383579992,300,TRAIN,0.3444572144450388,0.36207366227095955
topo,0,C,ACTIVITY,RF,0.4284380876139375,300,TRAIN,0.4216901484733349,0.43518602675454005
