R^2,set,model,context,response,feature,se
0.2094326430609706,TRAIN,MLR,C,ACTIVITY,naive,0.0063257166059733265
0.17298434045475936,TEST,MLR,C,ACTIVITY,naive,0.012794430630434133
0.5159662947901157,TRAIN,RF,C,ACTIVITY,naive,0.00643551792076719
0.22270997402021547,TEST,RF,C,ACTIVITY,naive,0.015168086734984395
0.46112693856558656,TRAIN,SVR,C,ACTIVITY,naive,0.008482083670677813
0.16632590758113372,TEST,SVR,C,ACTIVITY,naive,0.03004840576987841
0.3574277879420519,TRAIN,MLP,C,ACTIVITY,naive,0.009826466136334037
0.24541776559705886,TEST,MLP,C,ACTIVITY,naive,0.017038577491921614
0.24135444208375664,TRAIN,MLR,C,GROWTH,naive,0.005118360224685622
0.17025770755162323,TEST,MLR,C,GROWTH,naive,0.010853824555012923
0.39067895038800526,TRAIN,RF,C,GROWTH,naive,0.005529080331237597
0.25788720496191403,TEST,RF,C,GROWTH,naive,0.013248719207937567
0.3544196386325065,TRAIN,SVR,C,GROWTH,naive,0.011339241383172152
0.22590147663424096,TEST,SVR,C,GROWTH,naive,0.02422594842233295
0.35539956552661306,TRAIN,MLP,C,GROWTH,naive,0.015594217553181326
0.21084192560317433,TEST,MLP,C,GROWTH,naive,0.013141059894292585
0.024833044618041124,TRAIN,MLR,C,SYMMETRY,naive,0.0035964313213893576
0.00267130930395072,TEST,MLR,C,SYMMETRY,naive,0.0061775561447726
0.0974631349076016,TRAIN,RF,C,SYMMETRY,naive,0.0030289910362068812
0.0009464456881623007,TEST,RF,C,SYMMETRY,naive,0.0065683036344713255
0.3011691823496463,TRAIN,SVR,C,SYMMETRY,naive,0.004804636349470927
-0.04564901266975043,TEST,SVR,C,SYMMETRY,naive,0.017528871080941904
0.047681215462829774,TRAIN,MLP,C,SYMMETRY,naive,0.0042443601052749285
-0.014807448537999668,TEST,MLP,C,SYMMETRY,naive,0.01182398834974997
0.3449692860224536,TRAIN,MLR,C,ACTIVITY,topo,0.0070310426738680355
0.23497523300251016,TEST,MLR,C,ACTIVITY,topo,0.01700812131692482
0.4506407158472808,TRAIN,RF,C,ACTIVITY,topo,0.003347200881130709
0.27171399008544866,TEST,RF,C,ACTIVITY,topo,0.010472173207222258
0.48716588146620765,TRAIN,SVR,C,ACTIVITY,topo,0.008050102195789333
0.2765959453461899,TEST,SVR,C,ACTIVITY,topo,0.012349116747871649
0.5271850386939004,TRAIN,MLP,C,ACTIVITY,topo,0.016691335827898023
0.18447889240286938,TEST,MLP,C,ACTIVITY,topo,0.026722511665171922
0.3781372646833298,TRAIN,MLR,C,GROWTH,topo,0.008814336879026453
0.2577685510549843,TEST,MLR,C,GROWTH,topo,0.020701741782529932
0.4837305044935597,TRAIN,RF,C,GROWTH,topo,0.010645366719689239
0.241019487618021,TEST,RF,C,GROWTH,topo,0.031805676155008046
0.4962934138089218,TRAIN,SVR,C,GROWTH,topo,0.004476709161577029
0.237100621534299,TEST,SVR,C,GROWTH,topo,0.014913138914957455
0.48803308491976666,TRAIN,MLP,C,GROWTH,topo,0.00965309108762352
0.2124850765803809,TEST,MLP,C,GROWTH,topo,0.033862688101202354
0.09021350879971078,TRAIN,MLR,C,SYMMETRY,topo,0.003362831806447213
-0.022638853809318772,TEST,MLR,C,SYMMETRY,topo,0.009068000636524158
0.10181617338053109,TRAIN,RF,C,SYMMETRY,topo,0.004053613711383194
-0.00780995473359587,TEST,RF,C,SYMMETRY,topo,0.007399172694013918
0.33578177782714175,TRAIN,SVR,C,SYMMETRY,topo,0.0038880199560287275
-0.08387509111929237,TEST,SVR,C,SYMMETRY,topo,0.015897598728901705
0.06235933258388541,TRAIN,MLP,C,SYMMETRY,topo,0.011101774367136281
-0.04032227947192395,TEST,MLP,C,SYMMETRY,topo,0.020367582835216898
0.3717348975109578,TRAIN,MLR,C,ACTIVITY,spatial,0.007665923237205104
0.24398666282417766,TEST,MLR,C,ACTIVITY,spatial,0.02193830458980432
0.46656163749540996,TRAIN,RF,C,ACTIVITY,spatial,0.008335993538684387
0.22873981052073217,TEST,RF,C,ACTIVITY,spatial,0.03410823789315617
0.5407002950464229,TRAIN,SVR,C,ACTIVITY,spatial,0.00663680444100079
0.19754191167062035,TEST,SVR,C,ACTIVITY,spatial,0.021555737055944116
0.6117694982345666,TRAIN,MLP,C,ACTIVITY,spatial,0.02043257813618358
0.15898858480174155,TEST,MLP,C,ACTIVITY,spatial,0.0235024829327088
0.41096321082729387,TRAIN,MLR,C,GROWTH,spatial,0.008744256666172207
0.271351303761435,TEST,MLR,C,GROWTH,spatial,0.022529820705399564
0.4804272607503706,TRAIN,RF,C,GROWTH,spatial,0.004445042678988939
0.2782140708479121,TEST,RF,C,GROWTH,spatial,0.01165351958904191
0.40404889078023337,TRAIN,SVR,C,GROWTH,spatial,0.009927404372063723
0.2589238547732642,TEST,SVR,C,GROWTH,spatial,0.025674118968038943
0.46209940820773265,TRAIN,MLP,C,GROWTH,spatial,0.014552736064613313
0.26910917162622894,TEST,MLP,C,GROWTH,spatial,0.020974428948314094
0.0,TRAIN,MLR,C,SYMMETRY,spatial,0.0
-0.006635780068969787,TEST,MLR,C,SYMMETRY,spatial,0.002999149913908037
0.16040890988891196,TRAIN,RF,C,SYMMETRY,spatial,0.00219681206930929
-0.009084067154199104,TEST,RF,C,SYMMETRY,spatial,0.00492700616477977
0.34834681864416167,TRAIN,SVR,C,SYMMETRY,spatial,0.003752741281757804
-0.05594189952755245,TEST,SVR,C,SYMMETRY,spatial,0.01174080191303602
0.038558398758997615,TRAIN,MLP,C,SYMMETRY,spatial,0.004980568315049883
-0.003651038486727509,TEST,MLP,C,SYMMETRY,spatial,0.007304261684452919
0.1276695156335781,TRAIN,MLR,CH,ACTIVITY,naive,0.010494606044674155
0.03711368050608542,TEST,MLR,CH,ACTIVITY,naive,0.018084313733815385
0.12564099108498533,TRAIN,RF,CH,ACTIVITY,naive,0.003951742090874694
0.06206702968099011,TEST,RF,CH,ACTIVITY,naive,0.008755244860470595
0.06330186060947818,TRAIN,SVR,CH,ACTIVITY,naive,0.008442703223255838
0.03168670506147133,TEST,SVR,CH,ACTIVITY,naive,0.005196145886377907
0.12988735374154575,TRAIN,MLP,CH,ACTIVITY,naive,0.01183494223308629
0.01106565195402528,TEST,MLP,CH,ACTIVITY,naive,0.02320032703137524
0.20781990233833403,TRAIN,MLR,CH,GROWTH,naive,0.013069947628262303
0.11489025239497348,TEST,MLR,CH,GROWTH,naive,0.031251277834841315
0.44779769188395663,TRAIN,RF,CH,GROWTH,naive,0.005056897646864152
0.1338589921826459,TEST,RF,CH,GROWTH,naive,0.019075140224794757
0.43887845900973177,TRAIN,SVR,CH,GROWTH,naive,0.007279272149292567
0.1367687373964491,TEST,SVR,CH,GROWTH,naive,0.021845683809317947
0.38309505108069686,TRAIN,MLP,CH,GROWTH,naive,0.01198963259874115
0.1780017604810091,TEST,MLP,CH,GROWTH,naive,0.03070798976506391
0.15114969295888508,TRAIN,MLR,CH,SYMMETRY,naive,0.005364274501831192
0.05946952854349254,TEST,MLR,CH,SYMMETRY,naive,0.014519573954657534
0.31245448065419756,TRAIN,RF,CH,SYMMETRY,naive,0.004744149605960915
0.09322765608789621,TEST,RF,CH,SYMMETRY,naive,0.011573652348685527
0.13263666105250885,TRAIN,SVR,CH,SYMMETRY,naive,0.005279780295886444
0.08094194394231849,TEST,SVR,CH,SYMMETRY,naive,0.01510327232993073
0.301488266778247,TRAIN,MLP,CH,SYMMETRY,naive,0.012682192391519563
0.11469853139261592,TEST,MLP,CH,SYMMETRY,naive,0.031169519823236576
0.17414242688372758,TRAIN,MLR,CH,ACTIVITY,topo,0.007404126025727788
0.06913642151118136,TEST,MLR,CH,ACTIVITY,topo,0.011844818609412198
0.16533157499301507,TRAIN,RF,CH,ACTIVITY,topo,0.005456711850136816
0.06506901593343488,TEST,RF,CH,ACTIVITY,topo,0.011094224588713807
0.17325373473346156,TRAIN,SVR,CH,ACTIVITY,topo,0.01076322134153388
-0.005368041747401797,TEST,SVR,CH,ACTIVITY,topo,0.027665771092076987
0.2232923264544267,TRAIN,MLP,CH,ACTIVITY,topo,0.03385327528444562
-0.014171168159271297,TEST,MLP,CH,ACTIVITY,topo,0.05840418706620355
0.3248359521778178,TRAIN,MLR,CH,GROWTH,topo,0.00967317545792108
0.17944180284895578,TEST,MLR,CH,GROWTH,topo,0.03493906974605058
0.2597305822938337,TRAIN,RF,CH,GROWTH,topo,0.009915751309162547
0.18093629939704453,TEST,RF,CH,GROWTH,topo,0.015036540577359415
0.35820171107834453,TRAIN,SVR,CH,GROWTH,topo,0.011041539917081051
0.18566041390367305,TEST,SVR,CH,GROWTH,topo,0.025333150557083916
0.42701812737495926,TRAIN,MLP,CH,GROWTH,topo,0.010147016116178043
0.1663612625005889,TEST,MLP,CH,GROWTH,topo,0.04927597518042651
0.2189333996864941,TRAIN,MLR,CH,SYMMETRY,topo,0.005549669082420304
0.08863206580753391,TEST,MLR,CH,SYMMETRY,topo,0.031990006200693595
0.3186344403969728,TRAIN,RF,CH,SYMMETRY,topo,0.005281625786544003
0.08741925527422031,TEST,RF,CH,SYMMETRY,topo,0.011967751948238261
0.27253645691730805,TRAIN,SVR,CH,SYMMETRY,topo,0.005009702390439553
0.013586258143995323,TEST,SVR,CH,SYMMETRY,topo,0.01989018299834928
0.2808357047618785,TRAIN,MLP,CH,SYMMETRY,topo,0.0047271418329912634
0.0789368431730059,TEST,MLP,CH,SYMMETRY,topo,0.016157795842374756
0.0931446820934418,TRAIN,MLR,CH,ACTIVITY,spatial,0.00512210621944316
0.05885117102102223,TEST,MLR,CH,ACTIVITY,spatial,0.004917488480389275
0.15120309074554927,TRAIN,RF,CH,ACTIVITY,spatial,0.005280324215602237
0.06220962974397211,TEST,RF,CH,ACTIVITY,spatial,0.010076758874496768
0.2002830685582464,TRAIN,SVR,CH,ACTIVITY,spatial,0.0055972265175517405
0.03195078933586147,TEST,SVR,CH,ACTIVITY,spatial,0.008014779829224775
0.2866036422936811,TRAIN,MLP,CH,ACTIVITY,spatial,0.04905315577137299
-0.030277809399030308,TEST,MLP,CH,ACTIVITY,spatial,0.07489588912519761
0.4776042855134735,TRAIN,MLR,CH,GROWTH,spatial,0.010194472864984264
0.3060320286043857,TEST,MLR,CH,GROWTH,spatial,0.03481717830444301
0.3770588432065315,TRAIN,RF,CH,GROWTH,spatial,0.003311326989323209
0.2036657031941723,TEST,RF,CH,GROWTH,spatial,0.01861941062963625
0.47960928073579295,TRAIN,SVR,CH,GROWTH,spatial,0.009245485633435163
0.3160970732552219,TEST,SVR,CH,GROWTH,spatial,0.027246618030090115
0.5359306915636283,TRAIN,MLP,CH,GROWTH,spatial,0.010530266516096096
0.2754942164364736,TEST,MLP,CH,GROWTH,spatial,0.034903485547996
0.28673280382160493,TRAIN,MLR,CH,SYMMETRY,spatial,0.005944075710591418
0.17632539325533328,TEST,MLR,CH,SYMMETRY,spatial,0.01335087865277135
0.3573989490051345,TRAIN,RF,CH,SYMMETRY,spatial,0.004806618935981085
0.09913822755676924,TEST,RF,CH,SYMMETRY,spatial,0.012784266048826423
0.31726040711886466,TRAIN,SVR,CH,SYMMETRY,spatial,0.00816909874939518
0.002355647313759168,TEST,SVR,CH,SYMMETRY,spatial,0.05348223779186753
0.3629389237109918,TRAIN,MLP,CH,SYMMETRY,spatial,0.008353579451255767
0.1462518615718207,TEST,MLP,CH,SYMMETRY,spatial,0.017938674733895692
