context,set,feature,response,timepoint,y_true,emulator,model,y_pred
C,train,syntopo,ACTIVITY,0,0.3793103448275863,rnn,SVR,0.2011476887937789
C,test,syntopo,ACTIVITY,0,0.3661971830985915,rnn,SVR,0.16315610885071488
C,train,syntopo,ACTIVITY,0,0.76,rnn,SVR,0.4805967260652147
C,train,syntopo,ACTIVITY,0,0.2178770949720669,rnn,SVR,0.34163688604586795
C,train,syntopo,ACTIVITY,0,-0.0077519379844961,rnn,SVR,0.11213239514920813
C,train,syntopo,ACTIVITY,0,0.2105263157894736,rnn,SVR,0.5412686512503029
C,train,syntopo,ACTIVITY,0,-0.1842105263157895,rnn,SVR,-0.006413179633562416
C,test,syntopo,ACTIVITY,0,0.6242424242424243,rnn,SVR,0.5823938009276618
C,train,syntopo,ACTIVITY,0,-0.2299465240641711,rnn,SVR,0.2281081821795174
C,train,syntopo,ACTIVITY,0,0.1923076923076923,rnn,SVR,0.2967567094267953
C,train,syntopo,ACTIVITY,0,0.3043478260869565,rnn,SVR,0.12705551889678496
C,test,syntopo,ACTIVITY,0,0.7976190476190477,rnn,SVR,0.4113268520550467
C,train,syntopo,ACTIVITY,0,0.0691823899371069,rnn,SVR,-0.00839189046570038
C,train,syntopo,ACTIVITY,0,-0.6445783132530121,rnn,SVR,0.4622641323708137
C,train,syntopo,ACTIVITY,0,0.3648648648648649,rnn,SVR,0.1867719483021697
C,test,syntopo,ACTIVITY,0,0.0515463917525773,rnn,SVR,0.03230370406545885
C,train,syntopo,ACTIVITY,0,0.1372549019607842,rnn,SVR,0.014124639134107662
C,train,syntopo,ACTIVITY,0,-0.3481481481481481,rnn,SVR,0.3508130208789768
C,train,syntopo,ACTIVITY,0,0.2291666666666667,rnn,SVR,0.40323981005012
C,train,syntopo,ACTIVITY,0,0.3919999999999999,rnn,SVR,0.27483499574023484
C,train,syntopo,ACTIVITY,0,0.3759999999999999,rnn,SVR,0.1980386551959948
C,train,syntopo,ACTIVITY,0,0.8095238095238095,rnn,SVR,0.5506025841888229
C,train,syntopo,ACTIVITY,0,0.2365591397849462,rnn,SVR,0.32872690750403943
C,train,syntopo,ACTIVITY,0,0.1515151515151516,rnn,SVR,0.2695173967397163
C,train,syntopo,ACTIVITY,0,0.0975609756097561,rnn,SVR,0.06451433646571086
C,train,syntopo,ACTIVITY,0,-0.5522388059701493,rnn,SVR,0.1674667525332128
C,train,syntopo,ACTIVITY,0,-0.2214765100671141,rnn,SVR,0.16115925201786252
C,train,syntopo,ACTIVITY,0,-0.1006711409395972,rnn,SVR,0.5304109155725032
C,test,syntopo,ACTIVITY,0,0.4901960784313726,rnn,SVR,0.3355804442982469
C,test,syntopo,ACTIVITY,0,0.3057851239669422,rnn,SVR,0.3477242014937019
C,train,syntopo,ACTIVITY,0,0.0,rnn,SVR,0.17774085251076038
C,test,syntopo,ACTIVITY,0,0.8333333333333333,rnn,SVR,0.34647829450617185
C,test,syntopo,ACTIVITY,0,0.1020408163265305,rnn,SVR,0.2503580674333074
C,train,syntopo,ACTIVITY,0,0.4333333333333333,rnn,SVR,0.2619873678200878
C,train,syntopo,ACTIVITY,0,0.0666666666666666,rnn,SVR,0.19404152486356044
C,train,syntopo,ACTIVITY,0,0.2592592592592593,rnn,SVR,0.4302776590835913
C,train,syntopo,ACTIVITY,0,0.2463768115942028,rnn,SVR,0.06822716838322873
C,train,syntopo,ACTIVITY,0,0.8666666666666667,rnn,SVR,0.12718148640766222
C,train,syntopo,ACTIVITY,0,1.0,rnn,SVR,0.6027031505660858
C,train,syntopo,ACTIVITY,0,0.0276243093922652,rnn,SVR,0.2704074354172701
C,test,syntopo,ACTIVITY,0,1.0,rnn,SVR,0.4734735594888613
C,test,syntopo,ACTIVITY,0,0.8072289156626506,rnn,SVR,0.5308194156830619
C,train,syntopo,ACTIVITY,0,0.6233766233766234,rnn,SVR,0.5640537861726216
C,train,syntopo,ACTIVITY,0,0.7468354430379747,rnn,SVR,0.5524183315291673
C,train,syntopo,ACTIVITY,0,0.7888198757763976,rnn,SVR,0.6372571577134986
C,train,syntopo,ACTIVITY,0,-0.3164556962025316,rnn,SVR,0.3442669921592019
C,test,syntopo,ACTIVITY,0,0.2941176470588236,rnn,SVR,0.09206180035023878
C,train,syntopo,ACTIVITY,0,0.0778443113772455,rnn,SVR,0.25440791034814353
C,train,syntopo,ACTIVITY,0,-0.2967032967032966,rnn,SVR,-0.040218089762851635
C,train,syntopo,ACTIVITY,0,0.2291666666666667,rnn,SVR,0.3644278690986371
C,train,syntopo,ACTIVITY,0,0.0728476821192052,rnn,SVR,0.25110328276789096
C,train,syntopo,ACTIVITY,0,-0.1900826446280992,rnn,SVR,-0.09913143235340176
C,test,syntopo,ACTIVITY,0,0.263157894736842,rnn,SVR,0.4132372594773029
C,train,syntopo,ACTIVITY,0,0.4782608695652173,rnn,SVR,0.3005870176933837
C,train,syntopo,ACTIVITY,0,0.05,rnn,SVR,0.22765111723609066
C,train,syntopo,ACTIVITY,0,0.6808510638297873,rnn,SVR,0.6312480463896133
C,train,syntopo,ACTIVITY,0,0.0571428571428571,rnn,SVR,0.23481925332135434
C,train,syntopo,ACTIVITY,0,0.1351351351351351,rnn,SVR,0.23641976337094445
C,train,syntopo,ACTIVITY,0,-0.0128205128205127,rnn,SVR,0.02230646013104804
C,test,syntopo,ACTIVITY,0,0.0178571428571427,rnn,SVR,-0.07073399869106056
C,train,syntopo,ACTIVITY,0,0.3999999999999999,rnn,SVR,0.2327876483751725
