feature,timepoint,context,response,model,num_observations,train_r2s,test_r2s,train_rmses,test_rmses,set,r2_mean,r2_se_lower,r2_se_upper,rmse_mean,rmse_se_lower,rmse_se_upper
naive,0,C,ACTIVITY,MLR,50,"[0.5074615204300736, 0.6360144305264972, 0.4418295460538382, 0.43220923509946263, 0.5514720609671795, 0.4928688169284512, 0.46451586414393153, 0.4908294033543663, 0.7085701048786784, 0.49704170053796815]","[-1.1083974224524074, -1.8478045367583205, -0.15523369359526806, 0.00531252743796784, -0.7747729402212735, -0.16748536569600825, 0.11594771434168771, 0.4249888962706171, 0.008150367248192625, -0.2636136436725889]","[0.24090246565267323, 0.22980926836476867, 0.2626060369025919, 0.281447471679147, 0.2525150927022578, 0.2626302186780867, 0.2716318093237162, 0.25672824510428266, 0.1814605544473946, 0.2415548266886732]","[0.533148125628145, 0.5453513547784962, 0.40471355671331966, 0.47974557793935285, 0.5509777452932246, 0.37373733915803753, 0.3624864582731874, 0.26577166432045185, 0.3885651667896553, 0.49655178729557903]",TRAIN,0.5222812682920447,0.4959897999597196,0.5485727366243698,0.2481285989543593,0.2397314005413731,0.2565257973673455
naive,0,C,ACTIVITY,RF,50,"[0.8098387764539834, 0.873541930921296, 0.8602975564781777, 0.8619278014512272, 0.8801236009822475, 0.8706809156142181, 0.8581012130188291, 0.8925455775385478, 0.8991715899533462, 0.8467731186166785]","[-0.18490622410067825, 0.22942114503678634, 0.06441541508868043, -0.02158469258146778, 0.10785197097994659, 0.19423196169625312, -0.06943665560480627, 0.1493401379494601, -0.13260682023781056, 0.22980883934206242]","[0.1428252339863259, 0.13003767166447497, 0.12359152663363197, 0.1650578282780184, 0.1292255257383944, 0.11655736821743719, 0.1262084849856202, 0.12450481824053042, 0.11998800462608472, 0.13762494890192642]","[0.4196862827187571, 0.3182325002654416, 0.3502243314653074, 0.3434104854706024, 0.366130215922411, 0.3240827599875481, 0.42223088043327955, 0.33464160971933565, 0.4083842075628917, 0.39769148945985566]",TRAIN,0.8653002081028551,0.8577413455730576,0.8728590706326527,0.13156214112724446,0.12732603239773324,0.13579824985675568
naive,0,C,ACTIVITY,SVR,50,"[0.6212688921955938, 0.7060631838560272, 0.5411144526451401, 0.48698101943919625, 0.6835961056537574, 0.5709186990729529, 0.496767264115874, 0.7415784452461245, 0.6404869369589858, 0.6586490426713045]","[0.4427595048173224, 0.03537573218905754, 0.10208063410471935, 0.27595125957918565, 0.3202090164187733, -0.01247646371803146, 0.3853119817235321, -0.10830512105097934, 0.0015651643599166043, -0.4978398165157607]","[0.21955139990249303, 0.1860337388456227, 0.2060011053916559, 0.22788804501691634, 0.21087482196499988, 0.24313415398995095, 0.2525271686641518, 0.17335893335670458, 0.21402777852560384, 0.22404771060781953]","[0.21905482166060683, 0.356166782048555, 0.2776313214169425, 0.2583065097477209, 0.2797770210940287, 0.3000283075939724, 0.27449445312090864, 0.4503245073388487, 0.3411868369804557, 0.33845490974878234]",TRAIN,0.6147424041854956,0.5884016439993125,0.6410831643716788,0.21574448562659185,0.2085786503215405,0.2229103209316432
naive,0,C,ACTIVITY,MLP,50,"[-8.414834384851133e-09, -1.9733976674984888e-08, 1.6823829385170797e-07, -1.093633961168905e-08, 0.41686975717940933, 3.015791960603309e-08, -1.1216950257519898e-08, 5.446638967621098e-07, -3.2640768532488096e-08, -9.760230912370105e-08]","[-0.0006460738710327707, -0.0485990486338399, -0.04416035805457019, -0.6589119693989198, 0.2823115904543849, -0.06138112118243333, -0.2503510857889464, -0.8041992328586778, -0.03372857124158957, -0.04719783077643025]","[0.31508444956726794, 0.36140059919304146, 0.33100576656330233, 0.370310273678893, 0.30082440232641783, 0.3214966529603896, 0.3827552108225504, 0.3362150754783626, 0.3360207756243896, 0.39517071435397727]","[0.2918863704222459, 0.4633259696554689, 0.448494278285494, 0.4350994214838171, 0.34413507321280623, 0.2690690499212413, 0.40495330413163844, 0.41839163438731336, 0.39956598332695376, 0.3900441521303524]",TRAIN,0.041687031969434095,0.0021393002889760274,0.08123476364989216,0.3450283920568592,0.3357522889322486,0.3543044951814698
naive,0,C,ACTIVITY,MLR,100,"[0.3829590301588297, 0.448726928242253, 0.2302398032875479, 0.29971815852205974, 0.23533713346583351, 0.3282707030670806, 0.37932774522440404, 0.24855277883702975, 0.24306910286849803, 0.2932291992361128]","[0.021207122476321505, 0.14539500732337274, 0.14269565119238026, 0.15064518760139978, 0.17219120046257042, -0.2044956468315544, 0.254791026683028, 0.015614618086430387, -0.07283186717498236, -0.5264121110920754]","[0.2931276477663063, 0.23271579994133273, 0.3410844019970822, 0.29696274425915264, 0.3086763363278136, 0.2957528659972116, 0.2534052582245629, 0.3281175385776538, 0.3134037613273695, 0.2967337032315198]","[0.3481740615948421, 0.3871572470248586, 0.40187075176122067, 0.33798881241667494, 0.32301087136943085, 0.3820629883179784, 0.3836470274495078, 0.37512447949997413, 0.33730383838790046, 0.4533054026497908]",TRAIN,0.3089430582909649,0.2865207749744566,0.3313653416074732,0.29599800576500057,0.28632500279669776,0.3056710087333034
naive,0,C,ACTIVITY,RF,100,"[0.6566930016836017, 0.696439144490103, 0.7129882076462795, 0.64662916905041, 0.7296915874871625, 0.7017495881052602, 0.7144747108734362, 0.7116903137007025, 0.7208989030220829, 0.6985008670045404]","[0.1126290500123599, 0.2505080970676985, 0.28163595266832575, 0.29578599169374187, 0.16561679034728316, 0.34121068246364095, 0.2162886051320182, -0.23750412021876732, -0.02580985854015916, -0.08483378485510862]","[0.22602287128585813, 0.2227667735139332, 0.20082413202512955, 0.20792640497234965, 0.19770388370617825, 0.18182844332280815, 0.17193847862193692, 0.19165039804639106, 0.1908870434007493, 0.2013337702325559]","[0.355085949461828, 0.2839935713252968, 0.3190748824620195, 0.32610811882436425, 0.347823615383267, 0.259208371976158, 0.3352672495337261, 0.4190044098145176, 0.39201813235304644, 0.35855248634789855]",TRAIN,0.6989755493063579,0.6908732881407231,0.7070778104719926,0.19928821991278897,0.1942568940789699,0.20431954574660804
naive,0,C,ACTIVITY,SVR,100,"[0.6009894429156148, 0.6125862310657104, 0.5973123529359485, 0.5062614279797999, 0.6126881042612328, 0.6329986687472526, 0.637833554714444, 0.5619879072872835, 0.6430810774711031, 0.5142836111428559]","[0.47675979231286547, -0.052149669948049704, -0.12981403730785668, 0.17909698419740383, -0.19697189033214935, 0.3506166862011245, 0.1357329674943596, 0.07747060543303319, 0.3716122156251601, 0.29299699374605614]","[0.2368340855461554, 0.2442062028293319, 0.1909920928262911, 0.27558558429472146, 0.2133462004715916, 0.23557037248268153, 0.20595253539679476, 0.2545907584025926, 0.19626953379033174, 0.23800700080392204]","[0.29995476738702676, 0.33021416543267845, 0.40421826737890226, 0.29653595538225735, 0.42112958158042363, 0.2845780758006711, 0.34225383751531185, 0.30987758080015665, 0.22157209551107968, 0.3132057407555175]",TRAIN,0.5920022378521245,0.5772905522636352,0.6067139234406137,0.22913543668444136,0.22105216445225784,0.2372187089166249
naive,0,C,ACTIVITY,MLP,100,"[0.4516062798908881, 0.4027129836024502, 0.4975986613001585, 0.22774742637379053, 0.3511034436757632, 0.10760801135827203, 0.33917916452038976, 0.4899234315020401, 0.3103098573838331, 0.27967567708697005]","[0.05008561735823003, 0.388493630148697, 0.22908557459859247, 0.07913810872898919, 0.03232484965912363, -0.046779513770881964, 0.045535355627515206, 0.017702312178555446, 0.09583387886848149, -0.07586527091678841]","[0.28732902383962794, 0.28231789265377866, 0.27014005750451714, 0.3177804296212237, 0.25853046129124335, 0.32437993696244166, 0.28269998360785437, 0.27284052528781677, 0.3055107153151326, 0.31324478793688704]","[0.336906794293007, 0.2595670984027775, 0.2987141399922831, 0.41282176964833417, 0.3776081708364778, 0.3521964980071514, 0.3168035246951013, 0.3647707692451691, 0.3328487225511155, 0.35426981191408563]",TRAIN,0.34574649366945553,0.3090553234929926,0.3824376638459185,0.29147738140205226,0.2847606529466616,0.29819410985744293
naive,0,C,ACTIVITY,MLR,150,"[0.35520967877874565, 0.3062298805565342, 0.36781081028056783, 0.2842245944149868, 0.2557128484094866, 0.3173130893962157, 0.2838076603398495, 0.3720405781452142, 0.2801050254729627, 0.30283019066615957]","[-0.3706486858779465, -0.11562893167917099, 0.36229634948352096, 0.07492238703385412, 0.1218888808365981, 0.004103588634247535, 0.07506772617621471, 0.0462130144864864, 0.14993977022431393, 0.2272712094733974]","[0.299327736990946, 0.3176423768534033, 0.2981154080827819, 0.287209559849869, 0.3066436484761277, 0.29074600350278584, 0.3129024710723164, 0.28358819611191866, 0.2973051393459107, 0.3172502850573689]","[0.41759095712148053, 0.3358926511649971, 0.29906563224319554, 0.3682020953919893, 0.3196452077206577, 0.36411204421386384, 0.3581920658644842, 0.340639085144846, 0.35099287505224275, 0.36793112701809927]",TRAIN,0.31252843564607224,0.30049455677359344,0.32456231451855105,0.3010730825343428,0.29741553202252846,0.3047306330461571
naive,0,C,ACTIVITY,RF,150,"[0.6791608795797794, 0.6399388561783539, 0.5646514029097038, 0.6137570618119844, 0.5667329925146124, 0.6431247758380434, 0.6461440459768248, 0.574346263910104, 0.6196131308168875, 0.6258571653943761]","[-0.06413846020047953, 0.17804291505042957, 0.2005365409189006, 0.06609277867546992, 0.1890735587483101, 0.09636171972898788, 0.2872424067061802, -0.13100041209120583, 0.08472071005551318, 0.3555596790876846]","[0.2034411977967205, 0.21488028145697782, 0.24499902100585, 0.226876785591566, 0.22161462371244067, 0.20986409898304662, 0.22248414778421732, 0.242824684287191, 0.22030406160782054, 0.23478012411440255]","[0.41104978631346306, 0.30166937172280167, 0.3410039150810837, 0.32653183055953455, 0.32055018517230516, 0.35972912883668173, 0.2725736748965025, 0.35679446719858426, 0.3482345134987865, 0.30907139896384195]",TRAIN,0.6173326574930671,0.6058857268423735,0.6287795881437607,0.2242069026340233,0.2201489578260578,0.22826484744198877
