feature,timepoint,context,response,model,R^2,set,se_lower,se_upper
topo,0,C,ACTIVITY,MLR,0.3525262139093478,TRAIN,0.34817160228889077,0.3568808255298048
topo,0,C,ACTIVITY,RF,0.458078159037188,TRAIN,0.45441201158979777,0.46174430648457826
topo,0,C,ACTIVITY,SVR,0.5037823380966943,TRAIN,0.5003857821123007,0.5071788940810878
topo,0,C,ACTIVITY,MLP,0.5310786795321326,TRAIN,0.5228829249882367,0.5392744340760285
topo,0,C,GROWTH,MLR,0.3698796080648166,TRAIN,0.3657746348855511,0.3739845812440821
topo,0,C,GROWTH,RF,0.4650672425885947,TRAIN,0.4610858426168724,0.46904864256031703
topo,0,C,GROWTH,SVR,0.4926684385657304,TRAIN,0.48696617275115983,0.49837070438030096
topo,0,C,GROWTH,MLP,0.4937648215054641,TRAIN,0.48956989110889676,0.4979597519020314
topo,0,C,SYMMETRY,MLR,0.07846062965564503,TRAIN,0.07570070062330073,0.08122055868798933
topo,0,C,SYMMETRY,RF,0.10213581746646776,TRAIN,0.09994895183624336,0.10432268309669215
topo,0,C,SYMMETRY,SVR,0.3253647932602272,TRAIN,0.32206605297447083,0.3286635335459836
topo,0,C,SYMMETRY,MLP,0.06539417171906249,TRAIN,0.05710175668218752,0.07368658675593746
topo,1,C,ACTIVITY,MLR,0.3665552081500975,TRAIN,0.3623783670898171,0.37073204921037795
topo,1,C,ACTIVITY,RF,0.3788387669133684,TRAIN,0.37446093472692416,0.3832165990998126
topo,1,C,ACTIVITY,SVR,0.4920726656763057,TRAIN,0.4864673614658279,0.4976779698867835
topo,1,C,ACTIVITY,MLP,0.5019257573830208,TRAIN,0.49723903718747653,0.5066124775785651
topo,1,C,GROWTH,MLR,0.3757069971007096,TRAIN,0.37153577599337045,0.37987821820804873
topo,1,C,GROWTH,RF,0.4518805526866476,TRAIN,0.4475354329174831,0.45622567245581214
topo,1,C,GROWTH,SVR,0.3929510338058109,TRAIN,0.38684275894395387,0.399059308667668
topo,1,C,GROWTH,MLP,0.4888222067783238,TRAIN,0.48099360635194766,0.4966508072046999
topo,1,C,SYMMETRY,MLR,0.0,TRAIN,0.0,0.0
topo,1,C,SYMMETRY,RF,0.2512622434916893,TRAIN,0.24966656887525285,0.25285791810812575
topo,1,C,SYMMETRY,SVR,0.3224082888197742,TRAIN,0.31876654242894104,0.3260500352106073
topo,1,C,SYMMETRY,MLP,0.018766251492519082,TRAIN,0.01597479781159066,0.021557705173447503
topo,2,C,ACTIVITY,MLR,0.4045697488394028,TRAIN,0.39916135662441526,0.4099781410543903
topo,2,C,ACTIVITY,RF,0.3687810622750055,TRAIN,0.3649757203431469,0.3725864042068641
topo,2,C,ACTIVITY,SVR,0.4949046526734685,TRAIN,0.4903757989026659,0.4994335064442711
topo,2,C,ACTIVITY,MLP,0.5171452568238679,TRAIN,0.5079156619414117,0.5263748517063241
topo,2,C,GROWTH,MLR,0.4232405565176591,TRAIN,0.41886104308873884,0.4276200699465793
topo,2,C,GROWTH,RF,0.3956099351149615,TRAIN,0.39090619349253264,0.4003136767373904
topo,2,C,GROWTH,SVR,0.3808122963611307,TRAIN,0.3750128583811242,0.38661173434113716
topo,2,C,GROWTH,MLP,0.4291520974331298,TRAIN,0.42355174207323243,0.4347524527930272
topo,2,C,SYMMETRY,MLR,0.015834807089208525,TRAIN,0.014377178974150483,0.017292435204266567
topo,2,C,SYMMETRY,RF,0.09304455141105164,TRAIN,0.09153731345940576,0.09455178936269752
topo,2,C,SYMMETRY,SVR,0.3291837081833824,TRAIN,0.32570666539157267,0.3326607509751921
topo,2,C,SYMMETRY,MLP,0.04193796503431576,TRAIN,0.03773301851425881,0.04614291155437271
topo,3,C,ACTIVITY,MLR,0.35806934708904353,TRAIN,0.35308202536462546,0.3630566688134616
topo,3,C,ACTIVITY,RF,0.3799301506040488,TRAIN,0.37472141282093585,0.3851388883871617
topo,3,C,ACTIVITY,SVR,0.4277412150357912,TRAIN,0.4232192527679881,0.4322631773035943
topo,3,C,ACTIVITY,MLP,0.5338846394346839,TRAIN,0.5273531655088373,0.5404161133605305
topo,3,C,GROWTH,MLR,0.36082248809897,TRAIN,0.356923116017979,0.364721860179961
topo,3,C,GROWTH,RF,0.5983174351311354,TRAIN,0.5947602518859595,0.6018746183763114
topo,3,C,GROWTH,SVR,0.4898425232366554,TRAIN,0.4852721989846824,0.4944128474886284
topo,3,C,GROWTH,MLP,0.4899688814300017,TRAIN,0.48288123566611413,0.4970565271938893
topo,3,C,SYMMETRY,MLR,0.0,TRAIN,0.0,0.0
topo,3,C,SYMMETRY,RF,0.26103715857856435,TRAIN,0.25935400365956907,0.26272031349755964
topo,3,C,SYMMETRY,SVR,0.3384914968313223,TRAIN,0.33484972934588536,0.3421332643167592
topo,3,C,SYMMETRY,MLP,0.01877731477738936,TRAIN,0.01595311185276458,0.021601517702014142
topo,4,C,ACTIVITY,MLR,0.3553770899079205,TRAIN,0.35166125950258614,0.35909292031325485
topo,4,C,ACTIVITY,RF,0.3826951381815481,TRAIN,0.3782397957662126,0.3871504805968836
topo,4,C,ACTIVITY,SVR,0.5073733591333609,TRAIN,0.5036922900676554,0.5110544281990664
topo,4,C,ACTIVITY,MLP,0.5094097957403682,TRAIN,0.5032972774428907,0.5155223140378457
topo,4,C,GROWTH,MLR,0.3852208399195111,TRAIN,0.38085333036566377,0.38958834947335846
topo,4,C,GROWTH,RF,0.5987549619597528,TRAIN,0.5948840276831138,0.6026258962363917
topo,4,C,GROWTH,SVR,0.497217305386149,TRAIN,0.49321278835589927,0.5012218224163988
topo,4,C,GROWTH,MLP,0.4197164108891813,TRAIN,0.4120529696717745,0.42737985210658813
topo,4,C,SYMMETRY,MLR,0.0,TRAIN,0.0,0.0
topo,4,C,SYMMETRY,RF,0.2645759478000403,TRAIN,0.2630694600463956,0.266082435553685
topo,4,C,SYMMETRY,SVR,0.334739957444615,TRAIN,0.330601510639962,0.33887840424926796
topo,4,C,SYMMETRY,MLP,0.08086836441152663,TRAIN,0.0688878711093585,0.09284885771369476
topo,5,C,ACTIVITY,MLR,0.3470118910567167,TRAIN,0.34402694111554655,0.34999684099788686
topo,5,C,ACTIVITY,RF,0.4008753961226364,TRAIN,0.39579323554984086,0.40595755669543193
topo,5,C,ACTIVITY,SVR,0.5144661527448999,TRAIN,0.5109676406951543,0.5179646647946455
topo,5,C,ACTIVITY,MLP,0.5167682827521289,TRAIN,0.5100594142996182,0.5234771512046397
topo,5,C,GROWTH,MLR,0.37813015777484826,TRAIN,0.37416463898901825,0.3820956765606783
topo,5,C,GROWTH,RF,0.4101964753623724,TRAIN,0.4069033362620725,0.41348961446267235
topo,5,C,GROWTH,SVR,0.5237112022294995,TRAIN,0.5181999765387815,0.5292224279202176
topo,5,C,GROWTH,MLP,0.4131779085792632,TRAIN,0.40799661749606975,0.4183591996624566
topo,5,C,SYMMETRY,MLR,0.09498012999010262,TRAIN,0.09086476219563563,0.09909549778456961
topo,5,C,SYMMETRY,RF,0.27327655524353844,TRAIN,0.27138121745631444,0.27517189303076245
topo,5,C,SYMMETRY,SVR,0.32227592259053234,TRAIN,0.3192031470977346,0.32534869808333006
topo,5,C,SYMMETRY,MLP,0.13153631842977548,TRAIN,0.11318210376660186,0.14989053309294909
topo,6,C,ACTIVITY,MLR,0.33195015685712104,TRAIN,0.32823670753088435,0.3356636061833577
topo,6,C,ACTIVITY,RF,0.4310843757631613,TRAIN,0.42697123698713174,0.4351975145391908
topo,6,C,ACTIVITY,SVR,0.3609303060835489,TRAIN,0.3553788167486275,0.36648179541847037
