set,model,context,response,feature,r2,r2_se,rmse,rmse_se,timepoint,emulator
TRAIN,SVR,C,ACTIVITY,topo,0.3747720508385163,0.007516836165337575,0.2960510094572809,0.002264176210581334,0.0,rnn
TEST,SVR,C,ACTIVITY,topo,0.26266988524396734,0.022161700591682706,0.3177775468767343,0.00525504895316053,0.0,rnn
TRAIN,MLP,C,GROWTH,topo,0.48569070364972766,0.0074432354156490355,0.15617857890731626,0.0018222350386919999,0.0,rnn
TEST,MLP,C,GROWTH,topo,0.3883823571285079,0.014127041461114957,0.17813877678191062,0.003575125321513366,0.0,rnn
TRAIN,RF,C,SYMMETRY,topo,-0.00014824848252215084,4.653939061399717e-05,0.07975132890017507,0.0008427636579410314,0.0,rnn
TEST,RF,C,SYMMETRY,topo,-0.017314039410934547,0.005784873479560494,0.08064402624595976,0.0019151304255908763,0.0,rnn
TRAIN,SVR,C,ACTIVITY,topo,0.510152292208721,0.007010801362921291,0.25653481849978627,0.0025671914962616454,0.0,ml
TEST,SVR,C,ACTIVITY,topo,0.21423991289320443,0.020919631343573115,0.3194157342603314,0.007069298345281323,0.0,ml
TRAIN,RF,C,GROWTH,topo,0.41171067924488314,0.007073853804418506,0.1670790849149285,0.0015215547231288748,0.0,ml
TEST,RF,C,GROWTH,topo,0.26418950283628856,0.02012614454229067,0.18371822460372167,0.004413525733384594,0.0,ml
TRAIN,MLR,C,SYMMETRY,topo,0.03793034841331041,0.0028224885355931898,0.08018279542263623,0.0003509903698611462,0.0,ml
TEST,MLR,C,SYMMETRY,topo,0.00011343955189206945,0.0053495354613261655,0.08195051935859382,0.0008224058633048364,0.0,ml
TRAIN,MLR,CH,ACTIVITY,topo,0.2498659283147336,0.010596793242488736,0.3246117306172705,0.005096019192152557,0.0,rnn
TEST,MLR,CH,ACTIVITY,topo,0.1703345246443227,0.0252135470094554,0.338257328234981,0.012725831676026495,0.0,rnn
TRAIN,MLR,CH,GROWTH,topo,0.2795350498825586,0.013326054917545196,0.33874918005689914,0.005468790252759223,0.0,rnn
TEST,MLR,CH,GROWTH,topo,0.2253972696295352,0.03944435892623676,0.3248713288141361,0.014893322006303295,0.0,rnn
TRAIN,SVR,CH,SYMMETRY,topo,0.34868418635290654,0.008544947372663847,0.12748274355261474,0.0011291203963560428,0.0,rnn
TEST,SVR,CH,SYMMETRY,topo,0.10064023824166726,0.035970059691042715,0.15015253681206395,0.0030383791330705757,0.0,rnn
TRAIN,RF,CH,ACTIVITY,topo,0.14146199431632664,0.004551607966432419,0.30167818408613023,0.0067657275221361165,0.0,ml
TEST,RF,CH,ACTIVITY,topo,0.06085834876054682,0.009121044187219249,0.34068595573397153,0.015352427844590488,0.0,ml
TRAIN,SVR,CH,GROWTH,topo,0.3677024834556161,0.011869903226753532,0.29031594750670325,0.002648354284491912,0.0,ml
TEST,SVR,CH,GROWTH,topo,0.1792856163196245,0.019729718897254098,0.32410995199274767,0.007247640273470749,0.0,ml
TRAIN,RF,CH,SYMMETRY,topo,0.3296803006854626,0.004818605537980232,0.13095550233246128,0.0011775821768631534,0.0,ml
TEST,RF,CH,SYMMETRY,topo,0.050521024048560195,0.013114845260136548,0.15458457675197046,0.0027694917593414506,0.0,ml
