feature,timepoint,context,response,model,train_r2s,R^2,test_r2s,set,se_lower,se_upper
topo,0,C,ACTIVITY,MLR,"[0.3490253134779028, 0.323375396422811, 0.38169957864027293, 0.3475766991885998, 0.3695550465362456, 0.31602975470080785, 0.3775764728292076, 0.3890363637436197, 0.33705108978236265, 0.37961173528432945]",0.35705374506061605,"[0.21928300453488625, 0.20524087699717186, 0.10007597401076984, 0.26417969323400825, 0.18736074652566337, 0.3018038839350837, 0.14423160594892914, 0.1343450512023262, 0.27030886012796895, 0.1521719303910828]",TRAIN,0.34925104802076473,0.36485644210046736
topo,0,C,ACTIVITY,RF,"[0.49660026568599847, 0.4528887205585974, 0.4611988126309088, 0.47132030119087787, 0.44878214040152586, 0.4397606196682782, 0.47328629299163194, 0.4793323864852357, 0.4568826918262211, 0.4879413046419957]",0.4667993536081271,"[0.21077924127413938, 0.30119976055527375, 0.22073259550713742, 0.16494185592291888, 0.284154569493124, 0.2987566924886462, 0.2086921125736273, 0.19233768285860597, 0.30992101111145587, 0.20518488314792827]",TRAIN,0.4613830838828675,0.4722156233333867
topo,0,C,ACTIVITY,SVR,"[0.5244270448051864, 0.4794004900547, 0.5424117950250025, 0.5641994077094848, 0.47777589031242884, 0.5161856283134896, 0.497631559397987, 0.5240752147723573, 0.4868496156486082, 0.5066777963404367]",0.5119634442379681,"[0.14967887151821646, 0.29411834075533205, 0.15928126686048805, 0.026434329911330323, 0.3323550729012795, 0.2328757774444674, 0.26419426256749945, 0.21347355075035124, 0.23274822370785608, 0.26360047431151257]",TRAIN,0.5035558635395005,0.5203710249364357
topo,0,C,ACTIVITY,MLP,"[0.5622138549018065, 0.47290349089935224, 0.6097218691200132, 0.4293595533905964, 0.48556811553821877, 0.5329559571127612, 0.5460439284357643, 0.5717295547506989, 0.5008730485201884, 0.44484492185349545]",0.5156214294522895,"[0.15193361341012612, 0.2476350678704482, 0.1051340453996612, 0.30301807553154003, 0.22524244397611304, 0.21106756951659333, 0.22702881995453073, 0.24813176736501175, 0.29006631372219505, 0.31172911793900915]",TRAIN,0.4980726839546323,0.5331701749499468
topo,0,C,GROWTH,MLR,"[0.38064734221802377, 0.3459345318354754, 0.35797528763096065, 0.34266817591432575, 0.3845053139555815, 0.35222528385405183, 0.3864758553854538, 0.37356405379779845, 0.3994717262041738, 0.32918367860033493]",0.36526512493961794,"[0.2655034938833475, 0.34531400599106554, 0.3225779421149232, 0.34909202996159105, 0.007016388392362405, 0.2789666349066451, 0.22957862713083976, 0.2683697642735363, -0.07290078468334227, 0.35773871903326904]",TRAIN,0.35840582450404207,0.3721244253751938
topo,0,C,GROWTH,RF,"[0.45228252253174794, 0.4493026687756314, 0.4846951589334034, 0.45095606576114744, 0.5032328198575481, 0.46277911327583277, 0.48950789611415757, 0.46176789117997075, 0.46625871051551426, 0.49063426249043696]",0.471141710943539,"[0.3109035636397083, 0.3245363973219332, 0.25312512360758255, 0.28172502030785984, 0.1617610726018489, 0.2827226117070889, 0.301770696913537, 0.3051414892888089, 0.2692268920483255, 0.22627898767558052]",TRAIN,0.46535160749113075,0.4769318143959473
topo,0,C,GROWTH,SVR,"[0.47732188098812955, 0.4759501019789938, 0.5296359795078951, 0.5297490595528461, 0.46262090586683224, 0.4657808520403578, 0.546883318283061, 0.5284534165689634, 0.5496223237482882, 0.4784714258431012]",0.5044489264378468,"[0.22672012578697043, 0.24082316622925393, 0.1837125623135789, 0.14322101609409166, 0.2749389674096516, 0.3625966245310842, 0.04473671446674887, 0.13699805034680357, 0.10903115832098997, 0.3120985085482154]",TRAIN,0.4938849751078275,0.5150128777678661
topo,0,C,GROWTH,MLP,"[0.5233020197487857, 0.49526494676057875, 0.5245066639021809, 0.522086134954654, 0.5451564389729653, 0.494367330790518, 0.5519702094060481, 0.4867772996815356, 0.4309183035289371, 0.5075464642591128]",0.5081895812005316,"[0.18725053285124726, 0.20394261921977364, -0.02626650176304346, 0.13291821008880988, 0.1378641778778814, 0.24647114146788318, 0.14847951523254033, 0.07110849988211865, 0.29033181617599213, 0.29202004046343366]",TRAIN,0.4978170744125373,0.5185620879885259
topo,0,C,SYMMETRY,MLR,"[0.08786322287610626, 0.08335952468697216, 0.08795454799904412, 0.07749039965771154, 0.10171089901478558, 0.0762228972576543, 0.10974091587901258, 0.08262165831300994, 0.08188150197502575, 0.10166913424474378]",0.0890514701904066,"[-0.038426958840866776, 0.00925364907223969, -0.027164469582852124, 0.030980657026910552, -0.07985037698174446, 0.02608160453766295, -0.07886115091356394, -0.016994387269555267, -0.01575243736115306, -0.0694081298682736]",TRAIN,0.08562581007711675,0.09247713030369645
topo,0,C,SYMMETRY,RF,"[0.10303615135388933, 0.10560989759966366, 0.13026202364482542, 0.12135101357962186, 0.10877322989813187, 0.1008477913170569, 0.11397142785226, 0.0887654022802159, 0.12953271301237446, 0.0894484657369895]",0.1091598116275029,"[0.001841430821644896, -0.014232504470265361, -0.057520257484776405, -0.0004076877661918221, -0.006078560235843522, 0.0012312282157900256, -0.01408296974846146, -0.03578710580882527, -0.04234318020908523, 0.010573993182442898]",TRAIN,0.10473720511113721,0.1135824181438686
topo,0,C,SYMMETRY,SVR,"[0.3666097644132279, 0.37210500156003257, 0.36329504885051744, 0.3366292213908537, 0.3188849671662577, 0.34735918211847605, 0.3447828667521661, 0.3392201624161304, 0.3417666999369179, 0.3544485177932568]",0.34851014323978363,"[-0.12536468364980347, -0.19235825680140595, -0.12812209917952555, 0.01479758923033414, -0.12695306862010125, -0.18233217663610435, -0.07972032674169638, -0.056434890595171705, -0.09779099640977429, -0.1599926235503597]",TRAIN,0.343710170545904,0.35331011593366324
topo,0,C,SYMMETRY,MLP,"[0.016161998226342678, 0.09880682390716466, 0.031360994025283695, 0.050776644674146, 0.07637778695766362, 0.14595192291769743, 0.03362655006148496, 0.016787594617190038, 0.07585108432872067, 0.18151492836163086]",0.07272163280773246,"[0.03842514321482138, -0.22069067595247538, 0.04106082254016519, 0.01165609678818691, -0.05552302369049089, -0.11889534544813651, -0.0060276107772965215, 0.033282762997901116, -0.035239218786498716, -0.15067509708141658]",TRAIN,0.05600320764157387,0.08944005797389104
topo,1,C,ACTIVITY,MLR,"[0.4004603909134399, 0.33186083224756213, 0.327487589970471, 0.39898949147495233, 0.3850205709187946, 0.3775592424858284, 0.41535626369078615, 0.3627156698178613, 0.358142560459107, 0.34911861946686296]",0.37067112314456657,"[0.1175198687655421, 0.29548900454795657, 0.2991566939643442, 0.1374759324678385, 0.13440208728257963, 0.2576357535522298, 0.11160993948093978, 0.2531906652360567, 0.19877022105513498, 0.27084803672114766]",TRAIN,0.36172949810405863,0.3796127481850745
topo,1,C,ACTIVITY,RF,"[0.38859601579378766, 0.3905393532815493, 0.39573254876748143, 0.4228296338304248, 0.39529267378190136, 0.40764672676764824, 0.3644393613109773, 0.3646159326732229, 0.406771734245713, 0.38388234336358074]",0.3920346323816287,"[0.20143630438056903, 0.17565470087946122, 0.1874095385829091, 0.09428019119970443, 0.2454870704512202, 0.17014886815402974, 0.29230183948872335, 0.3064061006435518, 0.16700907159051426, 0.25320519576626466]",TRAIN,0.38653250094455277,0.3975367638187047
topo,1,C,ACTIVITY,SVR,"[0.5371050548372083, 0.45854290886562665, 0.48786361222258245, 0.4800874664991134, 0.4505776126632781, 0.5238168791030865, 0.48840450014726244, 0.49943528260699244, 0.5239482956203999, 0.48250648567117904]",0.4932288098236729,"[0.0033325101851708894, 0.28023221391437114, 0.205060144419262, 0.2590319275259789, 0.29474793727682236, 0.21537762208084077, 0.23811679687606468, 0.21499217430499928, 0.13918519345003488, 0.24914439074586558]",TRAIN,0.4847406293566945,0.5017169902906513
topo,1,C,ACTIVITY,MLP,"[0.3882338220177721, 0.5650522557567474, 0.5336565367214128, 0.42048721355440555, 0.5086643078331529, 0.48156113436500514, 0.4817930417694908, 0.5012765786536579, 0.49577901510338596, 0.5007058956778754]",0.4877209801452906,"[0.38945601783635186, 0.0507752257820564, 0.13965867949314648, 0.31985936659185943, 0.1973196081264511, 0.2123866962724229, 0.26894568025992893, 0.2711668489452742, 0.20887925172456323, 0.2226868804534642]",TRAIN,0.4724117421218943,0.5030302181686869
topo,1,C,GROWTH,MLR,"[0.38628309264265126, 0.4063668819731525, 0.3345226749377188, 0.38399434577133207, 0.36793116932090286, 0.34443727122145296, 0.33093502983541223, 0.363729724082673, 0.35091167930130895, 0.36549302452586074]",0.3634604893612465,"[0.2198319175212442, 0.18997753602963285, 0.3760356605707105, 0.20323744454561044, 0.26989951778414667, 0.2784606617505365, 0.35585873173128946, 0.30395448271958725, 0.3252636640911155, 0.19134942307927671]",TRAIN,0.3562339287991938,0.37068704992329915
topo,1,C,GROWTH,RF,"[0.4508939725475575, 0.433830792801851, 0.44059025468644886, 0.4653964738811156, 0.5003696563899838, 0.46931518971411734, 0.45392437038249134, 0.4668365344973665, 0.45596424669068225, 0.465147218820826]",0.4602268710412441,"[0.32887022669682875, 0.29359695104967076, 0.33312009756041405, 0.21392726105728044, 0.07415754024491761, 0.2295653273670477, 0.23848104962143557, 0.2553448263257052, 0.2413074684192923, 0.24057515745332658]",TRAIN,0.45473505245161594,0.46571868963087226
topo,1,C,GROWTH,SVR,"[0.37582361548005727, 0.3727417202460136, 0.34018167069814265, 0.35724674491405084, 0.38634309860381755, 0.3971693724790806, 0.3604628764697756, 0.39626880233759754, 0.4371075255183555, 0.3731956883968126]",0.3796541115143704,"[0.3422140745105122, 0.2886630116376817, 0.3669337732720249, 0.3438940366700671, 0.24145785492034766, 0.24977475811159033, 0.3820737887094763, 0.2276100139834405, 0.16416537244224838, 0.21781525599949958]",TRAIN,0.3716160135469535,0.3876922094817873
topo,1,C,GROWTH,MLP,"[0.5023210056041496, 0.43586733434798897, 0.44933996838104917, 0.4976780047733843, 0.5314667338051897, 0.4733934171700933, 0.4674921296400141, 0.48499261116876147, 0.47988630399460397, 0.49002571083279545]",0.481246321971803,"[0.17936037675682548, 0.2974117071929747, 0.2440402642398357, 0.2407984549598502, 0.02423528333545888, 0.3020935208757083, 0.20677658166859925, 0.1947862675483848, 0.21229953021732273, 0.22940034553296174]",TRAIN,0.4730870891078792,0.4894055548357268
topo,1,C,SYMMETRY,MLR,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"[-0.0005211017906492366, -0.0001663802122138236, -9.522354003754785e-06, -0.0003102931518950136, -0.007076310554652077, -0.0026349867451391784, -0.00015295329341014074, -0.00012505556273634255, -0.006058665082995018, -0.006174207130569487]",TRAIN,0.0,0.0
topo,1,C,SYMMETRY,RF,"[0.2465703936537108, 0.23500017795021122, 0.24803852270119664, 0.25740453377283967, 0.24679299584055403, 0.2518114763725565, 0.2401217628394472, 0.24852176103788748, 0.25125790815773097, 0.25130886475802916]",0.2476828397084164,"[-0.012030474250249501, 0.014258188738988209, 0.03441045871661952, -0.04354484985234475, -0.015990667794053115, 0.012753200599766923, 0.023126083514897533, -0.0056324662722480046, 0.008450090681690448, 0.0031298372825939724]",TRAIN,0.24578978503757848,0.24957589437925431
topo,1,C,SYMMETRY,SVR,"[0.2993106325590651, 0.332270538187311, 0.3312350619101414, 0.3456962957124815, 0.3310368984328175, 0.30982769301009494, 0.3294629208614621, 0.306095556728057, 0.33543651045631795, 0.3079563097265703]",0.322832841758432,"[-0.03594693490353196, -0.13595332603839916, -0.06416036214221599, -0.05875654085864146, -0.14496085645781664, -0.04788342440961646, -0.1401289308080409, -0.16553543283512662, -0.03919922633446382, -0.004472503228447833]",TRAIN,0.31816765361794547,0.3274980298989186
topo,1,C,SYMMETRY,MLP,"[0.0002788747121622581, 0.026267545032624295, 0.0054686473800169555, 0.018223156548921593, 0.04575524639956763, 0.03591460824321169, 0.042792795368824965, 0.019545866479304785, 0.018914204572003657, 0.03979938836311492]",0.025296033309975274,"[-0.011642029908052187, 0.012514455471979935, 0.00023313998158625004, -0.011979657181907966, -0.04417154836887671, 0.018897619528760345, -0.008100265521821859, -0.05894257076624565, 0.003827009672449311, -0.0100365469880066]",TRAIN,0.020614620533207114,0.029977446086743433
topo,2,C,ACTIVITY,MLR,"[0.40601908079749616, 0.412627842922177, 0.34604979553303683, 0.39948277904664553, 0.4409673099072312, 0.3741792521624403, 0.399780175296087, 0.39849436279513517, 0.4246024802877013, 0.40448174394941194]",0.4006684822697363,"[0.18327520352795656, 0.15994935923236753, 0.3335672617786535, 0.23959411459062185, 0.14470387349067093, 0.29314435646190673, 0.1836083399954701, 0.21282216921607777, 0.1728077080301701, 0.18510478424475696]",TRAIN,0.39287436270691195,0.4084626018325606
topo,2,C,ACTIVITY,RF,"[0.348798039254715, 0.34613135968094, 0.39916410027025606, 0.3756496470055387, 0.37822496083651735, 0.3529753959879728, 0.36733576973095683, 0.34656844588907787, 0.32894695484680525, 0.3653751203616423]",0.36091697938644224,"[0.3363656686140921, 0.36359549093644195, 0.18700618769458965, 0.2346497186165969, 0.25204347892292156, 0.32925561605756803, 0.2897766414447078, 0.3011362432842345, 0.3509924011938875, 0.272086611155151]",TRAIN,0.354836641605652,0.3669973171672325
topo,2,C,ACTIVITY,SVR,"[0.5130850927389881, 0.5022239301663094, 0.5406917881447983, 0.4947435176837137, 0.5063447587638914, 0.505378891926963, 0.5508296366801032, 0.5102997382491866, 0.47134205804107154, 0.4909001231655191]",0.5085839535560546,"[0.17967505408121087, 0.25976617972801075, 0.10933993741671655, 0.2043080731620187, 0.1972076978812365, 0.19462648129196325, 0.03103816088952671, 0.16784325499096464, 0.26052672356839246, 0.20190025418316748]",TRAIN,0.501666016312554,0.5155018907995551
topo,2,C,ACTIVITY,MLP,"[0.4133132693515691, 0.5789372482026388, 0.6305576030647765, 0.5624732678437068, 0.5829682274117858, 0.5791591963231495, 0.5115774420557689, 0.5493401008113059, 0.48892199456990226, 0.573166541109261]",0.5470414890743864,"[0.29951549478091655, 0.10856952321727131, 0.06196715225478888, 0.1802187586524422, 0.18231752025057613, 0.12625805041743066, 0.16742470290724654, 0.16709403699724024, 0.21010177880092096, 0.2370310412989899]",TRAIN,0.5286677819984419,0.565415196150331
topo,2,C,GROWTH,MLR,"[0.3923179132767636, 0.4266517979961174, 0.40039691435500324, 0.44265039913812365, 0.40458482312817545, 0.4071691693425883, 0.422359407857966, 0.40364989463601786, 0.42871064868581465, 0.3887182863420502]",0.411720925475862,"[0.26947512770750925, 0.23388226707444226, 0.2726646643317585, 0.17801527530785555, 0.2449141658983801, 0.27599912466468346, 0.23189213139942377, 0.28208087701786955, 0.18533921224212058, 0.32244351789521597]",TRAIN,0.40647496818076223,0.4169668827709617
topo,2,C,GROWTH,RF,"[0.3572750800931299, 0.42555217785036537, 0.41141605179826113, 0.422050986765769, 0.37937627035004917, 0.4063446372511461, 0.41652878590976306, 0.3997936643849034, 0.39233401673450985, 0.3641400038319711]",0.3974811674969868,"[0.3056917707951712, 0.12270446122399314, 0.2040501675092118, 0.22924079923291873, 0.3373894323546581, 0.25051230849098205, 0.2071494839989343, 0.2441931333816184, 0.20774836260499574, 0.3225301761189864]",TRAIN,0.39032924309349576,0.40463309190047786
topo,2,C,GROWTH,SVR,"[0.38279196632492907, 0.3846560486756284, 0.44929493541599685, 0.43753514365527024, 0.3963453866172646, 0.34847242511926, 0.37699408228562703, 0.3903677820275192, 0.41059431305322147, 0.44539430959608695]",0.4022446392770804,"[0.20417354046146852, 0.22195082630390117, -0.056855026709805134, -0.03185069928809958, 0.16884442588416648, 0.3037227171067973, 0.24595442139953494, 0.22823778686212892, 0.0972239606214842, 0.10067732147348574]",TRAIN,0.3923535176343917,0.41213576091976906
topo,2,C,GROWTH,MLP,"[0.3981631989133724, 0.38094614861903764, 0.4349909776765827, 0.4087441277570548, 0.4206776059150301, 0.3921184785772043, 0.40999824391452544, 0.39322996808976374, 0.3780251468818673, 0.434055569553946]",0.4050949465898384,"[0.32175323203664397, 0.3165339089947473, 0.16806523733154333, 0.2580466538203522, 0.14976692226598887, 0.30334832161127434, 0.2709771402554406, 0.32590457785815485, 0.2166630804137002, 0.12588617166229665]",TRAIN,0.3990238490456511,0.41116604413402574
topo,2,C,SYMMETRY,MLR,"[0.030822396040604216, 0.020330016506124093, 0.007679607574580083, 0.0356322291412966, 0.02301303861057058, 0.01749193882843436, 0.026870262031744696, 0.0174317639823528, 0.022800714424507373, 0.019159660392165767]",0.022123162753238057,"[-0.02733591262289292, -0.03519259106721062, -0.0022612963344679216, -0.03883882106032033, -0.010123703678463158, -0.020692097879177362, -0.01053664855764369, -0.0015933214967571718, -0.008783229534067072, -0.01823949526107982]",TRAIN,0.019786436614578694,0.02445988889189742
topo,2,C,SYMMETRY,RF,"[0.07956498617097507, 0.10486884051334222, 0.09129190078442273, 0.10904334650797487, 0.09043234038214465, 0.10686016154884737, 0.0890358892949824, 0.08994756390130065, 0.10166344054058396, 0.0966630100029443]",0.09593714796475182,"[0.020375952340708547, -0.0369412330904757, -0.001751982882615577, -0.009752863728951677, 0.008019803180989049, 0.0030617518514395314, 0.0018715532468022156, 0.02413926819444323, 0.001359030011390483, 0.017004129493122355]",TRAIN,0.09309530261651859,0.09877899331298505
topo,2,C,SYMMETRY,SVR,"[0.3192836252303869, 0.3434480304396781, 0.3251362901992437, 0.33287037586540347, 0.35252691915919865, 0.3090076504592181, 0.3225759992404327, 0.30126327136958575, 0.3210293761887292, 0.33972622471539016]",0.32668677628672665,"[-0.12485853688411885, -0.07585487055364659, -0.0989706250189113, -0.04977019307022568, -0.12852638018750606, -0.10354584688269952, -0.06828095343752327, -0.08447164017063735, -0.12054180506219359, -0.04833947413942896]",TRAIN,0.32197303239011626,0.33140052018333704
topo,2,C,SYMMETRY,MLP,"[0.032499032369629366, 0.06166055747295074, 0.07296909982834798, 0.032947157257732784, 0.0394154445484316, 0.014558181825501837, 0.059824844381888065, 0.018210296938554693, 0.04365689380307625, 0.0493602221494428]",0.04251017305755561,"[0.0068573811094206905, -0.01688976880700377, -0.06537983951635451, -0.017299399602506815, -0.024535536251970802, 0.019561247051300024, -0.025612083978643563, -0.003708358937339673, 0.005216744725656253, -0.0007669686132156794]",TRAIN,0.036839574522809095,0.04818077159230213
topo,3,C,ACTIVITY,MLR,"[0.3870541667941293, 0.3491763914023932, 0.34766849977747405, 0.3848162615214117, 0.36782208519614357, 0.35315836422707514, 0.3323991921995917, 0.3349228343344026, 0.3361853220695413, 0.35789851658259664]",0.355110163410476,"[0.11681049774353691, 0.1699859396544804, 0.21256028408804362, 0.12381191355521937, 0.13683558812640806, 0.2170705970922766, 0.2453056655193807, 0.28038112309478336, 0.23022837975785504, 0.216306955091219]",TRAIN,0.3492381083167983,0.36098221850415374
topo,3,C,ACTIVITY,RF,"[0.3694779372674918, 0.36841098802157346, 0.37437797500266645, 0.38091284202605136, 0.4142898860852544, 0.39964363320672625, 0.4105713480902037, 0.38254611650181736, 0.3788676787961218, 0.39571886080496743]",0.3874817265802874,"[0.29352894897403214, 0.2777017339512212, 0.2275027733603976, 0.22542945203279852, 0.172548216197568, 0.21152043077294058, 0.2253737889606383, 0.20279483566365764, 0.2668805741610205, 0.2072755889353708]",TRAIN,0.38251300390227005,0.39245044925830475
topo,3,C,ACTIVITY,SVR,"[0.41634379020643764, 0.37957429305820123, 0.4214877770569445, 0.405935885046265, 0.43037643138697845, 0.43465473531097254, 0.406726043576464, 0.4103725537114985, 0.40566829397627846, 0.41158516011629664]",0.4122724963446337,"[0.2597002732193895, 0.36080797600379433, 0.28196496969662266, 0.24110787881366846, 0.18903809112333392, 0.15876666290724695, 0.2841511341878805, 0.19406529793088811, 0.24920811530034703, 0.2948962901108372]",TRAIN,0.40767032305506845,0.41687466963419895
