feature,timepoint,context,response,model,R^2,num_observations,set,ci_lower,ci_upper
topo,0,C,ACTIVITY,MLR,0.3112301806196747,500,TRAIN,0.2655028300,0.3660363600
topo,0,C,ACTIVITY,RF,0.38098482872395856,500,TRAIN,0.3405596300,0.4234728500
topo,0,C,ACTIVITY,SVR,0.5051583233183596,500,TRAIN,0.4671063400,0.5642616800
topo,0,C,ACTIVITY,MLP,0.5320441350769245,500,TRAIN,0.4315585500,0.6233826700
topo,0,C,ACTIVITY,MLR,0.3154877587382885,447,TRAIN,0.2624615200,0.3685357500
topo,0,C,ACTIVITY,RF,0.3914359249487699,447,TRAIN,0.3450202000,0.4405481900
topo,0,C,ACTIVITY,SVR,0.5084426919528203,447,TRAIN,0.4598656900,0.5541832400
topo,0,C,ACTIVITY,MLP,0.5279643765648628,447,TRAIN,0.4460572100,0.6525666600
topo,0,C,ACTIVITY,MLR,0.3329904230361975,395,TRAIN,0.2686850700,0.4125731000
topo,0,C,ACTIVITY,RF,0.40091218546177737,395,TRAIN,0.3271297500,0.4695123300
topo,0,C,ACTIVITY,SVR,0.5211524838519931,395,TRAIN,0.4706158600,0.6017165400
topo,0,C,ACTIVITY,MLP,0.5132909282690257,395,TRAIN,0.4313154500,0.5995829200
topo,0,C,ACTIVITY,MLR,0.33884643169179623,343,TRAIN,0.2707667200,0.4214171600
topo,0,C,ACTIVITY,RF,0.4268010761648076,343,TRAIN,0.3622903400,0.4820918100
topo,0,C,ACTIVITY,SVR,0.5301934401895376,343,TRAIN,0.4634736800,0.6140200700
topo,0,C,ACTIVITY,MLP,0.5123025138952668,343,TRAIN,0.4182469100,0.6297936100
topo,0,C,ACTIVITY,MLR,0.3470089498587525,291,TRAIN,0.2410808800,0.4225719900
topo,0,C,ACTIVITY,RF,0.4331666935975872,291,TRAIN,0.3752562400,0.5136479300
topo,0,C,ACTIVITY,SVR,0.5381043560263132,291,TRAIN,0.4613148100,0.6247300000
topo,0,C,ACTIVITY,MLP,0.4892501252954319,291,TRAIN,0.3660098200,0.6061682100
topo,0,C,ACTIVITY,MLR,0.3812914349440646,238,TRAIN,0.2908744800,0.4670764100
topo,0,C,ACTIVITY,RF,0.4651937512634618,238,TRAIN,0.3851945500,0.5505158100
topo,0,C,ACTIVITY,SVR,0.5503992154919317,238,TRAIN,0.4579548900,0.6377906500
topo,0,C,ACTIVITY,MLP,0.4344874009162455,238,TRAIN,0.2758268100,0.5892616100
topo,0,C,ACTIVITY,MLR,0.3988540413296675,186,TRAIN,0.2770283000,0.5387346800
topo,0,C,ACTIVITY,RF,0.5151014354836629,186,TRAIN,0.4384462700,0.5972960600
topo,0,C,ACTIVITY,SVR,0.5719913507104927,186,TRAIN,0.4607862800,0.6667540300
topo,0,C,ACTIVITY,MLP,0.4060999849939197,186,TRAIN,0.2404805100,0.5649311300
topo,0,C,ACTIVITY,MLR,0.4837950623143883,134,TRAIN,0.3666504200,0.6090955000
topo,0,C,ACTIVITY,RF,0.5845906273540876,134,TRAIN,0.5087711000,0.6724866400
topo,0,C,ACTIVITY,SVR,0.5897455452476019,134,TRAIN,0.4583954500,0.7040833500
topo,0,C,ACTIVITY,MLP,0.34003722548459875,134,TRAIN,0.0093787700,0.5337690600
topo,0,C,ACTIVITY,MLR,0.6152068873011317,82,TRAIN,0.4564648400,0.7557616500
topo,0,C,ACTIVITY,RF,0.6402891063248329,82,TRAIN,0.5540748000,0.7525165100
topo,0,C,ACTIVITY,SVR,0.6405779100443962,82,TRAIN,0.5011678300,0.7695913100
topo,0,C,ACTIVITY,MLP,0.2350125752326381,82,TRAIN,-0.0000003646,0.5494819070
topo,0,C,GROWTH,MLR,0.3323759310878319,500,TRAIN,0.2875133500,0.3837419900
topo,0,C,GROWTH,RF,0.4722357455156378,500,TRAIN,0.4348917900,0.5184921800
topo,0,C,GROWTH,SVR,0.4990929058826349,500,TRAIN,0.4464535500,0.5650756200
topo,0,C,GROWTH,MLP,0.3365385905619987,500,TRAIN,0.2877047100,0.3837391700
topo,0,C,GROWTH,MLR,0.3459307071118806,447,TRAIN,0.2953765000,0.3904272000
topo,0,C,GROWTH,RF,0.4891058708877673,447,TRAIN,0.4412037900,0.5349527300
topo,0,C,GROWTH,SVR,0.5011834245030563,447,TRAIN,0.4451617200,0.5659828500
topo,0,C,GROWTH,MLP,0.32832064133403804,447,TRAIN,0.2684857100,0.3903214500
topo,0,C,GROWTH,MLR,0.34475785056232805,395,TRAIN,0.2831207600,0.4193767200
