feature,timepoint,context,response,model,R^2,set,ci_lower,ci_upper
topo,0,C,ACTIVITY,MLR,0.3590344002463912,TRAIN,0.3050788100,0.4149321600
topo,0,C,ACTIVITY,RF,0.454644252903802,TRAIN,0.4153448100,0.4907263800
topo,0,C,ACTIVITY,SVR,0.5009975341680935,TRAIN,0.4635906500,0.5357245300
topo,0,C,ACTIVITY,MLP,0.5319020629261211,TRAIN,0.4164262800,0.6479749600
topo,0,C,GROWTH,MLR,0.36840273426993897,TRAIN,0.3243959200,0.4180868600
topo,0,C,GROWTH,RF,0.4694187200495089,TRAIN,0.4363028600,0.5110512500
topo,0,C,GROWTH,SVR,0.498712870442196,TRAIN,0.4616661500,0.5368568800
topo,0,C,GROWTH,MLP,0.4940809503737264,TRAIN,0.4367115000,0.5553146300
topo,0,C,SYMMETRY,MLR,0.08096670853478732,TRAIN,0.0567187800,0.1065494600
topo,0,C,SYMMETRY,RF,0.10195695718877493,TRAIN,0.0842133100,0.1238482500
topo,0,C,SYMMETRY,SVR,0.333229086369178,TRAIN,0.3044056400,0.3654473700
topo,0,C,SYMMETRY,MLP,0.054817071077843546,TRAIN,0.0095239600,0.1197801600
topo,1,C,ACTIVITY,MLR,0.35916230557591283,TRAIN,0.3142995000,0.3927209600
topo,1,C,ACTIVITY,RF,0.3831432538760678,TRAIN,0.3451406100,0.4361615100
topo,1,C,ACTIVITY,SVR,0.4854145930036674,TRAIN,0.4519268400,0.5125320000
topo,1,C,ACTIVITY,MLP,0.4892930614824126,TRAIN,0.4436606600,0.5568277000
topo,1,C,GROWTH,MLR,0.3649533039049161,TRAIN,0.3194502900,0.4131006200
topo,1,C,GROWTH,RF,0.4508068525853485,TRAIN,0.4183965600,0.4828827800
topo,1,C,GROWTH,SVR,0.3995484019152983,TRAIN,0.3505773500,0.4361476900
topo,1,C,GROWTH,MLP,0.482497576727248,TRAIN,0.4110885000,0.5458730300
topo,1,C,SYMMETRY,MLR,0.0,TRAIN,0.0000000000,0.0000000000
topo,1,C,SYMMETRY,RF,0.2473395582897471,TRAIN,0.2339681700,0.2652317600
topo,1,C,SYMMETRY,SVR,0.3143016499581221,TRAIN,0.2897772700,0.3468442900
topo,1,C,SYMMETRY,MLP,0.027003890140830714,TRAIN,0.0004926200,0.0652021000
topo,2,C,ACTIVITY,MLR,0.4066516556126637,TRAIN,0.3569143300,0.4457938400
topo,2,C,ACTIVITY,RF,0.3770859949684515,TRAIN,0.3396984500,0.4199479100
topo,2,C,ACTIVITY,SVR,0.4941736984099118,TRAIN,0.4550297600,0.5283784700
topo,2,C,ACTIVITY,MLP,0.5194409372906393,TRAIN,0.4412324400,0.6021018200
topo,2,C,GROWTH,MLR,0.4147359332863675,TRAIN,0.3773575200,0.4455692900
topo,2,C,GROWTH,RF,0.3923596478390901,TRAIN,0.3319488500,0.4524091200
topo,2,C,GROWTH,SVR,0.377500505798769,TRAIN,0.3167091500,0.4300755500
topo,2,C,GROWTH,MLP,0.4168020742794088,TRAIN,0.3502011500,0.4848124100
topo,2,C,SYMMETRY,MLR,0.01615903709742611,TRAIN,0.0056466600,0.0382399500
topo,2,C,SYMMETRY,RF,0.09876274163594552,TRAIN,0.0826939600,0.1207683800
topo,2,C,SYMMETRY,SVR,0.3346929066044124,TRAIN,0.3042771700,0.3680339000
topo,2,C,SYMMETRY,MLP,0.038097738348058484,TRAIN,0.0000855998,0.0802554345
topo,3,C,ACTIVITY,MLR,0.35762949374345765,TRAIN,0.3090440200,0.4128407300
topo,3,C,ACTIVITY,RF,0.3882573009934817,TRAIN,0.3502057300,0.4285764300
topo,3,C,ACTIVITY,SVR,0.42470282103673856,TRAIN,0.3927634000,0.4650788400
topo,3,C,ACTIVITY,MLP,0.5527400417667827,TRAIN,0.4648324200,0.6195718700
topo,3,C,GROWTH,MLR,0.35383083803231824,TRAIN,0.3226411900,0.3985269900
topo,3,C,GROWTH,RF,0.5969015820879047,TRAIN,0.5630189900,0.6272063300
topo,3,C,GROWTH,SVR,0.4927252920187106,TRAIN,0.4465743200,0.5332969500
topo,3,C,GROWTH,MLP,0.4785752581078186,TRAIN,0.4095492900,0.5473141200
topo,3,C,SYMMETRY,MLR,0.0,TRAIN,0.0000000000,0.0000000000
topo,3,C,SYMMETRY,RF,0.2601668384837205,TRAIN,0.2465912600,0.2769420200
topo,3,C,SYMMETRY,SVR,0.33790454396988523,TRAIN,0.2975137900,0.3670316000
topo,3,C,SYMMETRY,MLP,0.02251328806335724,TRAIN,0.0023543200,0.0515518100
topo,4,C,ACTIVITY,MLR,0.3548047860538216,TRAIN,0.3212354800,0.3965154900
topo,4,C,ACTIVITY,RF,0.3918624908816195,TRAIN,0.3413748900,0.4303255900
topo,4,C,ACTIVITY,SVR,0.5060693965050104,TRAIN,0.4662759300,0.5563487000
topo,4,C,ACTIVITY,MLP,0.4969175953643302,TRAIN,0.4289057500,0.5663087700
topo,4,C,GROWTH,MLR,0.3847464405077077,TRAIN,0.3436662200,0.4208810000
topo,4,C,GROWTH,RF,0.604395311417122,TRAIN,0.5749276900,0.6376312800
topo,4,C,GROWTH,SVR,0.4958780332948853,TRAIN,0.4529086100,0.5492864900
topo,4,C,GROWTH,MLP,0.4251162982686332,TRAIN,0.3575226000,0.4845468500
topo,4,C,SYMMETRY,MLR,0.0,TRAIN,0.0000000000,0.0000000000
topo,4,C,SYMMETRY,RF,0.26710134036424243,TRAIN,0.2486599700,0.2839403200
topo,4,C,SYMMETRY,SVR,0.3321203250417316,TRAIN,0.2876470700,0.3763824400
topo,4,C,SYMMETRY,MLP,0.11506753042705901,TRAIN,0.0172523500,0.3564905200
topo,5,C,ACTIVITY,MLR,0.3457856344048874,TRAIN,0.2913674300,0.3861700400
topo,5,C,ACTIVITY,RF,0.4060562035725233,TRAIN,0.3657754300,0.4503517800
topo,5,C,ACTIVITY,SVR,0.508401449460765,TRAIN,0.4685613600,0.5577333100
topo,5,C,ACTIVITY,MLP,0.5096126913378892,TRAIN,0.4509970700,0.5600482400
topo,5,C,GROWTH,MLR,0.37323272313804107,TRAIN,0.3447895300,0.4378839100
topo,5,C,GROWTH,RF,0.4062776668899356,TRAIN,0.3542336400,0.4460077400
topo,5,C,GROWTH,SVR,0.5219484681799866,TRAIN,0.4762722800,0.5659649100
topo,5,C,GROWTH,MLP,0.4101629053609796,TRAIN,0.3723631700,0.4837569400
topo,5,C,SYMMETRY,MLR,0.09180767463644393,TRAIN,0.0621119600,0.1223274000
topo,5,C,SYMMETRY,RF,0.27363307135685544,TRAIN,0.2578117000,0.2895734500
topo,5,C,SYMMETRY,SVR,0.3262832358797468,TRAIN,0.2860035200,0.3589386400
topo,5,C,SYMMETRY,MLP,0.16224311083964266,TRAIN,0.0063054200,0.5952306400
topo,6,C,ACTIVITY,MLR,0.3460166934607803,TRAIN,0.2937341000,0.3923857000
topo,6,C,ACTIVITY,RF,0.4432198773569268,TRAIN,0.3985788100,0.5126573600
topo,6,C,ACTIVITY,SVR,0.37219272756433097,TRAIN,0.3319807500,0.4075869400
topo,6,C,ACTIVITY,MLP,0.5272223642568962,TRAIN,0.4585298600,0.5930427400
topo,6,C,GROWTH,MLR,0.5847336670628028,TRAIN,0.5408513700,0.6227083400
topo,6,C,GROWTH,RF,0.7162704705845293,TRAIN,0.6712869000,0.7571954000
topo,6,C,GROWTH,SVR,0.5763543557308026,TRAIN,0.5159476700,0.6505331300
topo,6,C,GROWTH,MLP,0.6155182671772755,TRAIN,0.5574928200,0.6491582900
topo,6,C,SYMMETRY,MLR,0.12029607660851822,TRAIN,0.0944950600,0.1495437800
topo,6,C,SYMMETRY,RF,0.2990429233700131,TRAIN,0.2715387200,0.3256516800
topo,6,C,SYMMETRY,SVR,0.3391805263713657,TRAIN,0.2843975300,0.3811964600
topo,6,C,SYMMETRY,MLP,0.11792333992962688,TRAIN,-0.0000008335,0.3309096820
topo,7,C,ACTIVITY,MLR,0.4029296580812584,TRAIN,0.3588857000,0.4580981100
topo,7,C,ACTIVITY,RF,0.4238802486228155,TRAIN,0.3901608100,0.4673127400
topo,7,C,ACTIVITY,SVR,0.36234568931614697,TRAIN,0.3189955000,0.4274202400
topo,7,C,ACTIVITY,MLP,0.5285728135589349,TRAIN,0.4703394700,0.6016671200
topo,7,C,GROWTH,MLR,0.6995523137289511,TRAIN,0.6743157100,0.7275983500
topo,7,C,GROWTH,RF,0.8738481006578722,TRAIN,0.8559408800,0.8864705800
topo,7,C,GROWTH,SVR,0.6945657765887491,TRAIN,0.6595822200,0.7190627300
topo,7,C,GROWTH,MLP,0.6876503835648319,TRAIN,0.6524054600,0.7174266000
topo,7,C,SYMMETRY,MLR,0.14177213726404622,TRAIN,0.0922642000,0.2162384900
