timepoint,set,model,context,response,feature,r2,r2_se,rmse,rmse_se
0,TRAIN,MLR,C,ACTIVITY,naive,0.2186702444145609,0.0060085591945050545,0.3225058180939883,0.0019230589787713164
0,TEST,MLR,C,ACTIVITY,naive,0.14030059440843398,0.013138708132104934,0.3370053804543195,0.004481870021145408
0,TRAIN,RF,C,ACTIVITY,naive,0.5098091039450645,0.005761351744437388,0.2556665589192917,0.0022888178093408078
0,TEST,RF,C,ACTIVITY,naive,0.21177133657992328,0.0201113248883659,0.32274610250729374,0.006964591303726046
0,TRAIN,SVR,C,ACTIVITY,naive,0.44681190827684236,0.007854632648079871,0.2726103083244876,0.0020426594333674128
0,TEST,SVR,C,ACTIVITY,naive,0.18480437920294812,0.014670589326729067,0.3255553254949756,0.0035607406894113142
0,TRAIN,MLP,C,ACTIVITY,naive,0.37409161867453256,0.009014689043898216,0.2908106237075888,0.0020706072204425695
0,TEST,MLP,C,ACTIVITY,naive,0.2087613042049649,0.022865964810177875,0.31827108629795314,0.005035357197376044
0,TRAIN,MLR,C,GROWTH,naive,0.24379627865723696,0.010810643220909634,0.18875271546530809,0.001839411736033602
0,TEST,MLR,C,GROWTH,naive,0.1522921485614578,0.026974443570348762,0.19869461375668077,0.004342821771985393
0,TRAIN,RF,C,GROWTH,naive,0.3839701304104738,0.008423561044471417,0.1700761127843382,0.0007547621402125131
0,TEST,RF,C,GROWTH,naive,0.24165207822986418,0.01776530661931986,0.18836756145009914,0.0014147352438766579
0,TRAIN,SVR,C,GROWTH,naive,0.36214501459761145,0.011627083820940779,0.17438377720244563,0.0017018603511609405
0,TEST,SVR,C,GROWTH,naive,0.22338679905281017,0.034243353443956744,0.18769296976184052,0.004386785934327349
0,TRAIN,MLP,C,GROWTH,naive,0.3635891670385963,0.017107536883601348,0.17290715608303567,0.002017217989831527
0,TEST,MLP,C,GROWTH,naive,0.20105879467261634,0.018028505243162244,0.19323140996147742,0.0033351202687068554
0,TRAIN,MLR,C,SYMMETRY,naive,0.025747075554385233,0.0033179817120750307,0.08071907714992768,0.0005331732524008822
0,TEST,MLR,C,SYMMETRY,naive,0.003088328870125112,0.0057849693040619155,0.08169942689101557,0.0012967443941612681
0,TRAIN,RF,C,SYMMETRY,naive,0.09930563894758963,0.0020667706437199292,0.07721678469953211,0.00046107585496339725
0,TEST,RF,C,SYMMETRY,naive,0.0036652378748667225,0.003579493230305155,0.08266985398465396,0.0011379068497201022
0,TRAIN,SVR,C,SYMMETRY,naive,0.30763469124403975,0.00344696020387391,0.06851174266167284,0.00032218457061303126
0,TEST,SVR,C,SYMMETRY,naive,-0.06944991997393904,0.013896616706557388,0.08319289743756256,0.0009789319105665628
0,TRAIN,MLP,C,SYMMETRY,naive,0.04894892430151,0.005834205832949274,0.08040820377224049,0.00047138693724320917
