Unnamed: 0,R^2,num_observations,set,model,context,response,feature
0,0.01170035895996191,150,TEST,MLR,CH,ACTIVITY,spatial
0,0.11880034174479093,350,TRAIN,MLR,CH,ACTIVITY,spatial
0,0.04192139409556584,150,TEST,RF,CH,ACTIVITY,spatial
0,0.16780869545160382,350,TRAIN,RF,CH,ACTIVITY,spatial
0,0.03994851680352463,150,TEST,SVR,CH,ACTIVITY,spatial
0,0.1986724226713955,350,TRAIN,SVR,CH,ACTIVITY,spatial
0,0.03228403479715936,150,TEST,MLP,CH,ACTIVITY,spatial
0,0.21598785418877364,350,TRAIN,MLP,CH,ACTIVITY,spatial
0,0.254213105097594,150,TEST,MLR,CH,GROWTH,spatial
0,0.5158470009833971,350,TRAIN,MLR,CH,GROWTH,spatial
0,0.1906808832007396,150,TEST,RF,CH,GROWTH,spatial
0,0.3836794675939813,350,TRAIN,RF,CH,GROWTH,spatial
0,0.2590141827608019,150,TEST,SVR,CH,GROWTH,spatial
0,0.5404430361713326,350,TRAIN,SVR,CH,GROWTH,spatial
0,0.21537462892183035,150,TEST,MLP,CH,GROWTH,spatial
0,0.566156648943229,350,TRAIN,MLP,CH,GROWTH,spatial
0,0.17393349661598326,150,TEST,MLR,CH,SYMMETRY,spatial
0,0.2990907218978519,350,TRAIN,MLR,CH,SYMMETRY,spatial
0,0.15189244752966824,150,TEST,RF,CH,SYMMETRY,spatial
0,0.35356682474853474,350,TRAIN,RF,CH,SYMMETRY,spatial
0,0.06623009305930361,150,TEST,SVR,CH,SYMMETRY,spatial
0,0.31062965593629543,350,TRAIN,SVR,CH,SYMMETRY,spatial
0,0.1523012981055678,150,TEST,MLP,CH,SYMMETRY,spatial
0,0.3674090143797731,350,TRAIN,MLP,CH,SYMMETRY,spatial
0,0.03121102984070656,150,TEST,MLR,CH,ACTIVITY,topo
0,0.1938522479049748,350,TRAIN,MLR,CH,ACTIVITY,topo
0,0.0435480947803748,150,TEST,RF,CH,ACTIVITY,topo
0,0.17376908137259428,350,TRAIN,RF,CH,ACTIVITY,topo
0,0.02297334996391653,150,TEST,SVR,CH,ACTIVITY,topo
0,0.1674314625110077,350,TRAIN,SVR,CH,ACTIVITY,topo
0,0.01658865691671918,150,TEST,MLP,CH,ACTIVITY,topo
0,0.19625085562825492,350,TRAIN,MLP,CH,ACTIVITY,topo
0,0.2134878531891692,150,TEST,MLR,CH,GROWTH,topo
0,0.3441173614550559,350,TRAIN,MLR,CH,GROWTH,topo
0,0.17793145004418098,150,TEST,RF,CH,GROWTH,topo
0,0.3845849359195116,350,TRAIN,RF,CH,GROWTH,topo
0,0.1976687751901549,150,TEST,SVR,CH,GROWTH,topo
