timepoint,R^2,set,model,context,response,feature,se
0,0.2057078173249864,TRAIN,MLR,C,ACTIVITY,naive,0.0055977896099864265
0,0.17906881478613265,TEST,MLR,C,ACTIVITY,naive,0.015582046156152607
0,0.5098860080317056,TRAIN,RF,C,ACTIVITY,naive,0.005864934467454958
0,0.2022506784305778,TEST,RF,C,ACTIVITY,naive,0.024763687347479447
0,0.4558585111499244,TRAIN,SVR,C,ACTIVITY,naive,0.005923181707489878
0,0.16113508569726528,TEST,SVR,C,ACTIVITY,naive,0.01446419265101634
0,0.3709890230173424,TRAIN,MLP,C,ACTIVITY,naive,0.011493744152790725
0,0.20217666976054832,TEST,MLP,C,ACTIVITY,naive,0.02824627420482878
0,0.22641722651355528,TRAIN,MLR,C,GROWTH,naive,0.009072557795377002
0,0.18998388468397726,TEST,MLR,C,GROWTH,naive,0.01943930241001179
0,0.3935776479325647,TRAIN,RF,C,GROWTH,naive,0.005359212340986063
0,0.2391360701528531,TEST,RF,C,GROWTH,naive,0.015487607515859111
0,0.36011080524463884,TRAIN,SVR,C,GROWTH,naive,0.008020966978584999
0,0.2222018100951837,TEST,SVR,C,GROWTH,naive,0.02200974099343321
0,0.33410093263280327,TRAIN,MLP,C,GROWTH,naive,0.02324915414973179
0,0.23057379509201584,TEST,MLP,C,GROWTH,naive,0.017520085227573846
0,0.021409892314847655,TRAIN,MLR,C,SYMMETRY,naive,0.0031720154335609534
0,-0.009371178777598443,TEST,MLR,C,SYMMETRY,naive,0.006706081047943946
0,0.1064479566637035,TRAIN,RF,C,SYMMETRY,naive,0.0032042075293169975
0,-0.014271184273897019,TEST,RF,C,SYMMETRY,naive,0.007309993054717506
0,0.31031693941667327,TRAIN,SVR,C,SYMMETRY,naive,0.006409787113395484
0,-0.05446668937012731,TEST,SVR,C,SYMMETRY,naive,0.014783076172587251
0,0.046645442221399415,TRAIN,MLP,C,SYMMETRY,naive,0.0031351173271911208
0,-0.0028365715364121135,TEST,MLP,C,SYMMETRY,naive,0.01057235558649548
0,0.34790185491205206,TRAIN,MLR,C,ACTIVITY,topo,0.008069132583307654
0,0.2206180248472251,TEST,MLR,C,ACTIVITY,topo,0.016422870392845148
0,0.4424986385975517,TRAIN,RF,C,ACTIVITY,topo,0.008126472110873667
0,0.27168613085510773,TEST,RF,C,ACTIVITY,topo,0.017352806332957126
0,0.5046227980119308,TRAIN,SVR,C,ACTIVITY,topo,0.0044316675450913464
0,0.2474193255369906,TEST,SVR,C,ACTIVITY,topo,0.016108208722905727
0,0.5404675056227227,TRAIN,MLP,C,ACTIVITY,topo,0.013330958253259166
0,0.16854550422825532,TEST,MLP,C,ACTIVITY,topo,0.02680730504701068
