feature,timepoint,context,response,model,train_r2s,R^2,test_r2s,num_observations,set,se_lower,se_upper
topo,0,C,ACTIVITY,MLR,"[0.8785889616250053, 0.7570097078078524, 0.8663121123530558, 0.7248146556631618, 0.9015978577482266, 0.7412983903577122, 0.7981963810266606, 0.8728101892102457, 0.7482794264543269, 0.8062804388102481]",0.8095188121056497,"[6.034735409243819e-05, 0.16184451113754872, -0.19256383432740054, -4.857460670227442, -1.8902458304045902, -30.710067081577357, -0.8452644619409513, 0.3814215788409785, -1.1185030419684447, -1.2732578860289303]",50,TRAIN,0.7897816678015186,0.8292559564097808
topo,0,C,ACTIVITY,RF,"[0.7309842999144824, 0.6557266424545416, 0.6658413241038151, 0.760662804721212, 0.7875151845512691, 0.7191057614689593, 0.7322583123345611, 0.7840183890440253, 0.7843715660561194, 0.6622234768068445]",0.728270776145583,"[-0.42633865826466777, 0.24186043686251357, 0.1789331705468078, -0.28764674107382215, -0.8411612210043351, -0.2987551486426847, 0.17384192421907885, 0.27436913520380846, 0.27382232740108037, 0.0556608802997125]",50,TRAIN,0.7126362524463045,0.7439052998448615
topo,0,C,ACTIVITY,SVR,"[0.6706046829844208, 0.7625842863638277, 0.7495356335532333, 0.525783368567619, 0.6306739649607203, 0.6095261802042438, 0.7228535544509596, 0.7336713852967542, 0.7130629258943202, 0.6904869194756251]",0.6808782901751724,"[-0.02994754472624761, 0.18071323704667097, -0.09707378779487308, -0.12759797643344406, -0.048722747213544526, 0.4700508391217767, -0.0778852107453405, 0.30059165527483667, 0.09140097589300011, 0.07131430508882175]",50,TRAIN,0.6587788579583563,0.7029777223919885
topo,0,C,ACTIVITY,MLP,"[-2.746699512279349e-08, -6.234784022396411e-09, 1.3098930384813912e-08, -3.958027328110347e-08, -5.668402414116258e-09, -5.135753822216316e-09, -3.859761110724946e-08, 0.28425506617439433, -1.7168163579661666e-07, -5.994001361919743e-08]",0.028425472496785557,"[-0.0005082365097393016, -0.24493840186720073, -0.4739194741646382, -0.0019733554714136403, -0.2635601383972155, -0.004711117484358818, -0.02920849520068236, -0.13025951376327893, -0.00011719539215748753, -0.011480762546296708]",50,TRAIN,0.0014586655335592086,0.055392279460011906
topo,0,C,ACTIVITY,MLR,"[0.6625429353150035, 0.4713534189180749, 0.5722195290687464, 0.6015388604430636, 0.5721863924039281, 0.5893137021614976, 0.6480206230402893, 0.5681041309886282, 0.6445775914407788, 0.48233462162786866]",0.5812191805407879,"[-0.20646323450228343, -463.1862411872986, -0.0950759574819462, -0.13126910306359574, 0.11844869918812273, 0.053065842608019165, -0.07746578818800587, -58.13911454835575, 0.1309321886731507, -0.1849154775270525]",100,TRAIN,0.5617893283037783,0.6006490327777976
topo,0,C,ACTIVITY,RF,"[0.5984941773694148, 0.6322071260903251, 0.5798503311667302, 0.7288935765548263, 0.6127892260704155, 0.5651298229013615, 0.5456662305890918, 0.6467429210315065, 0.6728878656913014, 0.5771298760742918]",0.6159791153539265,"[0.14928616145281837, -0.08754926152367215, 0.1927539270741676, 0.21633036626651392, 0.12790468785781461, 0.14648517129612248, -0.011981905712612484, 0.4702251414077091, 0.17224081478289144, 0.3146674127519665]",100,TRAIN,0.599288385986468,0.6326698447213849
topo,0,C,ACTIVITY,SVR,"[0.5582453992525105, 0.6439741802587317, 0.6877237404800924, 0.5753348318177495, 0.6173094947980262, 0.5707897765295789, 0.540855072685416, 0.6210129774868665, 0.584488416173087, 0.6614496360426659]",0.6061183525524725,"[0.22292300516598296, -0.14516697125895495, 0.35375491658340497, 0.08659768591360884, 0.32778718769174797, 0.16663515011682228, 0.06990630549187049, 0.2611372720223606, 0.13117979178713646, 0.12833476925836496]",100,TRAIN,0.5917253513308423,0.6205113537741027
topo,0,C,ACTIVITY,MLP,"[0.31401795613668315, 0.31433547806064444, 0.44234572076141787, 0.31485174481586564, 0.2123032622666774, 1.6075074750210305e-06, 0.3013604343966576, 0.3793059656967739, 7.630121534596412e-09, 0.3478890880925155]",0.2626411265364832,"[0.08684786273078082, 0.11404411841374495, -0.02984809769516228, -0.05175993534860268, -0.0613660185160918, -0.003822141322257444, 0.219023270844659, -0.053181982917661186, -0.030841378899206573, 0.21454161927089843]",100,TRAIN,0.21756314590643708,0.3077191071665293
topo,0,C,ACTIVITY,MLR,"[0.45142330883193504, 0.6021504203364865, 0.28259199713837635, 0.4027469617705365, 0.33973349796430186, 0.367936081282622, 0.5672979154474642, 0.45381301930615514, 0.40961274626134203, 0.5812378088989294]",0.4458543757238149,"[0.1304088307995458, 0.11612873614967945, 0.07882315730162848, -0.01736780108600855, 0.03656696071237242, 0.25375284120789, -0.10014742656115105, -0.07094507747517298, 0.42499788422875506, 0.3103445556300458]",150,TRAIN,0.41348784604972516,0.4782209053979047
topo,0,C,ACTIVITY,RF,"[0.5603848791438033, 0.6507845340495648, 0.5484268733865687, 0.5721005861279809, 0.5921892818355972, 0.5340904105864243, 0.5913824376333413, 0.5668740789908053, 0.5427171679155405, 0.5048866845099809]",0.5663836934179607,"[0.3582195145007725, -0.2910886431315134, 0.3151145301834304, 0.34424043886792455, 0.21832490454232067, 0.08323160984441935, 0.26918173883473817, 0.10653587675358567, 0.386535041975964, 0.16897301497958817]",150,TRAIN,0.5544712769318425,0.5782961099040789
