,RADIUS,LENGTH,WALL,SHEAR,CIRCUM,FLOW,NODES,EDGES,GRADIUS,GDIAMETER,AVG_ECCENTRICITY,AVG_SHORTEST_PATH,AVG_IN_DEGREES,AVG_OUT_DEGREES,AVG_DEGREE,AVG_CLUSTERING,AVG_CLOSENESS,AVG_BETWEENNESS,AVG_CORENESS,GRADIUS:FLOW,GDIAMETER:FLOW,AVG_ECCENTRICITY:FLOW,AVG_SHORTEST_PATH:FLOW,AVG_CLOSENESS:FLOW,AVG_BETWEENNESS:FLOW,GRADIUS:WALL,GDIAMETER:WALL,AVG_ECCENTRICITY:WALL,AVG_SHORTEST_PATH:WALL,AVG_CLOSENESS:WALL,AVG_BETWEENNESS:WALL,GRADIUS:SHEAR,GDIAMETER:SHEAR,AVG_ECCENTRICITY:SHEAR,AVG_SHORTEST_PATH:SHEAR,AVG_CLOSENESS:SHEAR,GRADIUS:RADIUS,GDIAMETER:RADIUS,AVG_ECCENTRICITY:RADIUS,AVG_SHORTEST_PATH:RADIUS,AVG_CLOSENESS:RADIUS,AVG_BETWEENNESS:RADIUS,GRADIUS:PRESSURE_AVG,GDIAMETER:PRESSURE_AVG,AVG_ECCENTRICITY:PRESSURE_AVG,AVG_SHORTEST_PATH:PRESSURE_AVG,AVG_CLOSENESS:PRESSURE_AVG,AVG_BETWEENNESS:PRESSURE_AVG,GRADIUS:PRESSURE_DELTA,GDIAMETER:PRESSURE_DELTA,AVG_ECCENTRICITY:PRESSURE_DELTA,AVG_SHORTEST_PATH:PRESSURE_DELTA,AVG_CLOSENESS:PRESSURE_DELTA,GRADIUS:OXYGEN_AVG,GDIAMETER:OXYGEN_AVG,AVG_ECCENTRICITY:OXYGEN_AVG,AVG_SHORTEST_PATH:OXYGEN_AVG,AVG_CLOSENESS:OXYGEN_AVG,AVG_BETWEENNESS:OXYGEN_AVG,GRADIUS:OXYGEN_DELTA,GDIAMETER:OXYGEN_DELTA,AVG_ECCENTRICITY:OXYGEN_DELTA,AVG_SHORTEST_PATH:OXYGEN_DELTA,AVG_CLOSENESS:OXYGEN_DELTA
21,5.614102605693554,0.0,-0.4323048636835367,-0.0091794062080994,167.6367274646047,254992587.5023706,-171,-225,5.0,0.0,5.08970476807896,3.0304267631153223,-0.0131340319549642,-0.0131340319549642,-0.0262680639099288,-0.0010110328290815,-0.0021383992813347,0.0011868811978614,-0.0001559179051195,18814121674.8,37642248336.60003,23439516261.668297,8398799591.613928,-1.474101558850557e-09,0.0020412815455377,-25.59299999999999,-56.337999999999965,-31.78544474077961,-10.928399997446746,0.0016307832417721,0.0014090793663784,1.1297839999999977,3.266413000000004,1.5954555809856754,0.453780732109706,-0.1440625629104786,411.5239999999999,684.6829999999998,578.1887283185213,320.85256050656824,-0.0024678691641398,0.0012568962852062,27.872499999999945,-222.02400000000037,14.026993978695828,119.84048033125669,-6.28896165754e-05,0.0011797020780746,-7.490999999999992,0.0,-6.300167037313607,-5.123200110922779,0.0344207446443445,333.1784999999986,-103.10850000000391,315.56363141007205,193.68044411509527,-2.289433503279998e-05,0.0011868811978614,0.0170000000000101,0.034000000000006,0.0201509298998622,0.0022667487964716,584.0118942813166
22,5.511980239543051,0.0,-0.298634793778991,-0.0086803811377456,171.18018724136425,224144795.46214983,-256,-349,11.0,0.0,6.280596308497863,3.089565505297209,-0.0294798861568428,-0.0294798861568428,-0.0589597723136856,-0.0005269343859185,-0.0021601888254375,0.0015657328457716,-0.0018826651280208,24857355629.9,49375190292.80002,36511716937.96112,6403937214.920643,-1.6623107789289086e-09,0.0024364360858873,-8.45999999999998,-39.923,-19.5710946718464,-6.593140962966345,0.0010170507735033,0.0017381007186542,0.9324979999999998,3.0047659999999974,1.479572761984468,0.2014854905331833,-0.0645081993589228,461.0780000000004,773.3460000000003,587.6950896195642,290.4043821893898,-0.0024225438361882,0.0016665940995812,435.5105000000001,264.6834999999992,358.43331824001143,234.4828422679,-0.0001097338429526,0.0015563812912386,-9.192999999999998,0.0,-8.315046408991478,-6.7777663030698,0.0510090679585089,788.677500000002,-104.06150000001072,402.094118146837,196.35396493587905,-2.346677894800005e-05,0.0015657328457716,0.0380000000000109,0.0760000000000076,0.0403689375614761,0.0039784363233882,-1744.4525698319726
23,5.247632967637923,0.0,-0.4318026974951834,-0.0064314612952695,145.05902145806294,183936250.6424974,-196,-260,18.0,4.0,8.632765134972317,5.499422824458101,-0.0194849260580651,-0.0194849260580651,-0.0389698521161303,-0.0004620061700661,-0.0032313622095695,0.0019234086799078,-0.0002194853739876,23302287059.1,40417450576.20001,31841220887.019257,13991933318.165903,-1.5215534709960803e-09,0.0030609148877879,11.515000000000043,-29.65300000000002,-2.472794792373577,7.651855955814156,-0.0010454546633352,0.0023883300139588,1.6794440000000002,3.1159220000000003,2.0223345227335323,0.8866509370912461,-0.2961341824096127,592.098,800.4720000000003,656.9696184896269,386.0744070530538,-0.0022305525037803,0.0019589579758192,652.1904999999997,150.52450000000044,265.5006542618239,156.58295243304315,-6.270693521310004e-05,0.0019094730125017,-2.82500000000001,0.0,-3.767654768543725,-2.979281987514394,0.0194997279572003,1308.3374999999987,192.3675000000076,571.9269509355054,375.1943346663365,-3.827205152459997e-05,0.0019234086799078,0.0969999999999941,0.1380000000000052,0.1235797728550499,0.0025847493746189,-554.8070465601404
24,5.408206401080647,0.0,-0.4874974175754809,-0.0086475591285503,154.4870254288715,250171056.05841887,-170,-233,14.0,5.0,8.16831451562598,4.368172007274744,-0.020008109288254,-0.020008109288254,-0.040016218576508,-0.0003829577955367,-0.0026296746043352,0.001376031095738,-0.0001559478510388,20387257185.1,40967812136.40004,28475194209.362617,11024891039.82102,-1.0198678819027234e-09,0.0021048407917172,-10.81699999999998,-59.51299999999998,-38.49916954650374,-10.311915842407188,0.0009253449788678,0.001633967300815,1.1336259999999996,3.231370000000001,1.870967548250264,0.6998833935674031,-0.201115855288951,516.0909999999997,787.8199999999999,619.6199625101366,342.2420273046814,-0.0019438850864433,0.00139514002509,571.0624999999986,147.84099999999944,223.43314231021168,168.5588350671021,-7.022578398919999e-05,0.0013636334172105,-7.585000000000001,0.0,-5.172323810117902,-3.937788535776713,0.0241003078133427,1024.7035000000024,267.15399999999863,543.965249547754,293.4693969409991,-2.9518604523400005e-05,0.001376031095738,0.306999999999988,0.597999999999999,0.5313473426486084,0.00527856842941,-1938.734978630553
25,6.179637192852247,-7.105427357601002e-15,-0.4906492765365207,-0.0084650509962174,181.69988821005327,344409022.3163522,-256,-350,21.0,4.0,14.522449820845353,7.993687970298296,-0.0290993398976739,-0.0290993398976739,-0.0581986797953479,-0.0005417773288943,-0.0045192421662481,0.0010956232579268,-0.0009839049930144,37630559449.90002,69664245191.10004,47856087801.47639,21237349317.008556,-8.517412839015752e-10,0.00208515900976,15.287000000000091,-43.70000000000008,-10.79615134790319,-3.1389369697105565,7.112045182120115e-05,0.0011740569318197,2.252838,3.654581,2.4430369144394355,1.186799747247628,-0.2172553032389759,670.1439999999996,853.3930000000001,772.7204423245154,436.0000798877001,-0.0021413428581195,0.0010741769101914,1018.4234999999984,127.77999999999976,552.7949405119853,317.37916768412424,-0.0001189133976651,0.001079656654726,-2.899000000000001,0.0,-4.2410229562288215,-2.915179801039608,0.0120315382513539,1600.7959999999912,201.06599999999708,1060.1280822908193,586.0186680221518,-5.284213123199998e-05,0.0010956232579268,0.0019999999999953,0.0059999999999859,-0.0012367079564827,-0.0042429523622965,587.3500052064703
26,6.185896206963127,0.0,-0.5675549305968999,-0.0210696308871723,185.9669687794008,436203562.41275454,-144,-192,8.0,0.0,6.287739561170753,4.299182157975515,-0.0109814101352962,-0.0109814101352962,-0.0219628202705925,-0.0006720430107526,-0.0025217242013424,0.0012039219005576,-0.0001182916711164,34122250861.000004,70039030438.20001,46818933470.96816,17508573412.322475,-6.413368881449786e-10,0.0022942506302066,-12.968999999999966,-29.258999999999787,-17.65832755620903,-9.202174022035765,0.0008554715922471,0.0014672885668602,1.2030590000000043,3.6539060000000023,2.038649832510494,0.5790144569090656,-0.1036012789017098,560.7330000000002,1107.8219999999997,807.6219161312051,408.6860799237571,-0.0020502529074944,0.0012472563055163,161.8125,150.97999999999865,55.538546405248326,139.9641765093179,-5.530335862889994e-05,0.0011772189999257,-10.315,0.0,-6.871169258951966,-5.936659855761583,0.0282422077306909,575.7210000000077,-139.72799999999006,407.3595977093355,296.74544840937506,-2.6773390996000015e-05,0.0012039219005576,0.2549999999999812,0.451999999999984,0.405563505376516,0.0033481995326331,-152.18986872448107
27,5.417658302985119,-7.105427357601002e-15,-0.3103768684464576,-0.014099710402508,153.82268603982067,177335794.1687808,-249,-332,6.0,6.0,8.138999665579803,4.509529292334783,-0.0260220717331327,-0.0260220717331327,-0.0520441434662655,-0.0006743534572149,-0.0032734099702674,0.0066926335528881,-0.0017933283170303,17917800615.100002,35772901802.1,23859083146.43782,7450994522.340337,-2.5532601258163313e-09,0.0096534061279413,-6.481999999999914,-14.21599999999998,-0.9929548114705824,2.2463861703378853,-0.0005306275950744,0.0072168497344181,1.0477929999999993,2.727094000000002,1.6718037151805871,0.3847341106410409,-0.1574715630894577,409.31,812.227000000001,656.2667088057023,323.7530908180862,-0.003009787919395,0.0070942074450475,91.66549999999984,155.76450000000068,262.2100873223394,198.3391416983461,-0.0001061486506812,0.006684795561082,-7.108999999999995,0.0,-4.570636527046229,-5.260282937975969,0.0394399252247921,404.293499999998,356.25399999999263,541.8368669425627,304.83440392422244,-3.868859318529997e-05,0.0066926335528881,0.3819999999999908,0.4979999999999905,0.4508398148148021,0.0116033552318047,-898.0399408055368
28,5.353102546740271,-7.105427357601002e-15,-0.3423118624540153,-0.0083551561204414,154.31132216238228,178177304.00105745,-168,-229,3.0,4.0,3.4787916873118547,1.5418944782543065,-0.0199161080081027,-0.0199161080081027,-0.0398322160162054,0.0010984872091542,-0.0008306430527044,0.0018094345607975,-0.0001815516506338,15715264344.499994,31473930594.30001,22687965055.840405,9088414134.949608,-9.02190353278148e-10,0.00356628379528,-19.4789999999999,-19.90800000000013,-16.954716917209765,-13.250979073334603,0.0014181271902468,0.0022033571666046,0.8653079999999984,2.949299000000002,1.5372137377254074,0.4914380850402235,-0.1789778383890859,407.89699999999993,889.2980000000007,605.0118746720858,312.94858471636627,-0.001643505068126,0.0017311353273889,8.668499999999312,386.2799999999989,185.33322916573115,124.68239161769316,-5.149143007779995e-05,0.0018001177889708,-7.712000000000007,7.105427357601002e-15,-5.333455573068324,-4.562580349504932,0.0365268265766263,162.32949999999346,188.5265000000054,177.5494404470037,72.1478752343105,-6.855155469800013e-06,0.0018094345607975,0.069999999999979,0.1280000000000144,0.0999563957242469,0.0043267725234137,-1094.2405603839377
29,5.669089988296101,0.0,-0.4161913841197451,-0.0092263200858376,149.6070265159155,195594238.6547922,-316,-407,13.0,3.0,7.016190583730122,3.2737988459805223,-0.0206823195521264,-0.0206823195521264,-0.0413646391042532,-0.0009710760512842,-0.0020226764010388,0.0021608020134378,-0.0007723302425457,23682614502.100006,46550400802.200005,36377730147.74853,7686748841.400907,-1.7320539768941107e-09,0.0031094045374466,7.422999999999973,5.445999999999998,10.231575479394706,-7.83831876723589,0.0013990963273789,0.0022677898532391,1.24126,3.532570000000005,1.9983863929474524,0.3626176786134636,-0.1194900557016334,539.7099999999996,862.6060000000007,668.1271372572598,323.50883070934674,-0.0024558519379589,0.0021586178321396,125.07050000000028,-240.4739999999988,-104.0765114309761,-28.585678507927923,9.929082570999943e-06,0.0021511926737798,-9.258000000000004,7.105427357601002e-15,-7.33104846958852,-6.492649397598985,0.0460972805512743,940.9000000000032,127.33599999999842,458.0420366803082,210.7611198843501,-2.2339763783000022e-05,0.0021608020134378,0.0799999999999983,0.1159999999999996,0.0990078064012493,0.0037986802302892,352.5027989193323
30,5.439436585365854,0.0,-0.4143483632862641,-0.0121404616459849,161.60813646412782,227539580.41537556,-201,-272,4.0,3.0,4.64682876094038,3.29396656807112,-0.0229679343773303,-0.0229679343773303,-0.0459358687546607,-0.0042597956925597,-0.0025308988250738,0.0025867082670897,-0.0003944424820441,17550218651.5,35117011565.5,22298027543.721527,7012432998.910862,-1.4587490534484226e-09,0.0039390775777122,-22.36,-41.71300000000016,-23.895692617449697,-10.82296036720615,0.0019245848661621,0.0028376849353527,0.7999449999999992,2.662851,1.4107287432238316,0.2751193625456947,-0.088971901634809,400.1569999999999,800.4860000000001,608.4921164468781,300.1421200650839,-0.0025437215991802,0.0026788171088478,-109.10200000000076,-30.262499999999815,61.17999733800343,116.199710611442,-6.363460193530002e-05,0.0025760183657702,-7.984000000000005,-7.105427357601002e-15,-5.6565843027591285,-5.569828910430831,0.0404953012779897,253.2089999999962,124.30550000001222,278.87202957043337,213.92769697659517,-2.81300570617e-05,0.0025867082670897,0.304000000000002,0.5600000000000023,0.3457421052631568,0.0086213360442371,182.93301193701484
