Unnamed: 0,SVR,set,MLR,RF,MLP
0,0.9246168816839204,train,0.8264079238802197,0.8326271251295572,0.8237095964139611
1,0.8686210037191501,test,0.8324296813390224,0.6786095922179186,0.8183979107230595
2,0.880667082467491,test,0.8474850903173475,0.6973366032240497,0.8342351748921963
3,0.7772839638332553,train,0.5921121512567273,0.718886649675744,0.6352453737865356
4,0.9532050564982338,test,0.8205774981806666,0.8659764147229438,0.8460783147103171
5,0.9952964567312708,train,0.9251659729216658,0.8898967609810853,0.9071961889010396
6,0.9052567705680318,train,0.8589864711878938,0.8991864404770531,0.8665604112889159
7,0.8802363441559088,test,0.7121885492827915,0.740099172544476,0.6679914111587519
8,0.9124685550628739,test,0.9183345506161094,0.8624223266309476,0.8962892240189736
9,0.6638865988485115,test,0.4868699962990924,0.6474253705936454,0.531148322831767
10,0.6650228372761596,test,0.5741108485937721,0.6346444860438111,0.5833577541823548
11,0.5620370687598083,train,0.41005325762873773,0.642799980725996,0.3822361819212071
12,0.9089609438746656,train,0.733008425332641,0.7712680821194839,0.7798842436097888
13,0.3683825962179462,test,0.4143132075428084,0.642799980725996,0.3903793374612112
14,0.9696277049526488,test,0.8332043212158172,0.8931658793024368,0.8308101317528341
15,0.955391192823686,test,0.8862917392711425,0.7728407453694072,0.8630334707294367
16,0.8475601721775426,test,0.8311051261926795,0.7390903395745181,0.827590004433211
17,0.6120338450420647,train,0.4988538824564028,0.6346444860438111,0.5230115094918529
18,0.9254488018965392,train,0.8085292578207313,0.8321949050148426,0.7572384470798534
19,0.7037928520927729,train,0.6547101370184476,0.642799980725996,0.6474830796688053
20,0.9620354826076746,train,0.8207285246040853,0.8619866895972137,0.8309092427615213
21,0.5919417549855638,train,0.5152424173124319,0.6346444860438111,0.4917011066026778
22,0.8527251444576379,train,0.7897211508796136,0.642799980725996,0.7915060732347593
23,0.8040234274395545,train,0.7673790410693768,0.6919726626893226,0.7771917649816423
24,0.8043941379086924,test,0.6165566852555306,0.6457158069526308,0.6249148350403954
25,0.9157892016492518,train,0.712985383963285,0.6853610948858642,0.7233248641960708
26,0.917289215847141,train,0.8244116681349759,0.8285295585855881,0.8134222236084296
