,model_type,n,alpha,l1_ratio,max_iter,n_estimators,max_features,max_depth,min_samples_split,min_samples_leaf,bootstrap,C,epsilon,kernel,activation,hidden_layer_sizes,solver
1f65caec-dc3a-475a-9907-d1a0576dbe0c,SVR,500,,,,,,,,,,0.8659643233600655,0.003651741272548378,sigmoid,,,
60b905f5-ba27-4141-af22-85cfdfbd7663,SVR,500,,,,,,,,,,27.384196342643612,0.11547819846894583,linear,,,
ce4e7215-728e-47d2-b51e-b0625df46484,SVR,500,,,,,,,,,,27.384196342643612,0.11547819846894583,poly,,,
1b60102c-a01d-4ef6-a424-69f8a549bc10,SVR,500,,,,,,,,,,27.384196342643612,0.11547819846894583,rbf,,,
a7b757d5-0359-4722-9004-f6394152b0a3,SVR,500,,,,,,,,,,27.384196342643612,0.11547819846894583,sigmoid,,,
91a7adba-11c9-4d1c-9658-6919ecc30cf9,SVR,500,,,,,,,,,,4.869675251658632,0.020535250264571463,linear,,,
f2d42a6c-f37a-44f6-85c3-9d6d743e33af,SVR,500,,,,,,,,,,4.869675251658632,0.020535250264571463,poly,,,
bfacfecd-d635-45e7-9efb-93d4ec7b4e0f,SVR,500,,,,,,,,,,4.869675251658632,0.020535250264571463,rbf,,,
dac102b8-cad7-4058-a0a5-62b8d5175b25,SVR,500,,,,,,,,,,4.869675251658632,0.020535250264571463,sigmoid,,,
922ab7d4-ae36-4ac8-9d81-e52b7d70f136,SVR,500,,,,,,,,,,0.15399265260594922,0.6493816315762113,linear,,,
aedcf634-75df-4f73-ae5c-12428ed5920f,SVR,500,,,,,,,,,,0.15399265260594922,0.6493816315762113,poly,,,
6ab147aa-2bb9-4593-bfb5-3d86ded07228,SVR,500,,,,,,,,,,0.15399265260594922,0.6493816315762113,rbf,,,
da68cb55-06cc-4903-839e-58fa14a7cc22,SVR,500,,,,,,,,,,0.15399265260594922,0.6493816315762113,sigmoid,,,
76b3f526-c319-43ef-906c-203454fa9f98,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,identity,"(5,)",lbfgs
acf91752-7a9d-4434-86e7-2021a555e51c,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,identity,"(5, 5)",lbfgs
f1cdc206-c8c4-4191-86d1-00f76807febc,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,identity,"(5, 10)",lbfgs
4938a780-0fd8-4b1d-8df7-678e07a065ee,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,identity,"(25,)",lbfgs
61082dda-69db-4bf5-bc1a-d82bbe068693,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,identity,"(25, 25)",lbfgs
8892f2f6-f97f-4d5d-9e31-9da75683033b,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,identity,"(25, 50)",lbfgs
c3d1b9cb-434f-4db3-a56e-d8e19459d4d6,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,identity,"(50,)",lbfgs
6b10b974-f071-413b-9cc8-c77805d3d2ac,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,identity,"(50, 25)",lbfgs
97903c3b-25e6-47fe-9c32-4bd279172299,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,identity,"(50, 50)",lbfgs
36fec20a-dcfa-4a9c-8f97-9d3a3aac5862,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,logistic,"(5,)",lbfgs
a971009c-4bf9-482d-8a48-efc670f1e892,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,logistic,"(5, 5)",lbfgs
cbac3b00-d9e8-42ac-9179-5a63cf50bbe5,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,logistic,"(5, 10)",lbfgs
86a0439c-37db-43a5-93eb-73cdf1b42223,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,logistic,"(25,)",lbfgs
6742ead6-33ef-4ad6-b7e0-bf057ac24804,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,logistic,"(25, 25)",lbfgs
580617b5-d14b-481e-b173-b3e2dd94830d,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,logistic,"(25, 50)",lbfgs
3588526b-bae7-4576-967a-db722b51664d,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,logistic,"(50,)",lbfgs
c97b0c63-12c1-4918-a863-49e9a1e8352f,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,logistic,"(50, 25)",lbfgs
2907b889-754d-47b1-b170-39a9fd74a48b,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,logistic,"(50, 50)",lbfgs
33fd26ce-39df-440d-889c-f96acc6480c1,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,tanh,"(5,)",lbfgs
0f83e89d-2371-4807-9da6-19d954f7f1b1,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,tanh,"(5, 5)",lbfgs
eadecb30-b70b-46a4-8622-de6c78f6254e,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,tanh,"(5, 10)",lbfgs
b76e3a0a-c566-49fe-b578-ac8e4eaf1f9c,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,tanh,"(25,)",lbfgs
5161ae21-e860-40dc-a75b-de8f480ea1ee,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,tanh,"(25, 25)",lbfgs
4c366ca3-fe6d-4043-8ec4-adc44c1eff08,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,tanh,"(25, 50)",lbfgs
efa19b16-27b9-402d-8daf-f9c192d0472c,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,tanh,"(50,)",lbfgs
f5efe643-486a-4a3b-b014-9a483704ab69,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,tanh,"(50, 25)",lbfgs
22068b2f-89f7-49d4-baa5-56583863b16c,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,tanh,"(50, 50)",lbfgs
6d6a734e-6dfb-4f53-92c0-c5b452967f87,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,relu,"(5,)",lbfgs
a75bbfee-dad6-4f9e-9455-c3c66dbe8bcb,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,relu,"(5, 5)",lbfgs
6afca2f4-b8af-46d6-a811-6784bf96eed9,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,relu,"(5, 10)",lbfgs
bf146d67-c55e-48c6-91ef-f767be911707,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,relu,"(25,)",lbfgs
bb13e0b3-2cd1-4ee1-9ed3-deff91bfd0ea,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,relu,"(25, 25)",lbfgs
831b817d-56da-4fdc-aecf-f5fa61691f39,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,relu,"(25, 50)",lbfgs
