context,set,feature,response,timepoint,y_true,model,y_pred
C,train,topo,ACTIVITY,8,0.9166666666666669,SVR,0.9703096313175248
C,train,topo,ACTIVITY,8,0.8518518518518519,SVR,0.9634273570800841
C,train,topo,ACTIVITY,8,0.75,SVR,0.9784872600065224
C,train,topo,ACTIVITY,8,1.0,SVR,0.9812262293572812
C,train,topo,ACTIVITY,8,0.9272727272727272,SVR,0.9943587815693942
C,train,topo,ACTIVITY,8,1.0,SVR,0.9636461907061626
C,train,topo,ACTIVITY,8,1.0,SVR,0.9649082409900752
C,train,topo,ACTIVITY,8,0.5714285714285714,SVR,0.9536163493726288
C,train,topo,ACTIVITY,8,1.0,SVR,0.9748574631762832
C,test,topo,ACTIVITY,8,1.0,SVR,0.960869965737606
C,test,topo,ACTIVITY,8,1.0,SVR,0.9874030706753611
C,test,topo,ACTIVITY,8,0.9230769230769232,SVR,0.9659170576817128
C,train,topo,ACTIVITY,8,0.9428571428571428,SVR,0.9475318616284252
C,train,topo,ACTIVITY,8,1.0,SVR,0.9759181671093184
C,test,topo,ACTIVITY,8,1.0,SVR,0.9887915652049966
C,test,topo,ACTIVITY,8,1.0,SVR,0.9095298689282229
C,train,topo,ACTIVITY,8,1.0,SVR,0.9760444396896784
C,train,topo,ACTIVITY,8,0.8461538461538463,SVR,0.9608893463360796
C,train,topo,ACTIVITY,8,0.9661016949152544,SVR,0.9700977065740002
C,train,topo,ACTIVITY,8,1.0,SVR,0.9840849775713759
C,test,topo,ACTIVITY,8,1.0,SVR,1.001126885294445
C,test,topo,ACTIVITY,8,0.9016393442622952,SVR,0.9506591927613836
C,test,topo,ACTIVITY,8,1.0,SVR,0.9802326264139419
C,train,topo,ACTIVITY,8,0.8787878787878789,SVR,0.9567822429013536
C,train,topo,ACTIVITY,8,1.0,SVR,0.9613903590502612
C,train,topo,ACTIVITY,8,1.0,SVR,1.0061787937897062
C,train,topo,ACTIVITY,8,1.0,SVR,0.9711087688562028
C,train,topo,ACTIVITY,8,1.0,SVR,0.9761663139693492
C,test,topo,ACTIVITY,8,1.0,SVR,0.9614778980452794
C,test,topo,ACTIVITY,8,1.0,SVR,0.9708017066339548
C,train,topo,ACTIVITY,8,1.0,SVR,0.9677820906056294
C,train,topo,ACTIVITY,8,1.0,SVR,0.9661259098084879
C,train,topo,ACTIVITY,8,1.0,SVR,0.9671037871847314
C,train,topo,ACTIVITY,8,1.0,SVR,0.9681189208948292
C,train,topo,ACTIVITY,8,1.0,SVR,1.010124565198316
C,train,topo,ACTIVITY,8,1.0,SVR,0.9778435348662012
C,train,topo,ACTIVITY,8,0.8620689655172413,SVR,0.9535334520186662
C,train,topo,ACTIVITY,8,0.6799999999999999,SVR,0.9710537401708788
C,train,topo,ACTIVITY,8,1.0,SVR,0.981709788950644
C,train,topo,ACTIVITY,8,0.9636363636363636,SVR,0.967633585053198
C,train,topo,ACTIVITY,8,1.0,SVR,0.9732662482715336
C,test,topo,ACTIVITY,8,0.9183673469387754,SVR,0.9501556245863636
C,train,topo,ACTIVITY,8,0.9322033898305084,SVR,0.9674076746212332
C,train,topo,ACTIVITY,8,1.0,SVR,0.9709684195944046
C,train,topo,ACTIVITY,8,1.0,SVR,0.9683066036693956
C,train,topo,ACTIVITY,8,1.0,SVR,0.9685219460214594
C,train,topo,ACTIVITY,8,1.0,SVR,0.9687069549491748
C,train,topo,ACTIVITY,8,0.3428571428571427,SVR,0.9479265215888456
C,train,topo,ACTIVITY,8,1.0,SVR,0.9539950180018532
C,test,topo,ACTIVITY,8,1.0,SVR,0.9975017808318168
C,train,topo,ACTIVITY,8,1.0,SVR,0.966366228585576
C,train,topo,ACTIVITY,8,0.8,SVR,0.9565042646924038
C,train,topo,ACTIVITY,8,0.9024390243902438,SVR,0.9708849740293086
C,train,topo,ACTIVITY,8,1.0,SVR,0.9790704714635918
C,train,topo,ACTIVITY,8,1.0,SVR,0.9742106908086664
C,train,topo,ACTIVITY,8,1.0,SVR,0.9934880880674708
C,train,topo,ACTIVITY,8,1.0,SVR,0.966648255036608
C,test,topo,ACTIVITY,8,0.9701492537313432,SVR,0.9659897770287156
C,train,topo,ACTIVITY,8,0.9142857142857144,SVR,0.978091331206974
C,test,topo,ACTIVITY,8,0.9666666666666666,SVR,0.9511920792230396
C,test,topo,ACTIVITY,8,1.0,SVR,0.9633080308948704
C,train,topo,ACTIVITY,8,1.0,SVR,0.9438677808212272
C,train,topo,ACTIVITY,8,1.0,SVR,0.9683737554682192
C,train,topo,ACTIVITY,8,1.0,SVR,0.9829104630321248
C,train,topo,ACTIVITY,8,1.0,SVR,0.96815397594961
C,train,topo,ACTIVITY,8,1.0,SVR,0.9711243939130636
C,train,topo,ACTIVITY,8,1.0,SVR,0.9740295397819718
C,train,topo,ACTIVITY,8,1.0,SVR,0.995223608038886
C,test,topo,ACTIVITY,8,1.0,SVR,0.9624663034055034
C,train,topo,ACTIVITY,8,1.0,SVR,0.9910607362282544
C,train,topo,ACTIVITY,8,1.0,SVR,0.9633050984385588
C,test,topo,ACTIVITY,8,0.5510204081632653,SVR,0.9955403456109676
C,test,topo,ACTIVITY,8,1.0,SVR,0.9917833758468272
C,train,topo,ACTIVITY,8,1.0,SVR,0.9678798768356582
C,test,topo,ACTIVITY,8,1.0,SVR,0.9625667321408198
C,train,topo,ACTIVITY,8,0.8148148148148149,SVR,0.9389437813085086
C,train,topo,ACTIVITY,8,1.0,SVR,0.9784374122843164
C,train,topo,ACTIVITY,8,0.4333333333333333,SVR,0.9683534492230076
C,test,topo,ACTIVITY,8,1.0,SVR,0.961924937759404
C,test,topo,ACTIVITY,8,1.0,SVR,0.9723724870637708
C,train,topo,ACTIVITY,8,1.0,SVR,0.968530751392482
C,train,topo,ACTIVITY,8,1.0,SVR,0.9685604357963822
C,test,topo,ACTIVITY,8,0.7446808510638299,SVR,0.9609126289383793
C,test,topo,ACTIVITY,8,1.0,SVR,0.9791244378287498
C,train,topo,ACTIVITY,8,1.0,SVR,0.9682331485944156
C,test,topo,ACTIVITY,8,0.9466666666666668,SVR,0.9902988386883198
C,test,topo,ACTIVITY,8,1.0,SVR,0.9530650268308404
C,test,topo,ACTIVITY,8,1.0,SVR,0.972264255082612
C,train,topo,ACTIVITY,8,1.0,SVR,0.9825635928558754
C,train,topo,ACTIVITY,8,1.0,SVR,0.9685992864610338
C,train,topo,ACTIVITY,8,1.0,SVR,0.9660419379975576
C,train,topo,ACTIVITY,8,1.0,SVR,0.9897528768289252
C,test,topo,ACTIVITY,8,1.0,SVR,0.9475374984063424
