context,set,feature,response,timepoint,y_true,model,y_pred
C,train,diff,ACTIVITY,8,0.2463768115942028,SVR,0.1712156987090142
C,test,diff,ACTIVITY,8,-0.1428571428571429,SVR,0.13525312658514058
C,test,diff,ACTIVITY,8,0.04,SVR,0.12208286630932873
C,train,diff,ACTIVITY,8,0.0126582278481013,SVR,0.08790797354910501
C,test,diff,ACTIVITY,8,0.930635838150289,SVR,0.1930865819501802
C,train,diff,ACTIVITY,8,0.22155688622754505,SVR,0.29231612768169696
C,train,diff,ACTIVITY,8,-0.3333333333333333,SVR,0.11961573719898873
C,test,diff,ACTIVITY,8,0.0,SVR,0.24219472588686736
C,test,diff,ACTIVITY,8,-0.4929577464788732,SVR,0.134677911058744
C,test,diff,ACTIVITY,8,-0.1225806451612903,SVR,0.28193764623622386
C,test,diff,ACTIVITY,8,0.3043478260869565,SVR,0.18461064868938712
C,train,diff,ACTIVITY,8,0.2444444444444444,SVR,0.1756149651745384
C,train,diff,ACTIVITY,8,0.8666666666666667,SVR,0.5293423709206078
C,test,diff,ACTIVITY,8,0.2436974789915966,SVR,0.2207941506752218
C,test,diff,ACTIVITY,8,-0.2428571428571428,SVR,0.2869734317769496
C,test,diff,ACTIVITY,8,0.0384615384615385,SVR,0.2462668897063173
C,test,diff,ACTIVITY,8,-0.140495867768595,SVR,0.34965121670906274
C,train,diff,ACTIVITY,8,0.024390243902439,SVR,0.1384990814668371
C,train,diff,ACTIVITY,8,0.0204081632653061,SVR,0.10648491090352656
C,train,diff,ACTIVITY,8,0.2941176470588236,SVR,0.11082911582314348
C,train,diff,ACTIVITY,8,0.0120481927710842,SVR,0.16115758751800965
C,train,diff,ACTIVITY,8,0.2530120481927711,SVR,0.20135348416855006
C,train,diff,ACTIVITY,8,0.25,SVR,0.2282017840175544
C,train,diff,ACTIVITY,8,0.6375838926174497,SVR,0.37459179270637866
C,test,diff,ACTIVITY,8,0.0350877192982457,SVR,0.10677496378468547
C,train,diff,ACTIVITY,8,-0.0172413793103448,SVR,0.1563734203825331
