feature,timepoint,context,response,model,train_r2s,test_r2s,train_rmses,test_rmses,set,r2_mean,r2_se_lower,r2_se_upper,rmse_mean,rmse_se_lower,rmse_se_upper
topo,0,C,ACTIVITY,MLR,"[0.37092314311365104, 0.36854799451903086, 0.33915785744312, 0.3651471591920705, 0.3492585877074179, 0.2983168412662681, 0.28822718140552595, 0.3741941462602163, 0.4039598817793705, 0.34269384635401934]","[0.16049870585009507, 0.1912349234974089, 0.2590366180123366, 0.19506007624569743, 0.2564036871368791, 0.3271506065310297, 0.3521716232455554, 0.09502811213484907, 0.04840037103220074, 0.24665519462764873]","[0.2824313130447455, 0.2885158772150741, 0.3007113207960118, 0.2862516793704045, 0.2990837773297262, 0.3117011527835178, 0.31030536103667644, 0.2892941543420867, 0.27577801990032413, 0.3024051855465247]","[0.35366077893352, 0.3313465418104148, 0.30506606359768684, 0.33896008322744087, 0.3032541208817351, 0.28320514770499, 0.2839029314378602, 0.3384250227681612, 0.3736614952556157, 0.30050006669427115]",TRAIN,0.3500426639040691,0.33947537406932365,0.3606099537388145,0.2946477841365092,0.291049638414557,0.29824592985846143
topo,0,C,ACTIVITY,RF,"[0.44597220004739235, 0.4269601392500625, 0.46036129053460684, 0.4981072001180916, 0.43591467737394574, 0.47825417140859305, 0.46011511418838746, 0.4706639707997512, 0.46855999633399315, 0.4555169747286484]","[0.338322065925744, 0.31947014085693526, 0.2643992537588028, 0.12881624756935195, 0.2836506884992863, 0.19007772554426505, 0.2259423836864387, 0.11022585781546379, 0.20526184011856263, 0.25786466400319286]","[0.2727854849219423, 0.27369087874582615, 0.2645580891481822, 0.2598813043416238, 0.2747111649472224, 0.26327632022825537, 0.26958924155094105, 0.2616299923423749, 0.26683416114762815, 0.2695029262393885]","[0.2949334732764573, 0.30544316462029303, 0.3214973869862435, 0.33719564326753587, 0.3054830327759995, 0.3282176031719295, 0.3129576890201256, 0.35581638529598664, 0.32300864101462884, 0.31306006016041155]",TRAIN,0.4600425734783473,0.4538287946009676,0.46625635235572704,0.2676459563613385,0.2660779416717604,0.26921397105091655
topo,0,C,ACTIVITY,SVR,"[0.488277501701218, 0.540626914215978, 0.528222482712529, 0.5295315333831234, 0.48070626136794636, 0.46177843550456, 0.5014972795539906, 0.5056148829577406, 0.5157474836781608, 0.5270800026593094]","[0.3175142971751155, 0.18572812976462272, 0.19845505781535255, 0.15242915099449073, 0.283143807818953, 0.3672787285969331, 0.29462347341062767, 0.27088712070091236, 0.16436648368805484, 0.0938275996420378]","[0.2578146306404602, 0.24454008371507752, 0.2533287293945688, 0.25227192376498747, 0.2547036158207959, 0.26486821116028414, 0.25786737346402483, 0.2634752418419725, 0.2528474874417936, 0.252927089952433]","[0.3109125281259549, 0.3382071235782709, 0.318673009101406, 0.32830581831419836, 0.32788504335117225, 0.29606210086878343, 0.3069593679916719, 0.29233276225110544, 0.3348747468133387, 0.33960946118116775]",TRAIN,0.5079082777734557,0.5003721053816717,0.5154444501652398,0.2554644387196398,0.2536984778967626,0.25723039954251703
topo,0,C,ACTIVITY,MLP,"[0.490161122742811, 0.5146784071847127, 0.6026090860811253, 0.5057312160190832, 0.6506044947579519, 0.6263092582580335, 0.48184188585088894, 0.5038290906915872, 0.4427638798134874, 0.6156538198410468]","[0.3303975810718317, 0.2717404210361364, -0.1349566142586791, 0.18824418061703818, 0.271699829820889, 0.10474784740984966, 0.2751112442670727, 0.23359825864583117, 0.26667914418252014, 0.006732936978979143]","[0.25621896611080236, 0.25472771110094145, 0.23094959450320468, 0.2559701569036945, 0.21816656264014658, 0.2259230173542641, 0.26008209988201036, 0.24837831784902287, 0.2721169601365248, 0.23043799363063833]","[0.3106956474531945, 0.3110736346020085, 0.3866316425012108, 0.32646766149614903, 0.3041399359989038, 0.3360651782257627, 0.3188113851004279, 0.336317195261561, 0.3110280984743846, 0.34799037743423605]",TRAIN,0.5434182261240728,0.5215883823237127,0.5652480699244328,0.24529713801112504,0.2399984609655822,0.2505958150566679
topo,0,C,GROWTH,MLR,"[0.3777336255054775, 0.38125808239676195, 0.3863642242327997, 0.380642370798714, 0.38704206234465743, 0.38247280174578546, 0.39841414567316435, 0.34572157358996025, 0.44351328752575714, 0.3843327792782806]","[0.24638554751199526, 0.23435366395865964, 0.2164200315635888, 0.25235273061977426, 0.23903076746700413, 0.23215109439004333, 0.235800260913256, 0.3206683284726708, 0.15053412406313904, 0.24398279788183896]","[0.1767132671477429, 0.17341162131473065, 0.172738691682237, 0.17042211301546287, 0.1697651597933375, 0.1687517857662679, 0.16293116796106247, 0.17749791515392102, 0.1578633670685379, 0.17036902480924057]","[0.1730253092871736, 0.1829514011738518, 0.18458074202846336, 0.1885434687663771, 0.18995273977143595, 0.19484047840540136, 0.20269644645754667, 0.17390062869026646, 0.21106380109671607, 0.1884546043593951]",TRAIN,0.3867494953091358,0.3795282864886687,0.39397070412960294,0.1700464113712541,0.16825867947822482,0.17183414326428337
topo,0,C,GROWTH,RF,"[0.43766944137051866, 0.45031717818161, 0.48347749772594406, 0.45418250726430887, 0.4623530121167013, 0.45597094600367905, 0.48963171829115903, 0.4317370190603075, 0.4525649283846168, 0.45342696869802246]","[0.366745683730585, 0.2835873237767347, 0.3075903845838902, 0.32160504358611786, 0.3158373281995106, 0.32236876766617706, 0.2367885702012793, 0.41367908859484037, 0.35231674111196076, 0.33913248422048003]","[0.16292156539923913, 0.1607101371176392, 0.16162238183438093, 0.1563541777983496, 0.159872275052851, 0.15778608741406358, 0.15345249128641816, 0.16472874527411238, 0.16223709685053586, 0.1609754881517907]","[0.17190018887803074, 0.18287674386683694, 0.16390493513263793, 0.18818534635642245, 0.17710443844275617, 0.18397073638690986, 0.1940218802558639, 0.16368449414802894, 0.17055328698257555, 0.17532137912225057]",TRAIN,0.4571331217096869,0.4517550673310184,0.4625111760883554,0.16006604461793805,0.15906093185406528,0.16107115738181083
topo,0,C,GROWTH,SVR,"[0.48178416189188, 0.4491417846912823, 0.5041816774210319, 0.4668042133240903, 0.4777478683795001, 0.49954483753636525, 0.5069406097891189, 0.4595913530031045, 0.47377406847264525, 0.4962634517036961]","[0.3014081871272135, 0.35329554034008526, 0.2142838690584088, 0.32410427275086473, 0.2771752427230123, 0.2497734129928606, 0.19202580782129774, 0.34826188874771746, 0.26708314536114297, 0.23316064669046532]","[0.15778308964120175, 0.16217848166202228, 0.1499930420356106, 0.1576337485536848, 0.15465551061313074, 0.14979176229030308, 0.15323912850237967, 0.16053556949702047, 0.15338219177890117, 0.15538686374553132]","[0.17703849378303674, 0.1719631180662835, 0.20022461120768134, 0.17733777763707823, 0.19060378406482456, 0.1983615369069917, 0.19279236801043234, 0.17158794883600545, 0.19596463214627774, 0.18427554722375433]",TRAIN,0.4815774026212714,0.4756427103898201,0.48751209485272273,0.1554579388319786,0.1542212499270816,0.15669462773687556
topo,0,C,GROWTH,MLP,"[0.5437648422653265, 0.4375392340346044, 0.5051793192546393, 0.46091251432059943, 0.5216771124620432, 0.4742580624282807, 0.4837196798623853, 0.49932210552415646, 0.4937515986357798, 0.4665107976558175]","[0.12322439920871764, 0.3542956278906634, 0.1780142682054101, 0.30016821657701565, 0.26199162814776944, 0.2889691648775047, 0.3115716805036245, 0.1623375600946202, 0.2364570494743875, 0.2813378017906132]","[0.1458603380226585, 0.15976126790679226, 0.14949518296583345, 0.15571281016205865, 0.1512342366943467, 0.16056245329599567, 0.15576918849792942, 0.15425345026855541, 0.1582732193732982, 0.15927511995061217]","[0.20556808050471514, 0.1817030823226428, 0.20620744880341874, 0.19057385925623382, 0.18320239711853664, 0.17427958213499797, 0.18054471234942665, 0.19618750277876856, 0.17831785958284216, 0.18190967748497042]",TRAIN,0.4886635266443632,0.4793657680868715,0.4979612852018549,0.15501972671380804,0.15356277176027042,0.15647668166734566
topo,0,C,SYMMETRY,MLR,"[0.07321465594875187, 0.057935367302793805, 0.05883324475364915, 0.08178323074912752, 0.07593486067637323, 0.09747274455293853, 0.07922125378836076, 0.10095821462348686, 0.059572454057536195, 0.09306503314938797]","[0.00769777271138139, 0.04560995509361421, -0.005384247292791633, -0.02038123269229719, -0.007207603352244574, -0.06509520945343006, 0.0024623311174212237, -0.06159971315469703, 0.028999018103663232, -0.00979879562097885]","[0.07961044743953641, 0.0809683537572208, 0.07551301711828291, 0.07958848241802584, 0.07689431599218022, 0.07901787237005925, 0.07867396883400402, 0.0758628498307692, 0.07711457601946942, 0.07746135510978389]","[0.07967285887436469, 0.0764080479472332, 0.09068007920787757, 0.0797111272515921, 0.08640244780884766, 0.08097595785399613, 0.08135691984637328, 0.08875396583205392, 0.08551767907314556, 0.08356920639179348]",TRAIN,0.07779910596024059,0.07301860797990152,0.08257960394057966,0.0780705238889332,0.07753744182108877,0.07860360595677762
topo,0,C,SYMMETRY,RF,"[0.09007702019213049, 0.09375239542176395, 0.09464871478810732, 0.09365596242849916, 0.10354516815011539, 0.10549949996684105, 0.08694297691331943, 0.11506505590310911, 0.1236196735666476, 0.1302394572838922]","[0.027164681757406495, 0.026342898292862293, 0.018760834943993387, 0.0037750123677412484, 0.018362612235566234, -0.017563771375096238, 0.012125295845841766, -0.0257973413350725, -0.02842297832787688, -0.05024990680559549]","[0.07857269527584602, 0.07935988765106146, 0.07796993058579196, 0.08030614704339523, 0.07515821054817756, 0.07518894832799548, 0.07935895773650746, 0.07715347748542493, 0.07475271501433674, 0.07505761380491915]","[0.07967205563981365, 0.0773226902951035, 0.08059123993223606, 0.07563477655625053, 0.08667195903601552, 0.08722119257077462, 0.07851020253968398, 0.0826430667775468, 0.08753385359021872, 0.08698260316195403]",TRAIN,0.10370459246144256,0.09925295305682502,0.1081562318660601,0.07728785834734561,0.07665407071011178,0.07792164598457944
