context,response,model,pvalues
C,ACTIVITY,MLR,"[0.8967161472194155, 0.9718414742588213, 0.9991620724570622, 0.9040534229910737, 0.7457967406467452, 0.1493572555717999, 0.10318561016564098, 0.13259088405247865, 0.03367802390859975, 0.10712598766285408, 0.10356991393669046, 0.02922757624683281, 1.541693861462079e-08, 4.4691916833983214e-11, 0.0]"
C,ACTIVITY,RF,"[0.771322250816585, 0.8829463387309406, 0.6202531159966607, 0.7578743147159, 0.7876463838783263, 0.20769603318654517, 0.12116183351167642, 0.2268986239992239, 0.42651907295887437, 0.13060288687818145, 0.0345826494455731, 0.00010170405492293533, 0.0001431900189396984, 5.713480799585113e-09, 3.3306690738754696e-16]"
C,ACTIVITY,SVR,"[0.8401840590958881, 0.9999887080523958, 0.99321113327689, 0.9974335297593713, 0.9976000830374075, 0.5278097313506995, 0.9067632325358852, 0.0699772514134761, 0.48022013962055365, 0.030465720967832732, 0.3025290716085033, 0.15063205464746354, 1.1014105475659619e-05, 1.9579910692790747e-08, 0.0]"
C,ACTIVITY,MLP,"[0.23520641884606341, 0.32798282977488835, 0.9964797463128117, 0.9470405749185606, 0.40658490143750914, 0.4242164587909826, 0.08191539629512212, 0.011755992193586251, 0.24942567275866545, 0.004907237842175394, 0.0005226777201622346, 2.0041467230336174e-05, 3.0866267319851204e-09, 2.1971313657331848e-13, 0.0]"
C,GROWTH,MLR,"[0.8677434489861711, 0.9982159775477741, 0.9997737566065332, 0.4992771994959746, 0.06127682367868914, 3.2814209127707272e-09, 0.0, 0.0, 0.0, 2.8829257092688465e-08, 0.0, 0.035645274728121845, 3.2854136455817695e-07, 8.826273045769994e-12, 6.875809139827993e-07]"
C,GROWTH,RF,"[0.99731114623838, 0.9999999999717649, 0.9999969108742603, 0.9999999440452579, 0.9999556429654798, 3.2857733762714503e-06, 4.553024623987767e-13, 8.881784197001252e-16, 5.551115123125783e-16, 1.3600232051658168e-13, 6.539889674250787e-08, 0.004000664177400637, 0.013083549758479918, 0.07861550845469134, 0.027071427686421123]"
C,GROWTH,SVR,"[0.801869643765472, 0.9983895487194672, 0.947969750147232, 0.9624149776926446, 0.8830333117042896, 0.0003205564119973525, 1.1102230246251565e-15, 9.769962616701378e-15, 0.0, 4.589295610202271e-11, 0.0, 1.1668168546918878e-06, 1.9346970072664504e-06, 0.0034497205732636482, 0.00914670530695283]"
C,GROWTH,MLP,"[0.9919167781555001, 0.9998123271946882, 0.9997828052824551, 0.4491952158044912, 0.873855116296526, 0.0004900465410025978, 1.532883819876929e-10, 1.6714085048219474e-06, 1.3277823285307022e-11, 4.021385335839511e-09, 1.4947487692040795e-11, 5.570407604971184e-05, 0.000886345658084764, 0.030304166056858373, 0.0007183828635823897]"
C,SYMMETRY,MLR,"[0.5473217775240509, 0.5984147708545053, 0.3383038813578976, 0.640685809914292, 0.6209031294880027, 0.8874449564524162, 0.7977381238639824, 0.047739529331919606, 0.037756630061210106, 0.10444152902950332, 0.296371894514153, 0.0028619570837922215, 0.00041725874454690004, 0.0004722514528934241, 0.0009624522397205793]"
C,SYMMETRY,RF,"[0.8746244366494612, 0.9651583349278615, 0.9878950139667324, 0.3431022685662555, 0.8212343400864588, 0.8687956495064171, 0.9717209982576074, 0.22423967994629201, 0.1393845404276265, 0.16404478072843232, 0.3664342654573103, 0.006054302332595962, 0.0696687613043917, 0.011749609222964197, 0.014519622657047537]"
C,SYMMETRY,SVR,"[0.9789777599002871, 0.9325298048482065, 0.7710828619869028, 0.8901483786161581, 0.9126438042276506, 0.7189673412116073, 0.8025519327673055, 0.7353010048989517, 0.8195033920164807, 0.637759403169014, 0.11750404614493548, 0.17819492989357566, 0.012128124323409706, 0.005371291371994769, 0.0004797634932802719]"
C,SYMMETRY,MLP,"[0.0881222274037119, 0.869442469852614, 0.5287230985756866, 0.9351556387510863, 0.9781864857148658, 0.6688086805581879, 0.10172574169358184, 0.4609514312744474, 0.3989827026050845, 0.10484205778484557, 0.26807946308414987, 0.005720680649654808, 0.02712286051493129, 0.0003325857259228737, 0.0002059720144537147]"
