timepoint,set,model,context,response,feature,r2,r2_se,rmse,rmse_se,r2s
8,TRAIN,MLR,C,ACTIVITY,naive,0.0,0.0,0.1396424502282609,0.0018742786558868982,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,TEST,MLR,C,ACTIVITY,naive,-0.006213141059958937,0.0018224550107723688,0.14894232211723663,0.0040099192247488044,"[-0.0005631647466985967, -0.0002254271090285087, -0.0059895464560830725, -0.0005592591469492092, -0.007396863543643661, -0.0054628575873740814, -0.013975718329127806, -5.719290978589697e-06, -0.011625697267011015, -0.016327157122694835]"
8,TRAIN,RF,C,ACTIVITY,naive,-6.248623627780336e-05,2.1973131651204317e-05,0.13686753847196315,0.003678677646968661,"[-4.058249935012803e-05, -8.540053275951642e-05, -1.2034413862771487e-05, -0.00025213980653271406, -1.1717222398788252e-05, -8.71998048339595e-05, -1.2597172717621063e-05, -1.5306472396670046e-05, -3.504715084368115e-05, -7.283728708218362e-05]"
8,TEST,RF,C,ACTIVITY,naive,-0.0179892201585925,0.004978325917002926,0.15270123452357898,0.00811571570567735,"[-0.021478533090211638, -0.02643533484290761, -0.023596220294673564, -2.276172969484236e-05, -0.025133868571250106, -0.028661756545917072, -0.05036808635855028, -0.0017079313764423176, -0.0020786394913998585, -0.00040906928487771665]"
8,TRAIN,SVR,C,ACTIVITY,naive,-0.002466862164766903,0.0005768962553862564,0.1455131486031138,0.0026438689592742956,"[-0.0027225796675811598, -0.004745205360799698, -0.006499892726050005, -0.0005868413008991435, -0.0023864228973098367, -0.0009316129531853345, -0.00039530000782206365, -0.0026230665543827136, -0.0012264870041593934, -0.002551213175479683]"
8,TEST,SVR,C,ACTIVITY,naive,-0.01106413537348605,0.003813354781935087,0.1339640537419955,0.006983104917329311,"[-0.00034699233173696165, -0.030644759672963096, -0.007282065996501608, -0.003310922670194172, -0.0006889087777477432, -0.010747466256403548, -0.0020797855205005877, -0.01156809503241818, -0.006916458701335948, -0.03705589877505866]"
8,TRAIN,MLP,C,ACTIVITY,naive,1.7874298205988736e-07,1.3565858368987794e-06,0.14248173139627024,0.0024369428928975425,"[-6.190548502926774e-06, -3.063274400805227e-07, -1.6330438314948736e-06, -3.5243557849895524e-07, 2.5041002182923933e-07, 5.504086540986108e-07, 1.158548088797673e-06, -3.176625388068288e-06, 1.1460571337273961e-05, 2.6472459668802628e-08]"
8,TEST,MLP,C,ACTIVITY,naive,-0.006358667658910111,0.0015621105464097146,0.1417645914786407,0.005578943772520725,"[-0.002434256483393682, -0.00095181911692932, -0.013733547352454023, -0.013785190988294449, -0.0046851571593151675, -0.004046173885289939, -0.001557070924016024, -0.0018907461346735488, -0.008205649719482011, -0.012297064825252946]"
8,TRAIN,MLR,C,GROWTH,naive,0.0,0.0,0.10004281826440356,0.0011290161446260514,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,TEST,MLR,C,GROWTH,naive,-0.017253590982825463,0.00885404963402245,0.10073746468985076,0.0026157461311304493,"[-0.0014047711695814868, -0.004988037426595593, -0.00411236539343296, -0.07768165860483212, -0.0006690589888442844, -0.06796216174512781, -0.007899340221812157, -0.00010161177888035056, -0.007504662655281047, -0.00021224184386681166]"
8,TRAIN,RF,C,GROWTH,naive,0.00466340810144652,0.00047296683704355725,0.09819691280863627,0.0009193516347246127,"[0.003781339377409987, 0.005358293383100343, 0.0027073396370395075, 0.0036295004643956963, 0.006321612687326006, 0.003951955878397917, 0.00727390397107186, 0.005061256179620943, 0.0059600126127676845, 0.0025888668233352563]"
8,TEST,RF,C,GROWTH,naive,-0.006753072808338545,0.002477322685312309,0.10440706733689468,0.0020282428228559106,"[-0.002429777458243354, -0.006653203017795928, 0.0005366327784896985, -0.027189141170940845, -0.004888918911112761, -0.003477264617283149, -0.0054187639157647904, -0.002141419682557988, -0.001446205839576331, -0.014422666248600002]"
8,TRAIN,SVR,C,GROWTH,naive,0.035844576801726966,0.0036688918469523204,0.09699325535250156,0.001081032295965847,"[0.013562301092318929, 0.03898702207573512, 0.04800677014867827, 0.02174953025512638, 0.04573172716575813, 0.04145066943314213, 0.028509891979196844, 0.05105638061405182, 0.028527576444816294, 0.040863898808445764]"
8,TEST,SVR,C,GROWTH,naive,-0.042746395397083047,0.00892371177692109,0.10525788931595055,0.002340173199286363,"[-0.07112296587483447, -0.014395252195793296, -0.052344429929778835, -0.005186419193057068, -0.07343659230561261, -0.03736635034465463, -0.044443843737911326, -0.09372873457715891, -0.021310368711373817, -0.014128997100655516]"
8,TRAIN,MLP,C,GROWTH,naive,0.03573973324687692,0.006556465406147407,0.09824311326842655,0.0009941319670838302,"[0.015173285125038793, 0.034373392958115034, 0.043127954060892315, 0.010715113869926296, 0.029772704636527147, 0.033284311568597014, 0.07378843747634134, 0.0587392124788545, 0.005871476830570654, 0.052551443463906056]"
