feature,timepoint,context,response,model,num_observations,train_r2s,test_r2s,train_rmses,test_rmses,set,r2_mean,r2_se_lower,r2_se_upper,rmse_mean,rmse_se_lower,rmse_se_upper
topo,8,C,ACTIVITY,MLR,50,"[0.0, 0.0, 0.05834271293152726, 0.0, 0.0, 0.011338377605092043, 0.0, 0.0, 0.0, 0.0]","[-0.001252635024350468, -0.09423397960345548, 0.05028966120497391, -0.9280358010519563, -0.12368394491610979, -0.006515959158475582, -0.8027184950825041, -0.34240881160884395, -0.12752751352733172, -0.0459295156025441]","[0.19423382153225227, 0.11709528897443117, 0.14757114924401893, 0.12838363058197744, 0.08269691453999829, 0.19462919693200398, 0.10133707900037159, 0.02867854484048734, 0.18312936648749625, 0.07139051272759916]","[0.196568718805413, 0.18844569124174743, 0.11799978876413969, 0.05772700890721565, 0.18278724834266427, 0.16790332393804228, 0.0626873164411789, 0.1385023033031993, 0.2935414754822631, 0.1624849488276883]",TRAIN,0.006968109053661931,0.0014482489819852978,0.012487969125338564,0.12491455048606365,0.10814995318960756,0.14167914778251972
topo,8,C,ACTIVITY,RF,50,"[0.02469787076968133, 0.02593302970965461, 0.03706940875373976, 0.019107792734217144, 0.022068347068560867, 0.015924727353925028, 0.020189860593810116, 0.018890192471236467, 0.030043949270833092, 0.03906868304283018]","[-0.002195636756563202, -0.05740593866230559, -2.545980609422221, -0.09349338994300016, -5.703963433316601, 0.013336147034930357, -6.675989145476627, -0.4617703971975282, -0.14598331215113336, 0.0281258403895146]","[0.11265339515336494, 0.07148033711630641, 0.192812610890241, 0.18720055109871275, 0.1759109783894751, 0.15046435595840899, 0.1613851112140899, 0.12468554638403578, 0.12908367219041467, 0.11925146700907381]","[0.13750820337115421, 0.031187798064943078, 0.09537869784351924, 0.11573969488047588, 0.05801340511887092, 0.06948160262163491, 0.0714929457074594, 0.06715213369271694, 0.0687805209725614, 0.09951099418810817]",TRAIN,0.02529938617684886,0.022943020631623103,0.027655751722074615,0.14249280254041236,0.13107425242834717,0.15391135265247755
topo,8,C,ACTIVITY,SVR,50,"[0.9400760884111983, 0.9512195607115085, 0.8391335821515654, 0.946280588873839, 0.9531964844369605, 0.9465633339105232, 0.9335536297761662, 0.9777423863807553, 0.9680600170293463, 0.7964883837733086]","[-0.7279124652732061, -4.738354457727766, -8.949836717176101, -1.0075151739963228, -2.4685124182114055, -469.46806973991625, -0.2906252461562606, -9.330195698138047, -4.242143155756407, -2.290011966048431]","[0.02234696765771959, 0.020559733596536012, 0.0475201980345331, 0.020733458687444334, 0.02969572702707796, 0.030890757917008963, 0.03123610726769019, 0.029988736451555097, 0.026038181577863556, 0.06865815605220897]","[0.1141112505772974, 0.1837967544974874, 0.31923457091371926, 0.2311557800765775, 0.30785429696834626, 1.2342504875582656, 0.24653550787413292, 0.4167229599804142, 0.37500310018328686, 0.3523992356686283]",TRAIN,0.9252314055455171,0.9075609592929319,0.9429018517981023,0.032766802426963774,0.028320989949486976,0.03721261490444057
topo,8,C,ACTIVITY,MLP,50,"[-1.1335755556451943e-07, -5.3516216347304635e-08, -2.3535928606044365e-07, -1.4435230788478748e-09, -2.511359278312142e-07, -1.147259445222204e-07, -1.856241469422315e-07, -1.0310751785702621e-07, -4.850007087053854e-06, -3.030947604010237e-08]","[-0.011460773838890548, -0.05195655634168994, -0.2357304508291891, 0.0, -0.9054569116119859, -2.2899837802490115, -0.7445295723179097, -1.402499531453382, -0.08078655628962417, -0.03214213444637437]","[0.15516612437785643, 0.08272382025214627, 0.06908811830221664, 0.18569686664265364, 0.17789275130089385, 0.22008789047128846, 0.12040193570366292, 0.12930290270135458, 0.025453366263940444, 0.2566832608722131]","[0.08730006131055476, 0.1688761219531148, 0.02963796776914751, 0.09225529519587189, 0.05769190803403799, 0.08494012549546898, 0.06589340079917054, 0.044155899394606866, 0.07060168525678713, 0.20117714220174002]",TRAIN,-5.938586681297764e-07,-1.0431829943191336e-06,-1.4453434194041913e-07,0.14224970368882264,0.1208812651639179,0.1636181422137274
topo,8,C,ACTIVITY,MLR,100,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.03213809936184364, -0.021929168597792037, -0.08722147243321876, -0.00471312301377802, -0.048339325222713336, -0.025276517323033598, -0.12972436680959754, -0.004093367273196424, -0.0017824235570611524, -0.027364271883021818]","[0.13121252537527137, 0.13720824317922084, 0.10077514082709957, 0.14045455831987613, 0.11244284434765012, 0.10756292662477294, 0.10784217720178578, 0.17811838727696702, 0.14989245007152197, 0.1295635133179217]","[0.19932089415951612, 0.17873213968392698, 0.16267599438408217, 0.10647892088033367, 0.08746008239381338, 0.09536122206596973, 0.2509569768590941, 0.13925909849202112, 0.14695983035077587, 0.1352723559667978]",TRAIN,0.0,0.0,0.0,0.12950727665420875,0.1224162148296918,0.1365983384787257
topo,8,C,ACTIVITY,RF,100,"[0.009751438684266422, 0.016200999002273453, 0.018969605063487105, 0.024188858049182804, 0.010109548771325416, 0.006897584501663334, 0.027801099933527973, 0.016353998574709205, 0.011249434782189094, 0.013339272728044582]","[-0.0015688621510689948, -0.04576523378214037, -0.06889924012134041, -0.061946214579085446, -0.020185099044743415, -0.06262458673644233, -0.00987165411633173, -0.04351611217043394, -0.05125100458986198, -0.030979763615776035]","[0.09523881733312621, 0.08486468819931167, 0.16158405298054443, 0.16036248165649677, 0.17314332759616424, 0.11166063322128823, 0.1559235431749131, 0.18486931520850336, 0.13265235484612758, 0.1805082726766506]","[0.13249488358205336, 0.15301226549121957, 0.2076019938534208, 0.10423214045246534, 0.14068267685068694, 0.2443442848066879, 0.16374245977696733, 0.1330010638710056, 0.17956521489209715, 0.1271145212530382]",TRAIN,0.015486184009066938,0.013488908869055098,0.01748345914907878,0.14408074868931262,0.13330078320821637,0.15486071417040886
topo,8,C,ACTIVITY,SVR,100,"[0.3619440116616526, 0.42793280678811707, 0.6132576974738411, 0.7245363434227514, 0.41382420262227015, 0.2162292056419619, 0.3774184664980469, 0.6148879554382769, -0.0010841644484447244, 0.20300722912034286]","[-53.13636995957237, -0.14410963118732956, -197.0280306668508, -4.031835923786762, -5.323512617155006, -0.48436631325215873, -9.156477459498458, -2.3982120609485422, -0.7461324046234266, -1.7154790585836963]","[0.14659958505518406, 0.08800441612599232, 0.06791730437826056, 0.07527548398393545, 0.11380269516439392, 0.13976670626860332, 0.14917503802205748, 0.09654259396028059, 0.10018879960143896, 0.13823979673331385]","[0.7435836280060557, 0.1545587396646209, 0.4916586934465878, 0.29294473800085485, 0.22429040317859433, 0.2274510550757071, 0.1555690199982063, 0.21100346637394415, 0.20085639428619942, 0.18231810064293408]",TRAIN,0.3951953754218816,0.3293831751289892,0.461007575714774,0.11155124192934604,0.10244845908506145,0.12065402477363063
topo,8,C,ACTIVITY,MLP,100,"[2.7894395238092784e-08, -6.996949508675243e-08, -2.457266585764728e-07, -1.6102585664867775e-07, -4.2855664350582856e-08, -1.6266511670970374e-07, -2.8639014471032453e-07, -6.836828461143085e-07, -1.851541586717076e-08, -3.2278353323533793e-09]","[-0.0385884651144619, -0.007853328972240003, -0.03999267755514713, -0.8299814871928828, -0.0337774596834608, -8.197309989421697e-05, -0.09310290310088853, -0.008275608281238078, -0.02229720969048632, -0.28272379487972876]","[0.14249673415714764, 0.09662643349729082, 0.09165948172289795, 0.162909836713439, 0.09995610547731029, 0.11730269790190537, 0.17921558001831328, 0.13571643602816144, 0.1458095014244424, 0.2012429639837014]","[0.21470947400774276, 0.05032607983138332, 0.1025093625217552, 0.09070256928243817, 0.19040670581679808, 0.1265570491698813, 0.11541186824412661, 0.17691874246278594, 0.11628308686751855, 0.10312625151187745]",TRAIN,-1.646164638158254e-07,-2.2779005639576846e-07,-1.0144287123588234e-07,0.13729357709246098,0.12627756074331428,0.14830959344160768
topo,8,C,ACTIVITY,MLR,150,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.004054753805734279, -0.033403097484625555, -0.009905379956588911, -0.07326283239139264, -0.028475251038925897, -0.002973340793848589, -0.0068167732901780465, -0.18773873826711074, -1.0959972477903257, -0.0009057732107371486]","[0.1243970899003823, 0.1297399428754667, 0.13542814061947847, 0.07089557270849071, 0.14476253981317097, 0.13819577435723118, 0.13840393530030293, 0.15474068931622373, 0.16708329391502605, 0.15021367974922636]","[0.12500518791091245, 0.21803115697262915, 0.17631802939995947, 0.17483331840182936, 0.13575972232975758, 0.13060139442558968, 0.13543090983020709, 0.1058222950298811, 0.06779180894842436, 0.12608074849076714]",TRAIN,0.0,0.0,0.0,0.13538606585549992,0.12762993545087617,0.14314219626012367
topo,8,C,ACTIVITY,RF,150,"[0.016587948416219023, 0.012960762981475416, 0.031501572704437986, 0.027772120435579972, 0.020576388002976675, 0.008292553221795118, 0.01348510988672802, 0.009224940357486888, 0.005571128853874563, 0.00856358905331811]","[0.001504116854654236, -0.467594915060382, -0.026626159365967572, -0.060394925968966895, 0.0045132429939384044, -0.049405528117104414, -0.23607395895480177, -0.011977779021230317, -0.010128928128454229, -0.01900044369024334]","[0.11850369369084972, 0.18049081190551966, 0.13311810384456368, 0.12321335651068248, 0.12411605693512182, 0.08167868585534137, 0.1607103936322473, 0.12712060741146972, 0.13643538588144027, 0.16311185293304484]","[0.11571986049691992, 0.08073464483646729, 0.08138241525747866, 0.17252981449301372, 0.08262123937063096, 0.1696176031564641, 0.10062750035421067, 0.1535982533300131, 0.1498278740701715, 0.1999801149878079]",TRAIN,0.015453611391389175,0.012841879120799414,0.018065343661978935,0.13484989486002807,0.12650672291704243,0.14319306680301372
