,set,model,context,response,feature,r2
0,TRAIN,MLR,C,ACTIVITY,topo,0.3755063023914903
1,TRAIN,MLR,C,ACTIVITY,topo,0.2068249824957219
2,TRAIN,MLR,C,ACTIVITY,topo,0.03319900137903786
3,TRAIN,MLR,C,ACTIVITY,topo,0.2912005194836157
4,TRAIN,MLR,C,ACTIVITY,topo,0.32087901877131497
5,TRAIN,MLR,C,ACTIVITY,topo,0.0
6,TRAIN,MLR,C,ACTIVITY,topo,0.19924116967695937
7,TRAIN,MLR,C,ACTIVITY,topo,0.3778766837175951
8,TRAIN,MLR,C,ACTIVITY,topo,0.3243998515760924
9,TRAIN,MLR,C,ACTIVITY,topo,0.0
10,TRAIN,MLR,C,ACTIVITY,topo,0.0
11,TRAIN,MLR,C,ACTIVITY,topo,0.25040175803450226
12,TRAIN,MLR,C,ACTIVITY,topo,0.2964886148667851
13,TRAIN,MLR,C,ACTIVITY,topo,0.0
14,TRAIN,MLR,C,ACTIVITY,topo,0.15131876365796004
15,TRAIN,MLR,C,ACTIVITY,topo,0.32640248915442216
16,TRAIN,RF,C,ACTIVITY,topo,0.014130343939031564
17,TRAIN,RF,C,ACTIVITY,topo,0.01384130849173515
18,TRAIN,RF,C,ACTIVITY,topo,0.34487820016216364
19,TRAIN,RF,C,ACTIVITY,topo,0.3743789147820755
20,TRAIN,RF,C,ACTIVITY,topo,0.02895609841287672
21,TRAIN,RF,C,ACTIVITY,topo,0.1466594742693489
22,TRAIN,RF,C,ACTIVITY,topo,0.3047285319247205
23,TRAIN,RF,C,ACTIVITY,topo,0.3694224247632705
24,TRAIN,RF,C,ACTIVITY,topo,0.1408608587462571
25,TRAIN,RF,C,ACTIVITY,topo,0.2508483093624889
26,TRAIN,RF,C,ACTIVITY,topo,-4.655435263956065e-06
27,TRAIN,RF,C,ACTIVITY,topo,1.1102230246251565e-16
28,TRAIN,RF,C,ACTIVITY,topo,0.12632739230639634
29,TRAIN,RF,C,ACTIVITY,topo,0.21338787214761445
30,TRAIN,RF,C,ACTIVITY,topo,0.5872104742433526
31,TRAIN,RF,C,ACTIVITY,topo,0.7645601887635012
32,TRAIN,RF,C,ACTIVITY,topo,0.2837005148960846
33,TRAIN,RF,C,ACTIVITY,topo,0.30811826859924196
34,TRAIN,RF,C,ACTIVITY,topo,-2.236627772034261e-05
35,TRAIN,RF,C,ACTIVITY,topo,0.12470613741725045
36,TRAIN,RF,C,ACTIVITY,topo,0.3481890660736767
37,TRAIN,RF,C,ACTIVITY,topo,0.4417770995416913
38,TRAIN,RF,C,ACTIVITY,topo,-0.00017008200046664257
39,TRAIN,RF,C,ACTIVITY,topo,0.1464047451208318
40,TRAIN,RF,C,ACTIVITY,topo,-2.4722570970414637e-06
41,TRAIN,RF,C,ACTIVITY,topo,1.1102230246251565e-16
42,TRAIN,RF,C,ACTIVITY,topo,0.3436664695789271
43,TRAIN,RF,C,ACTIVITY,topo,0.42519374531600473
44,TRAIN,RF,C,ACTIVITY,topo,0.2131759503714462
45,TRAIN,RF,C,ACTIVITY,topo,0.31917912754919464
46,TRAIN,RF,C,ACTIVITY,topo,0.13246563723590243
47,TRAIN,RF,C,ACTIVITY,topo,0.26113665776785155
48,TRAIN,SVR,C,ACTIVITY,topo,0.30213868892431706
49,TRAIN,SVR,C,ACTIVITY,topo,0.18197477316964605
50,TRAIN,SVR,C,ACTIVITY,topo,0.3321008694635814
51,TRAIN,SVR,C,ACTIVITY,topo,-2.8231816914515213
52,TRAIN,SVR,C,ACTIVITY,topo,0.35543852474479176
53,TRAIN,SVR,C,ACTIVITY,topo,0.5976988117964741
54,TRAIN,SVR,C,ACTIVITY,topo,0.7149946332171239
55,TRAIN,SVR,C,ACTIVITY,topo,-3918.538689266093
56,TRAIN,SVR,C,ACTIVITY,topo,0.36756139980150027
57,TRAIN,SVR,C,ACTIVITY,topo,0.8585618022197468
58,TRAIN,SVR,C,ACTIVITY,topo,0.9498091567900375
59,TRAIN,SVR,C,ACTIVITY,topo,-112955.49676547971
60,TRAIN,SVR,C,ACTIVITY,topo,0.3412907534664571
61,TRAIN,SVR,C,ACTIVITY,topo,0.38641569815578347
62,TRAIN,SVR,C,ACTIVITY,topo,0.5114958162564037
63,TRAIN,SVR,C,ACTIVITY,topo,-118.69415713934193
64,TRAIN,SVR,C,ACTIVITY,topo,0.35780704565700794
65,TRAIN,SVR,C,ACTIVITY,topo,0.5234814644128101
66,TRAIN,SVR,C,ACTIVITY,topo,0.5428025566705945
67,TRAIN,SVR,C,ACTIVITY,topo,-797.1358839812757
68,TRAIN,SVR,C,ACTIVITY,topo,0.3234225392000539
69,TRAIN,SVR,C,ACTIVITY,topo,0.29038717798116853
70,TRAIN,SVR,C,ACTIVITY,topo,0.35509891089397716
71,TRAIN,SVR,C,ACTIVITY,topo,-792087.8671366009
72,TRAIN,SVR,C,ACTIVITY,topo,0.3657277936657496
73,TRAIN,SVR,C,ACTIVITY,topo,0.680035596823001
74,TRAIN,SVR,C,ACTIVITY,topo,0.8185615860707438
75,TRAIN,SVR,C,ACTIVITY,topo,-25066.25664435867
76,TRAIN,SVR,C,ACTIVITY,topo,0.35421535570677054
77,TRAIN,SVR,C,ACTIVITY,topo,0.3075686846787091
78,TRAIN,SVR,C,ACTIVITY,topo,0.4226125513530957
79,TRAIN,SVR,C,ACTIVITY,topo,-22.36057783306289
80,TRAIN,SVR,C,ACTIVITY,topo,0.31036888298957266
81,TRAIN,SVR,C,ACTIVITY,topo,0.31663414690298464
82,TRAIN,SVR,C,ACTIVITY,topo,0.4073823371256343
83,TRAIN,SVR,C,ACTIVITY,topo,-54.741644615707635
84,TRAIN,SVR,C,ACTIVITY,topo,0.3933424722836014
85,TRAIN,SVR,C,ACTIVITY,topo,0.5135527292538
86,TRAIN,SVR,C,ACTIVITY,topo,0.6653335439775683
87,TRAIN,SVR,C,ACTIVITY,topo,-55057.88752312224
88,TRAIN,SVR,C,ACTIVITY,topo,0.33129039429006235
89,TRAIN,SVR,C,ACTIVITY,topo,0.9520382297076769
90,TRAIN,SVR,C,ACTIVITY,topo,0.9900877143072125
91,TRAIN,SVR,C,ACTIVITY,topo,-1685091.2606943627
92,TRAIN,SVR,C,ACTIVITY,topo,0.3501903283051655
93,TRAIN,SVR,C,ACTIVITY,topo,0.5528791851831292
94,TRAIN,SVR,C,ACTIVITY,topo,0.6586952567818549
95,TRAIN,SVR,C,ACTIVITY,topo,-1763.2964260093408
96,TRAIN,SVR,C,ACTIVITY,topo,0.35052639154740195
97,TRAIN,SVR,C,ACTIVITY,topo,0.47074327140242467
98,TRAIN,SVR,C,ACTIVITY,topo,0.45580655140297477
99,TRAIN,SVR,C,ACTIVITY,topo,-297.8169661309715
100,TRAIN,SVR,C,ACTIVITY,topo,0.3729375259173827
101,TRAIN,SVR,C,ACTIVITY,topo,0.8199700488219955
102,TRAIN,SVR,C,ACTIVITY,topo,0.892902216855829
103,TRAIN,SVR,C,ACTIVITY,topo,-291803.8795765469
104,TRAIN,SVR,C,ACTIVITY,topo,0.3417716175853486
105,TRAIN,SVR,C,ACTIVITY,topo,0.6974174864525201
106,TRAIN,SVR,C,ACTIVITY,topo,0.7870387665003961
107,TRAIN,SVR,C,ACTIVITY,topo,-10497.28824402325
108,TRAIN,SVR,C,ACTIVITY,topo,0.017641195698009593
109,TRAIN,SVR,C,ACTIVITY,topo,-0.016771637279681118
110,TRAIN,SVR,C,ACTIVITY,topo,0.019792216033154175
111,TRAIN,SVR,C,ACTIVITY,topo,-0.006275828438142561
112,TRAIN,MLP,C,ACTIVITY,topo,0.45649657674252464
113,TRAIN,MLP,C,ACTIVITY,topo,0.3938817846166779
114,TRAIN,MLP,C,ACTIVITY,topo,0.45012148183247025
115,TRAIN,MLP,C,ACTIVITY,topo,0.4238093735404045
116,TRAIN,MLP,C,ACTIVITY,topo,0.42274198873607904
