timepoint,set,model,context,response,feature,r2,r2_se,rmse,rmse_se,r2s
8,TRAIN,MLR,C,ACTIVITY,diff,0.340221508568634,0.00611596880378334,0.2934880741746578,0.001806901671438878,"[0.3143846739787166, 0.311614251357924, 0.33449781316068117, 0.3385304713295091, 0.3546444280169325, 0.31949124705707954, 0.3420028391952593, 0.3701707850835477, 0.3554983432969988, 0.3613802332096909]"
8,TEST,MLR,C,ACTIVITY,diff,0.25657498777278975,0.015485979490978448,0.3206346232538726,0.003944954268409842,"[0.3095898053419781, 0.3369632568139078, 0.25631312425046204, 0.2399480374505697, 0.24446908251320665, 0.3012434589715641, 0.23343161329092854, 0.14944207002923904, 0.2542653409739172, 0.24008408809212467]"
8,TRAIN,RF,C,ACTIVITY,diff,0.4820166892053567,0.007032960999052649,0.26373740043802685,0.0020322675924407067,"[0.514482452874838, 0.4610246962147354, 0.49105112780774285, 0.5086137404595679, 0.4814843807729028, 0.46060810542347996, 0.491257392350703, 0.4692410828085686, 0.5005396955058433, 0.4418642178351856]"
8,TEST,RF,C,ACTIVITY,diff,0.36519669295799617,0.012004270216624369,0.28732043917031697,0.004050157515465127,"[0.3038738147584792, 0.3856261723495982, 0.36536774072059386, 0.3608470076918012, 0.3774307507185244, 0.3746073304391737, 0.3446718621971815, 0.4338892939688572, 0.3052385413000751, 0.40041441543567746]"
8,TRAIN,SVR,C,ACTIVITY,diff,0.48995434220584305,0.009857881460975866,0.2604147365885455,0.001887328304851263,"[0.4857651277680667, 0.45930360912616053, 0.5067532324902931, 0.41760168520791785, 0.5156824116126533, 0.5251849293573683, 0.5186496384356085, 0.504422836795672, 0.4727572170528158, 0.4934227342118743]"
8,TEST,SVR,C,ACTIVITY,diff,0.25441513798919885,0.03284426815917115,0.3136966912526741,0.004592782682497865,"[0.24505259962453452, 0.37820572783072015, 0.262113624943496, 0.4364319085448747, 0.21192624512489355, 0.16921402853976264, 0.03907239464477952, 0.24356202545417494, 0.31451050616828613, 0.24406231901646613]"
8,TRAIN,MLP,C,ACTIVITY,diff,0.6224788742543068,0.016226665845595425,0.22215964641454736,0.0046480274608213775,"[0.5425510999991361, 0.6503359710647467, 0.7226116187270848, 0.598108340298412, 0.5701010886202393, 0.5941883795156164, 0.6332237327962028, 0.6743378101301143, 0.5866419158346643, 0.652688785556852]"
8,TEST,MLP,C,ACTIVITY,diff,0.2215508687886361,0.04113442674992086,0.3245872747088753,0.008293925733509564,"[0.2993065309508529, 0.12176117191127622, -0.05411393714870849, 0.20466728689117775, 0.26032365632127275, 0.4268562796330645, 0.13929763131100048, 0.16910088522133127, 0.3608884641848822, 0.28742071861021135]"
8,TRAIN,MLR,C,GROWTH,diff,0.6633329801458261,0.007452723858375531,0.1257779379563046,0.0009784799538969072,"[0.6395520169061284, 0.66978197291041, 0.6649292597975044, 0.6488879427191381, 0.6810052727804332, 0.6082710718646519, 0.6688019040379827, 0.6908001697820279, 0.6826165761294739, 0.6786836145305101]"
8,TEST,MLR,C,GROWTH,diff,0.5516032912535349,0.02630323750657377,0.14360905737781077,0.0026026424812435043,"[0.6354583574260624, 0.5602414990593845, 0.5720168294179081, 0.6216188982902529, 0.5381539691473407, 0.689700214086803, 0.37394421706212944, 0.4992049353523642, 0.5029282688057428, 0.5227657238873618]"
8,TRAIN,RF,C,GROWTH,diff,0.8830539325272003,0.0022888380183403866,0.07443127876653773,0.0007616419689232331,"[0.8769560548918839, 0.8885290810217022, 0.8797335735058898, 0.8996443291933341, 0.8772556558511365, 0.8756911249988635, 0.8858154244708991, 0.8758053519440345, 0.8833241728054176, 0.8877845565888418]"
8,TEST,RF,C,GROWTH,diff,0.585642436861072,0.010113179074182275,0.1381791151755048,0.002116619157174301,"[0.6251577212672316, 0.547600070035805, 0.6216928451168424, 0.5400097659278998, 0.6356855021803296, 0.580018250892915, 0.5953859917886566, 0.5879625565575958, 0.5653765332762224, 0.5575351315672217]"
8,TRAIN,SVR,C,GROWTH,diff,0.8464626373460578,0.003923006308783081,0.08497698401665472,0.0009609503803021784,"[0.8339727052400004, 0.8512124436130931, 0.8443415463428541, 0.8445522198052962, 0.8480468036230833, 0.8576271076105524, 0.8679665438328532, 0.8481580758862413, 0.8496648969932297, 0.8190840305133748]"
8,TEST,SVR,C,GROWTH,diff,0.5645249502818362,0.015854240331471117,0.14239379383430023,0.0022922435491720063,"[0.6061967782073479, 0.6039104479216626, 0.5187410114860916, 0.5643897451046269, 0.6015539342273176, 0.5188178310762012, 0.49360918979786617, 0.5307660004670166, 0.5442017234410192, 0.6630628410892125]"
8,TRAIN,MLP,C,GROWTH,diff,0.7959719481121618,0.0049654532076105,0.09789183708624216,0.0009779553895448306,"[0.7599982468175025, 0.8009904577050366, 0.8017192919185048, 0.7899240538443801, 0.7890736282813415, 0.7922045972461703, 0.8258008156426286, 0.7952785407133283, 0.8069968113397309, 0.7977330376129936]"
8,TEST,MLP,C,GROWTH,diff,0.5863090859070302,0.013487661080960722,0.13929031953024884,0.002034897033778454,"[0.6068813186067115, 0.5830316178566599, 0.5163852878452384, 0.6675556896280468, 0.5160773220256012, 0.6026092496088602, 0.5711136463590756, 0.590212748248168, 0.6133602728085833, 0.5958637060833589]"
8,TRAIN,MLR,C,SYMMETRY,diff,0.1561430814294465,0.005586257565929738,0.07524326610784203,0.0005907773996706879,"[0.17020079504522145, 0.15177207791388203, 0.16118753510820027, 0.11916710405802078, 0.1491748463261442, 0.16999484259197994, 0.178568720802447, 0.14748208278505504, 0.13834559168885996, 0.17553721797465405]"
8,TEST,MLR,C,SYMMETRY,diff,-0.0021543996478693094,0.015770587625254438,0.08137140003842759,0.0013124441837835453,"[-0.019056641682032138, -0.0436880902727268, 0.023173120207299225, 0.07862249282643297, 0.015318747338066263, -0.10699250361448609, -0.028403177724615647, 0.0312217182246457, 0.04625760037279747, -0.017997262154074045]"
8,TRAIN,RF,C,SYMMETRY,diff,0.27888999269019815,0.0033648911991778626,0.06956677758779393,0.0004516024670258172,"[0.2868078564873566, 0.272455864939558, 0.285233708862875, 0.27779951981755824, 0.30202644259945066, 0.2709482898659126, 0.26287281407015994, 0.2851385097631619, 0.2758741442533411, 0.2697427762426077]"
8,TEST,RF,C,SYMMETRY,diff,0.04985122236396476,0.009027209368601683,0.07905554791224818,0.001276912529420263,"[-0.010954073699733113, 0.05993841334179684, 0.058791198482888496, 0.04339848788065914, 0.013277787678219966, 0.07635278921518207, 0.08615870845586615, 0.05871814879768522, 0.037634100980195595, 0.07519666250688728]"
8,TRAIN,SVR,C,SYMMETRY,diff,0.4294682016334669,0.0076871695875511785,0.06182503307112312,0.00030965539236545945,"[0.46084847619655245, 0.45552536573074354, 0.44447711868060014, 0.45052182287081854, 0.4108884393276475, 0.37577278768379185, 0.4247016983958386, 0.4281421854774142, 0.4116633660233142, 0.43214075594794754]"
8,TEST,SVR,C,SYMMETRY,diff,-0.023945870492465226,0.017878564689763204,0.08214894823402696,0.0008297136565869012,"[-0.09660116567780253, -0.0017013494995856693, -0.04261402028885408, -0.09073287056335766, 0.049162568843263865, 0.06581784659193923, -0.09566299376706833, -0.045146229816089845, -0.001343443950227119, 0.019362953203129862]"
8,TRAIN,MLP,C,SYMMETRY,diff,0.14199373742888638,0.00790523173957265,0.07545014127462187,0.0004697463780218291,"[0.09668946670144662, 0.15190983318141016, 0.149476113157608, 0.17854259574641018, 0.10918156037419291, 0.16323261783612664, 0.1580429983536049, 0.1139049383880617, 0.14629095451791718, 0.1526662960320856]"
8,TEST,MLP,C,SYMMETRY,diff,0.02102889238411996,0.0179391682326683,0.08165202848470471,0.0010385899921961524,"[0.10646960055245913, -0.001514028925069244, 0.019389853779546495, -0.09566601932359342, 0.06335688448854615, -0.009194675184466039, 0.013210026464279045, 0.07343995505704382, 0.07157833435515937, -0.03078100742270573]"
15,TRAIN,MLR,C,ACTIVITY,diff,0.6903255056318777,0.0057876387928084815,0.20281286197032236,0.0021340197752550815,"[0.7106026369143112, 0.7287191180823742, 0.7071549472197074, 0.6837761825420481, 0.6764715261728403, 0.6911856764893991, 0.6679412675147836, 0.6859013469073119, 0.6754357577225821, 0.6760665967534187]"
15,TEST,MLR,C,ACTIVITY,diff,0.6011197515932517,0.014506073452341882,0.23126136510550532,0.004946872725822692,"[0.5578442740614074, 0.5160508964268684, 0.5500594838867187, 0.6230074745933225, 0.6542505799090668, 0.5978736516579946, 0.6585437193425441, 0.582793066185878, 0.6314122169361509, 0.6393621529325665]"
15,TRAIN,RF,C,ACTIVITY,diff,0.7027613850991472,0.005381990603113152,0.19940204779015053,0.0019515818655674883,"[0.7029080909777874, 0.7223048590509011, 0.7049644378763402, 0.7304004262826114, 0.693679045613703, 0.7183207793595615, 0.6858778373771579, 0.6709044445345695, 0.6922377399013278, 0.7060161900175108]"
15,TEST,RF,C,ACTIVITY,diff,0.5402235004529514,0.017476875982008762,0.24514600627533353,0.004701291432736259,"[0.5586822523779278, 0.5131592078607717, 0.5015953900423167, 0.43278638224897203, 0.5732596809020309, 0.4875983687313994, 0.6134592986497884, 0.6235237449903847, 0.556693943321761, 0.5414767354041607]"
15,TRAIN,SVR,C,ACTIVITY,diff,0.6828504158537385,0.004510952746612347,0.20665031822736069,0.0014230280117376226,"[0.6836476128325386, 0.6919194014656911, 0.6766834997688244, 0.7000825598193604, 0.6849437709505455, 0.7080484167195424, 0.6758730758766999, 0.6694904609072263, 0.6823560441683082, 0.6554593160286477]"
15,TEST,SVR,C,ACTIVITY,diff,0.5115682856996047,0.06969508075567943,0.24795183072974822,0.014755118637850792,"[0.5688787979923287, 0.5679634523758403, 0.6098499776541253, 0.5276537534304012, 0.5946659143351241, 0.5478306132620347, 0.6040278492957651, 0.6408314589995128, 0.5970652179932218, -0.14308417834230625]"
15,TRAIN,MLP,C,ACTIVITY,diff,0.7066847586081992,0.00344814909864415,0.19820162612109357,0.0016450692978209355,"[0.7152163376739686, 0.7247182509867736, 0.6930449728594215, 0.6940955648389642, 0.6978429241931858, 0.7218939200787898, 0.7100954480577211, 0.71086451842715, 0.6978511385331745, 0.7012245104328434]"
15,TEST,MLP,C,ACTIVITY,diff,0.5935534715770927,0.008497039434734156,0.23094259862909677,0.003413248472092702,"[0.5990909172356078, 0.5645865826220726, 0.6082182405890679, 0.6471749097255983, 0.5808034031852684, 0.546634796082615, 0.5822105866852294, 0.5901181062072325, 0.5957444230236904, 0.620952750414546]"
15,TRAIN,MLR,C,GROWTH,diff,0.6565423488824649,0.004336460206532414,0.1263001208487911,0.0008665243257843662,"[0.6548529280441711, 0.6274754611841545, 0.671067259577309, 0.6562440977419021, 0.6551635733397339, 0.6591756440305405, 0.6425583124908502, 0.6779418403126746, 0.6524573681606383, 0.6684870039426747]"
