set,model,context,response,feature,r2,r2_se,rmse,rmse_se,timepoint,emulator
TEST,MLR,C,ACTIVITY,topo,0.2091665677671718,0.0,0.3305584022628329,0.0045661850834765,0,ml
TEST,RF,C,GROWTH,naive,0.2026275808437275,0.003503527955762,0.2018978928036713,0.0003824724341009,0,ml
TEST,MLR,C,SYMMETRY,naive,-6.618360491961184e-05,0.0,0.0847000322287527,0.0012664052218497,0,ml
TEST,RF,CH,ACTIVITY,naive,0.0486633937309318,0.001346041608847,0.3117399997983339,0.0002133690829616,0,ml
TEST,SVR,CH,GROWTH,spatial,0.2790141827609592,0.0,0.3128355003809366,0.0072608370455518,0,ml
TEST,MLR,CH,SYMMETRY,spatial,0.1739329392020755,8.777083671441753e-18,0.142526007651366,8.777083671441753e-18,0,ml
TEST,MLP,C,ACTIVITY,naive,0.2584884156293082,0.0,0.321699100503053,0.006528751989419836,0,rnn
TEST,SVR,C,GROWTH,topo,0.2754501188171637,0.0,0.1863076139961655,0.0009028939696700411,0,rnn
TEST,MLR,C,SYMMETRY,naive,0.0418192338382767,0.0,0.0761029734972782,0.00011521010707622342,0,rnn
TEST,RF,CH,ACTIVITY,spatial,0.1450650867784745,0.0,0.2949920590899034,0.0006173832576120346,0,rnn
TEST,MLP,CH,GROWTH,spatial,0.2695774698304571,0.0,0.314817651325745,0.0008688479542229422,0,rnn
TEST,MLP,CH,SYMMETRY,naive,0.1701683679186527,0.0,0.141784140958515,0.0003167561305383951,0,rnn
TEST,MLR,C,ACTIVITY,topo,0.658277631202375,0.010024691613621819,0.21334202994901558,0.003723477729429556,15,ml15
TEST,MLR,C,GROWTH,topo,0.5095272512617797,0.015366134174042452,0.1513033018970245,0.003775212454274634,15,ml15
TEST,MLR,C,SYMMETRY,topo,0.15855398504599086,0.011412580284860798,0.07435924038222427,0.0014947120693335838,15,ml15
TEST,SVR,CH,ACTIVITY,topo,0.19399301334532063,0.018322178183607814,0.2880623662677554,0.0065774642068591556,15,ml15
TEST,MLR,CH,GROWTH,topo,0.587481114986229,0.02037392972803798,0.23822536099493496,0.007454328138675919,15,ml15
TEST,MLP,CH,SYMMETRY,topo,0.4270117584575696,0.018975373392224444,0.12021335903075939,0.0008651517106623904,15,ml15
