timepoint,set,model,context,response,feature,r2,r2_se,rmse,rmse_se,r2s
0,TRAIN,MLR,C,ACTIVITY,naive,0.20825198257687502,0.00397406165275533,0.32581160518603147,0.00124534879579307,"[0.18717312249821583, 0.21380373134456532, 0.1985685437007606, 0.21208026933010604, 0.21323110915001542, 0.19811725333047592, 0.19528681612657073, 0.21861052346385834, 0.23199351222757736, 0.21365494459660472]"
0,TEST,MLR,C,ACTIVITY,naive,0.18691810751400986,0.010873732796835747,0.32681293978158915,0.002453249948826407,"[0.22634242653825087, 0.15188529149759533, 0.20266408306626793, 0.18523947096210747, 0.17670195315551096, 0.22935580354487106, 0.22664750848067605, 0.17162371975152846, 0.11579968111985284, 0.1829211370234376]"
0,TRAIN,RF,C,ACTIVITY,naive,0.5302769936408269,0.0062942281818616054,0.2526368691809996,0.002079682366966437,"[0.5180822666841152, 0.4976532693064514, 0.5402223494670584, 0.5148192773588716, 0.5225903616543469, 0.5496056139615921, 0.5325875221325697, 0.5738910164168305, 0.5219431085002647, 0.5313751509261692]"
0,TEST,RF,C,ACTIVITY,naive,0.18586508398484375,0.020395110933735323,0.3206434224614732,0.006341282825740056,"[0.19726552362204708, 0.22439128311215328, 0.07315530899645939, 0.2584413873216731, 0.2431921923515249, 0.20506737922004914, 0.17243237145706625, 0.057210263951028795, 0.20789468919666987, 0.21960044061976525]"
0,TRAIN,SVR,C,ACTIVITY,naive,0.44217952964048707,0.009545484753714653,0.2714330714728762,0.0027624934836131603,"[0.4355166573003665, 0.3862436761188689, 0.4235483914374475, 0.4214403659651925, 0.5017379740875878, 0.4655166532650632, 0.43900407574815503, 0.45203550753637534, 0.4694156771485304, 0.42733631779728376]"
0,TEST,SVR,C,ACTIVITY,naive,0.2290323853134341,0.022328236180175633,0.32274683809357807,0.006024000994467304,"[0.25071906335825, 0.3339721308864225, 0.2622707298173391, 0.27460153248734276, 0.08509413124926202, 0.16370814302337988, 0.25426268145172903, 0.2402826527040881, 0.14596313144566198, 0.2794496567108655]"
0,TRAIN,MLP,C,ACTIVITY,naive,0.3688689745326757,0.009013621124824745,0.2913525756343659,0.001566938243541258,"[0.3665766119280496, 0.40173052658510544, 0.42308881604852266, 0.32496489991702626, 0.3522296677584078, 0.3631423277415713, 0.3288316979210689, 0.3833877146001904, 0.36889699939653675, 0.3758404834302781]"
0,TEST,MLP,C,ACTIVITY,naive,0.22861537144430139,0.02650176517107306,0.31514582788055845,0.003328414897200584,"[0.23643537985864538, 0.23415084338506786, 0.10340117169162488, 0.30582216528090556, 0.2799524046065669, 0.23072981460841335, 0.37502407940907356, 0.2455274350415575, 0.19902748652636448, 0.07608293403479449]"
0,TRAIN,MLR,C,GROWTH,naive,0.23820300152994095,0.007808285642022355,0.18856181423197912,0.0013835834721609192,"[0.2299925851596918, 0.19797755847496867, 0.2146441559372203, 0.23616037930036604, 0.2751945974967407, 0.2637512430563308, 0.25200642968516407, 0.22927574202187062, 0.21377378650215217, 0.26925353766490456]"
0,TEST,MLR,C,GROWTH,naive,0.16546832053636015,0.019315583035772563,0.19966940041163322,0.0032001936417070487,"[0.165883365594918, 0.24383805826423066, 0.23463507160243857, 0.19719584674851043, 0.06754819581970117, 0.10855790109544639, 0.13443521541520032, 0.2089129625267946, 0.2139379156508905, 0.07973867264547096]"
0,TRAIN,RF,C,GROWTH,naive,0.37245304230221743,0.005101234396032379,0.17196681408732148,0.0012987771317047282,"[0.36937574421375774, 0.390120440043647, 0.3823084158280442, 0.36167896973372393, 0.37969152597523315, 0.35381531284551215, 0.3451593463413818, 0.35906101186529127, 0.3899881016202209, 0.39333155455536173]"
0,TEST,RF,C,GROWTH,naive,0.28175773994990416,0.017448206239188104,0.18277507383943323,0.003701709002239859,"[0.2569209504552201, 0.27009400948679796, 0.2318138803093167, 0.34997052298886233, 0.22756963716790124, 0.354690430222131, 0.308221284926369, 0.36562095446632636, 0.24069226472354854, 0.2119834647525679]"
0,TRAIN,SVR,C,GROWTH,naive,0.3571564696327029,0.012688929548240592,0.17294527196636694,0.0017717326251049544,"[0.3598472556672899, 0.41330822779463117, 0.3364830122619361, 0.3777071939150305, 0.4153313264498757, 0.2995994504458078, 0.29911728112817304, 0.39305311535578136, 0.34329864092303897, 0.333819192385465]"
0,TEST,SVR,C,GROWTH,naive,0.21653078236856443,0.03407022739980492,0.19377288367463974,0.004258093269630835,"[0.1432286166962521, 0.13112199046626638, 0.24153221622562115, 0.18235139940469292, 0.029335965904640715, 0.3784421086489953, 0.3857304429221958, 0.13851653567718125, 0.2526200578866771, 0.28242848985312186]"
0,TRAIN,MLP,C,GROWTH,naive,0.3503398029831082,0.01060942822119037,0.17513056394314835,0.0016682303340606508,"[0.3824477964198314, 0.3610008894520147, 0.35206259905476067, 0.3121501746421701, 0.4053324638019983, 0.293835686093721, 0.3250737129105158, 0.348115963018917, 0.3893673850348025, 0.3340113594023504]"
0,TEST,MLP,C,GROWTH,naive,0.2678856236722156,0.0187898122152645,0.18444914558023426,0.002803902687606836,"[0.14813395417898856, 0.28421585927667015, 0.29530642535772034, 0.30863729108922033, 0.17687467756594877, 0.3373129682100191, 0.291096544008315, 0.3306565865354738, 0.2414991875212098, 0.2651227429785902]"
0,TRAIN,MLR,C,SYMMETRY,naive,0.02539911055167753,0.003111390520595516,0.08157946250936206,0.00040162590721940395,"[0.022014436530887305, 0.034225352910243645, 0.023376556995429065, 0.015360426269311112, 0.021395884284267308, 0.046906623136173775, 0.015626198461718532, 0.018551402120554172, 0.020008785972243315, 0.036525438835947055]"
0,TEST,MLR,C,SYMMETRY,naive,0.0029932874438671543,0.004883218794560965,0.0797491302378959,0.0009190311426779077,"[0.02316757639814293, -0.011553356066255738, 0.007789891630820445, 0.009273573041157723, -0.009892430390137985, -0.029978822043828846, 0.015149237810228922, 0.014602186429422459, 0.014441746579872072, -0.0030667289507504414]"
0,TRAIN,RF,C,SYMMETRY,naive,0.10724766142920647,0.00208495705279842,0.07633958525759248,0.0006196320745258999,"[0.10471089767510522, 0.10387766657165676, 0.10356241723731319, 0.11300670019545833, 0.10282073311437501, 0.11346001362132985, 0.0994167336912335, 0.11937159024748878, 0.09901367712081288, 0.11323618481729136]"
0,TEST,RF,C,SYMMETRY,naive,-0.00569931393547306,0.006393506776586433,0.08414522211748099,0.0013862172240389394,"[0.022783321660828082, -0.012169119113408566, 0.028754783721623656, -0.01733715147152881, -0.008241946763310581, -0.009166265455460287, -0.032664002705123485, -0.0207891314487072, 0.01752299451515882, -0.02568662229480223]"
0,TRAIN,SVR,C,SYMMETRY,naive,0.30197955722808817,0.0033574851594318812,0.06929923699650338,0.0004592538060013653,"[0.314094509598029, 0.3025341860079269, 0.30461351401225245, 0.3083678444810143, 0.30087131042490556, 0.29583690029348186, 0.2804830723321242, 0.312307013087883, 0.312980357846115, 0.28770686419714964]"
0,TEST,SVR,C,SYMMETRY,naive,-0.02786133769479634,0.012624724420967737,0.08002793591696218,0.0014252179885102156,"[-0.036458423367594195, 0.017080590387029693, -0.06310198389765054, -0.033384949259636976, -0.027312952752971853, -0.010034918783865088, 0.02620404066976567, -0.06371562085048343, -0.10529703844890137, 0.01740787935634469]"
0,TRAIN,MLP,C,SYMMETRY,naive,0.04441645066075919,0.003667930251495771,0.07961384517939749,0.0005574901694699506,"[0.051061709738123406, 0.051086864689402045, 0.02764912916614748, 0.02948225278729477, 0.02886768203583423, 0.05721608978195303, 0.051700402169973625, 0.06130829749464173, 0.04149331027637648, 0.044298768467845084]"
0,TEST,MLP,C,SYMMETRY,naive,-0.007816721675575478,0.007752701141505718,0.08263311780478347,0.0012466919562701677,"[-0.013263307306997207, -0.05233237784178857, 0.03331314071128577, -0.015904794291529356, 0.02326537331104961, -0.026312450485129313, -0.025400972398547328, -0.010163487783366731, 0.017058409068852143, -0.008426749739583794]"
0,TRAIN,MLR,C,ACTIVITY,topo,0.3488047281501779,0.004886071958488082,0.29497282704334926,0.001467287167901768,"[0.3641833145341187, 0.35454195749737893, 0.3365340215168542, 0.3418797533589204, 0.3689598975957017, 0.313981573399137, 0.35652985892409395, 0.36225823802812174, 0.34110142286956524, 0.3480772437778873]"
0,TEST,MLR,C,ACTIVITY,topo,0.18033930017482308,0.014148166059197944,0.3292797579019269,0.0036996820174453296,"[0.17648633843034633, 0.15986450940480434, 0.17377792887768184, 0.25704551104659745, 0.13411835008870943, 0.2723031712664984, 0.16665236008857998, 0.16875896620733566, 0.13070696997531395, 0.16367889636236366]"
0,TRAIN,RF,C,ACTIVITY,topo,0.45385490467317774,0.006143825248215771,0.2698137002921473,0.0016840302769512005,"[0.47363518826846285, 0.4630935430409058, 0.46418108523505486, 0.43587450403323447, 0.4563325089418351, 0.44017528897039837, 0.47511021456534397, 0.4400617839635086, 0.4144034780860917, 0.475681451626942]"
0,TEST,RF,C,ACTIVITY,topo,0.25328193535172405,0.014556895407425377,0.31481357429670365,0.002893792046874285,"[0.19523046037800829, 0.27875153945864284, 0.2491176396765803, 0.3297416015806708, 0.24288123644774529, 0.19486922713829435, 0.2053473949447827, 0.2781012224742414, 0.3212886582536, 0.23749037316467503]"
