,model_type,n,C,epsilon,kernel
b39160c3-a3a0-44ec-a2c3-8817d982be4c,SVR,500,0.10000000000000002,0.0010000000000000002,
a9d99578-322a-4706-b336-debb384a80e6,SVR,500,0.10000000000000002,0.0010000000000000002,poly
e37fa4ff-e181-4278-9b67-348d6921de67,SVR,500,0.10000000000000002,0.0010000000000000002,rbf
cfba5a6a-8b61-480f-9087-2b882a3403e7,SVR,500,0.10000000000000002,0.0010000000000000002,sigmoid
cdb9b1ad-916a-4e74-9654-0bf08c161aad,SVR,500,3.1622776601683795,0.0316227766016838,
22d49cdb-2685-42b2-b829-0606be539477,SVR,500,3.1622776601683795,0.0316227766016838,poly
ff953ad9-7bdd-441b-8584-556d416b4281,SVR,500,3.1622776601683795,0.0316227766016838,rbf
844f4827-bf6f-4a2f-be36-48ee095302c0,SVR,500,3.1622776601683795,0.0316227766016838,sigmoid
c15f7aab-0369-43a0-b983-a2e635ade839,SVR,500,17.78279410038923,0.005623413251903493,
344fefe2-2a2d-422c-972e-bfea27a64c4d,SVR,500,17.78279410038923,0.005623413251903493,poly
57ec4c53-1f24-4680-b394-fe28b5c4e560,SVR,500,17.78279410038923,0.005623413251903493,rbf
b585d94a-5874-467a-968f-e2a03a23feef,SVR,500,17.78279410038923,0.005623413251903493,sigmoid
6f7b567d-2f66-4c05-a5c6-20cd5ee7dfc6,SVR,500,0.5623413251903492,0.1778279410038923,
779ac322-eb10-49c9-9566-589f09a7ffa8,SVR,500,0.5623413251903492,0.1778279410038923,poly
ea64bacb-4d08-4747-9ff4-34a8e77d7b4d,SVR,500,0.5623413251903492,0.1778279410038923,rbf
e36251a4-7e1a-4e96-9dd1-b7b4d5c2cc05,SVR,500,0.5623413251903492,0.1778279410038923,sigmoid
1a7e300d-48bd-4eaf-a373-b848c90951ea,SVR,500,1.3335214321633242,0.013335214321633242,
5f102fdc-5c94-408b-9f19-d647882ceb8b,SVR,500,1.3335214321633242,0.013335214321633242,poly
36e89285-059b-411c-995b-1dcf794dca07,SVR,500,1.3335214321633242,0.013335214321633242,rbf
6d1f476f-b067-4815-981a-a1a1f8194084,SVR,500,1.3335214321633242,0.013335214321633242,sigmoid
0f7a8e0c-9854-405b-abd3-c4c880f209f0,SVR,500,42.169650342858226,0.4216965034285822,
e0d942e7-588f-4368-897c-f4b189b2c480,SVR,500,42.169650342858226,0.4216965034285822,poly
9cf72e3c-fcbc-4cc2-bbf9-6423ffeacfbc,SVR,500,42.169650342858226,0.4216965034285822,rbf
6a45fcbe-1e75-4dbe-afc6-2c9232aa72d7,SVR,500,42.169650342858226,0.4216965034285822,sigmoid
8cfb5882-e836-4da2-bf59-ee786feb60d3,SVR,500,7.498942093324559,0.002371373705661656,
ce9b22ee-e058-403e-9a7c-a52315ca6a9c,SVR,500,7.498942093324559,0.002371373705661656,poly
2465407b-e983-4881-80c2-62f1f91818df,SVR,500,7.498942093324559,0.002371373705661656,rbf
15472693-142d-4945-9ad0-f30ece8be29c,SVR,500,7.498942093324559,0.002371373705661656,sigmoid
8233e9ac-2a6b-4053-8c1e-f4f6ef131c9c,SVR,500,0.23713737056616557,0.07498942093324559,
e3364c86-0667-4161-ab1f-ea37ea52092e,SVR,500,0.23713737056616557,0.07498942093324559,poly
24937dd2-c5f4-4ec8-a6b3-9e4bb00223fb,SVR,500,0.23713737056616557,0.07498942093324559,rbf
862c07c8-0834-4e52-a695-0c135dfe554c,SVR,500,0.23713737056616557,0.07498942093324559,sigmoid
54af6fb4-18b0-458c-8e1e-5fe5574899f8,SVR,500,0.3651741272548378,0.008659643233600656,
4b218728-f8c6-4c52-adca-256a07f34edb,SVR,500,0.3651741272548378,0.008659643233600656,poly
4efa6c99-7543-42b7-b928-ee6b5ef1e5b0,SVR,500,0.3651741272548378,0.008659643233600656,rbf
8420cab5-633d-4977-bda3-9991fe1449bf,SVR,500,0.3651741272548378,0.008659643233600656,sigmoid
aa315816-943d-4b9f-aa58-4da68b411b89,SVR,500,11.547819846894583,0.27384196342643613,
412c5cb4-be63-475a-9f6f-b2c0ad2b97c2,SVR,500,11.547819846894583,0.27384196342643613,poly
c068ad33-5d98-412c-b8d6-d9f0ac260591,SVR,500,11.547819846894583,0.27384196342643613,rbf
9eab8966-493b-4006-92b4-b575de2b6105,SVR,500,11.547819846894583,0.27384196342643613,sigmoid
dcc7fb4c-b0d8-44b9-a1be-b1ba1bbc582f,SVR,500,64.93816315762116,0.0015399265260594922,
843878c8-ce23-4059-9adb-ecb27fdedacb,SVR,500,64.93816315762116,0.0015399265260594922,poly
3f7456db-6cf9-4db8-95bc-2a4caa225749,SVR,500,64.93816315762116,0.0015399265260594922,rbf
73f24a1f-c9a0-440e-8a7e-086c17ae7a32,SVR,500,64.93816315762116,0.0015399265260594922,sigmoid
bb82cedb-2fdf-4a3b-9654-80ace1b7840f,SVR,500,2.0535250264571463,0.04869675251658631,
5e8f4a4b-461e-4fe0-bdb5-ae7b931f48cc,SVR,500,2.0535250264571463,0.04869675251658631,poly
f797d12f-6482-4533-be53-a73eae7d9a8f,SVR,500,2.0535250264571463,0.04869675251658631,rbf
d8c006f2-d3ed-4c8a-9b24-9762f0dd0a36,SVR,500,2.0535250264571463,0.04869675251658631,sigmoid
b967b894-a1a0-4312-b809-d4d6cf1306e5,SVR,500,0.8659643233600655,0.003651741272548378,
13811a69-ead5-413e-a006-b208921d72ec,SVR,500,0.8659643233600655,0.003651741272548378,poly
d53b86b4-345f-40e0-b0b4-2814ac55bc2d,SVR,500,0.8659643233600655,0.003651741272548378,rbf
2ab04d43-a3da-46a3-9602-b8a1e8531d87,SVR,500,0.8659643233600655,0.003651741272548378,sigmoid
28faca63-ed5a-4cbb-8ab9-fd683c4a4a6b,SVR,500,27.384196342643612,0.11547819846894583,
0ebe89f8-f501-4e70-adc4-48e522db8deb,SVR,500,27.384196342643612,0.11547819846894583,poly
76fc494a-f803-4591-90a2-54abdebde7d5,SVR,500,27.384196342643612,0.11547819846894583,rbf
74ba5dc7-9311-4c9e-a7f0-f0a3a52145e8,SVR,500,27.384196342643612,0.11547819846894583,sigmoid
72b1b02c-6fd7-495e-955a-2e561134ec0a,SVR,500,4.869675251658632,0.020535250264571463,
14ce7b6e-3982-4f2c-b108-985d2f476a44,SVR,500,4.869675251658632,0.020535250264571463,poly
dd7e760a-ec69-433e-aa2d-0d2b9232b6fb,SVR,500,4.869675251658632,0.020535250264571463,rbf
584703fb-82bd-423c-bf39-f4980ca8d19d,SVR,500,4.869675251658632,0.020535250264571463,sigmoid
8eb37450-82ec-4e0e-8c2f-09dea8854d29,SVR,500,0.15399265260594922,0.6493816315762113,
7955ca6c-60d9-4c90-9135-f97540f496f1,SVR,500,0.15399265260594922,0.6493816315762113,poly
66420b44-d31f-4f51-b9f7-e6a4e8f00997,SVR,500,0.15399265260594922,0.6493816315762113,rbf
39ff5623-a7fb-49e9-93e1-2120ad6ba01e,SVR,500,0.15399265260594922,0.6493816315762113,sigmoid
