,model_type,n,C,epsilon,kernel
d76c93c5-d1ab-4d76-a144-bc4a4c504d60,SVR,500,7.498942093324559,0.002371373705661656,rbf
0046a7b9-2f29-410c-82bd-c1fe2942e820,SVR,500,7.498942093324559,0.002371373705661656,sigmoid
8b4c5c20-5018-45af-a378-002449598a5c,SVR,500,0.23713737056616557,0.07498942093324559,
1fe8ee8e-1866-4cb3-8dc7-c1f94de7bc62,SVR,500,0.23713737056616557,0.07498942093324559,poly
6d88fea6-cba9-4fc5-920a-800318ee308d,SVR,500,0.23713737056616557,0.07498942093324559,rbf
aad13e7a-449c-49c2-9320-b65a64b6ed00,SVR,500,0.23713737056616557,0.07498942093324559,sigmoid
b32b8f25-73c6-4bad-a422-1c5075549433,SVR,500,0.3651741272548378,0.008659643233600656,
5a8702c6-048c-4789-ac41-361c367d1a95,SVR,500,0.3651741272548378,0.008659643233600656,poly
522849f0-15ef-4c1f-a4e6-c74d5914bd3d,SVR,500,0.3651741272548378,0.008659643233600656,rbf
d778e237-ad77-4209-8ce8-609728088efc,SVR,500,0.3651741272548378,0.008659643233600656,sigmoid
a396ae6b-0f8e-4988-ab83-96d007f4b695,SVR,500,11.547819846894583,0.27384196342643613,
1042d3ee-ca79-444d-99eb-51e8e27cb2fb,SVR,500,11.547819846894583,0.27384196342643613,poly
f7e39f51-367e-4f4b-931b-1d773de66c44,SVR,500,11.547819846894583,0.27384196342643613,rbf
1aedafbf-d594-4516-a9e1-28dfcc4630dd,SVR,500,11.547819846894583,0.27384196342643613,sigmoid
d42fc579-3f29-410a-a9b4-ed396d6d9241,SVR,500,64.93816315762116,0.0015399265260594922,
c8c9831b-171e-449f-ae78-6f9819c2db00,SVR,500,64.93816315762116,0.0015399265260594922,poly
927041eb-5e49-462a-847f-e23005f45127,SVR,500,64.93816315762116,0.0015399265260594922,rbf
eb318409-e3ff-4943-9855-394455d96899,SVR,500,64.93816315762116,0.0015399265260594922,sigmoid
5e4c7fd9-3f60-4b3c-9577-f131be5b42a3,SVR,500,2.0535250264571463,0.04869675251658631,
2919189d-1a17-4e1f-ad87-320d6d78c0d4,SVR,500,2.0535250264571463,0.04869675251658631,poly
5aed041b-0509-4931-9289-408cfa0919b1,SVR,500,2.0535250264571463,0.04869675251658631,rbf
25fce089-5a5c-420a-a0ec-4b5cee5fbbfd,SVR,500,2.0535250264571463,0.04869675251658631,sigmoid
8e40dfdc-e175-478c-bc5b-4f517fa1bc6f,SVR,500,0.8659643233600655,0.003651741272548378,
be650d09-58ac-4ca4-a25c-cfb7e6766c55,SVR,500,0.8659643233600655,0.003651741272548378,poly
575e3666-f5df-4685-92bc-a9c05ca6aec6,SVR,500,0.8659643233600655,0.003651741272548378,rbf
98ca0ca3-f4e0-495d-b3fb-ff57bf84c957,SVR,500,0.8659643233600655,0.003651741272548378,sigmoid
c5a5749a-b61f-40f3-a0ec-8a81740c94e6,SVR,500,27.384196342643612,0.11547819846894583,
60f12086-d972-4de5-b760-0923c97f1a3d,SVR,500,27.384196342643612,0.11547819846894583,poly
6e94faf7-6120-4bfd-a786-955320030ec6,SVR,500,27.384196342643612,0.11547819846894583,rbf
17b5ab8b-8e97-46e7-aa46-07cf5ef0ac2a,SVR,500,27.384196342643612,0.11547819846894583,sigmoid
4d0a4c54-eb23-4ae8-8b90-49ab58c3a086,SVR,500,4.869675251658632,0.020535250264571463,
e275a48a-4523-4289-bd8b-661717e0258e,SVR,500,4.869675251658632,0.020535250264571463,poly
24c36e02-96f6-45e0-8bd1-7c6006710bac,SVR,500,4.869675251658632,0.020535250264571463,rbf
48cc9962-afe7-4e26-9907-dcd637fad8fd,SVR,500,4.869675251658632,0.020535250264571463,sigmoid
720c4771-0277-4235-8887-17fc7758a55d,SVR,500,0.15399265260594922,0.6493816315762113,
eafb57c9-b647-4ffd-bf21-2e45355760a2,SVR,500,0.15399265260594922,0.6493816315762113,poly
60ebcf98-2f14-4484-a7cf-1bb839d40bf2,SVR,500,0.15399265260594922,0.6493816315762113,rbf
a588c509-f8e0-41e4-9ae1-f59d23a53812,SVR,500,0.15399265260594922,0.6493816315762113,sigmoid
