context,layout,seed,edge_fraction
C,Lav,0,0.08609958506224069
C,Lav,1,0.13730569948186533
C,Lav,2,0.11192764273600897
C,Lav,3,0.2475294117647061
C,Lav,4,0.1458612975391499
C,Lav,5,0.17517173699705602
C,Lav,6,0.25469283276450516
C,Lav,7,0.16244493392070491
C,Lav,8,0.17745392198885557
C,Lav,9,0.21346938775510182
C,Lav,10,0.18705035971223016
C,Lav,11,0.1200000000000001
C,Lav,12,0.11154011154011156
C,Lav,13,0.21798134011874448
C,Lav,14,0.15920398009950254
C,Lav,15,0.19870194707938105
C,Lav,16,0.27439024390243905
C,Lav,17,0.2445436507936507
C,Lav,18,0.11042311661506721
C,Lav,19,0.1427937915742793
C,Lav,20,0.13893442622950813
C,Lav,21,0.1023444544634805
C,Lav,22,0.14649681528662417
C,Lav,23,0.14654824384335896
C,Lav,24,0.14393939393939392
C,Lav,25,0.1919147045757441
C,Lav,26,0.18080724876441523
C,Lav,27,0.11560418648905801
C,Lav,28,0.11603919546157815
C,Lav,29,0.17052631578947364
C,Lav,30,0.1539345203905801
C,Lav,31,0.14535731648031103
C,Lav,32,0.16385767790262162
C,Lav,33,0.19135477069056428
C,Lav,34,0.19888216115510027
C,Lav,35,0.1948228882833788
C,Lav,36,0.2730833799664242
C,Lav,37,0.10712643678160927
C,Lav,38,0.15479876160990713
C,Lav,39,0.16256366723259763
C,Lav,40,0.2810880829015544
C,Lav,41,0.1481001727115716
C,Lav,42,0.14940828402366857
C,Lav,43,0.2848583877995643
C,Lav,44,0.12921669525443114
C,Lav,45,0.15209790209790208
C,Lav,46,0.17332123411978217
C,Lav,47,0.10166994106090366
C,Lav,48,0.23695844385499554
C,Lav,49,0.1920668058455114
C,Lav,50,0.17321248741188322
C,Lav,51,0.17707918822124946
C,Lav,52,0.13554555680539937
C,Lav,53,0.18518518518518523
C,Lav,54,0.12791741472172347
C,Lav,55,0.12463343108504399
C,Lav,56,0.1497435897435898
C,Lav,57,0.1267029972752044
C,Lav,58,0.1628318584070796
C,Lav,59,0.21391872956562352
C,Lav,60,0.14740450538687555
C,Lav,61,0.12077043206663196
C,Lav,62,0.22356935014548984
C,Lav,63,0.10222222222222233
