context,layout,seed,edge_fraction
CH,Lav,3,0.3087058823529403
CH,Lav,4,0.26353467561521393
CH,Lav,6,0.26023890784982784
CH,Lav,9,0.24857142857142722
CH,Lav,11,0.15473684210526673
CH,Lav,12,0.18961818961819044
CH,Lav,13,0.3078880407124679
CH,Lav,14,0.22180762852404423
CH,Lav,15,0.2616075886170761
CH,Lav,16,0.4128048780487802
CH,Lav,17,0.3040674603174579
CH,Lav,18,0.14396284829721695
CH,Lav,19,0.23281596452328424
CH,Lav,20,0.19262295081967495
CH,Lav,21,0.12759242560865625
CH,Lav,22,0.20849256900212187
CH,Lav,23,0.2151796528058133
CH,Lav,24,0.26111111111111296
CH,Lav,25,0.26254997778764866
CH,Lav,26,0.193574958813841
CH,Lav,27,0.18315889628924864
CH,Lav,28,0.1872099020113469
CH,Lav,29,0.18578947368421206
CH,Lav,30,0.2446869615163676
CH,Lav,31,0.21633446767136622
CH,Lav,32,0.20786516853932557
CH,Lav,33,0.22983658408012708
CH,Lav,34,0.2640894271075914
CH,Lav,35,0.2815622161671195
CH,Lav,36,0.25013989927252445
CH,Lav,37,0.1954022988505728
CH,Lav,38,0.24281291463954124
CH,Lav,39,0.20713073005093163
CH,Lav,40,0.2858376511226246
CH,Lav,41,0.252590673575129
CH,Lav,42,0.21745562130177587
CH,Lav,43,0.2173202614379096
CH,Lav,44,0.17953116066323405
CH,Lav,45,0.2827797202797211
CH,Lav,46,0.19328493647912703
CH,Lav,47,0.1871316306483315
CH,Lav,48,0.2581786030061889
CH,Lav,49,0.2844467640918589
CH,Lav,50,0.21399798590130947
CH,Lav,51,0.22960604854754996
CH,Lav,52,0.24465691788526567
CH,Lav,53,0.20827886710239907
CH,Lav,54,0.21678635547576375
CH,Lav,55,0.22091886608015843
CH,Lav,56,0.19794871794871893
CH,Lav,60,0.21351616062683687
CH,Lav,62,0.3239573229873913
CH,Lav,63,0.1466666666666666
CH,Lav,65,0.2593597395550732
CH,Lav,66,0.27629592350277044
CH,Lav,67,0.26018099547511075
CH,Lav,68,0.2358258011503671
