RADIUS,LENGTH,WALL,SHEAR,CIRCUM,FLOW,NODES,EDGES,GRADIUS,GDIAMETER,AVG_ECCENTRICITY,AVG_SHORTEST_PATH,AVG_CLOSENESS,AVG_BETWEENNESS,AVG_IN_DEGREES,AVG_OUT_DEGREES,AVG_DEGREE,AVG_CLUSTERING,AVG_CORENESS,GRADIUS:WALL,GDIAMETER:WALL,AVG_ECCENTRICITY:WALL,AVG_SHORTEST_PATH:WALL,AVG_CLOSENESS:WALL,AVG_BETWEENNESS:WALL,GRADIUS:SHEAR,GDIAMETER:SHEAR,AVG_ECCENTRICITY:SHEAR,AVG_SHORTEST_PATH:SHEAR,AVG_CLOSENESS:SHEAR,GRADIUS:RADIUS,GDIAMETER:RADIUS,AVG_ECCENTRICITY:RADIUS,AVG_SHORTEST_PATH:RADIUS,AVG_CLOSENESS:RADIUS,AVG_BETWEENNESS:RADIUS,GRADIUS:PRESSURE_AVG,GDIAMETER:PRESSURE_AVG,AVG_ECCENTRICITY:PRESSURE_AVG,AVG_SHORTEST_PATH:PRESSURE_AVG,AVG_CLOSENESS:PRESSURE_AVG,AVG_BETWEENNESS:PRESSURE_AVG,GRADIUS:PRESSURE_DELTA,GDIAMETER:PRESSURE_DELTA,AVG_ECCENTRICITY:PRESSURE_DELTA,AVG_SHORTEST_PATH:PRESSURE_DELTA,AVG_CLOSENESS:PRESSURE_DELTA,GRADIUS:OXYGEN_AVG,GDIAMETER:OXYGEN_AVG,AVG_ECCENTRICITY:OXYGEN_AVG,AVG_SHORTEST_PATH:OXYGEN_AVG,AVG_CLOSENESS:OXYGEN_AVG,AVG_BETWEENNESS:OXYGEN_AVG,GRADIUS:OXYGEN_DELTA,GDIAMETER:OXYGEN_DELTA,AVG_ECCENTRICITY:OXYGEN_DELTA,AVG_SHORTEST_PATH:OXYGEN_DELTA,AVG_CLOSENESS:OXYGEN_DELTA,LAYOUT,SEED
-0.21671563,1.0,0.61832464,-0.08934783,-0.96047086,-0.4945346,0.07731056,0.05256641,0.9110522,0.51030916,0.89036125,0.43841258,-0.4437941,-0.24987786,-0.21585634,-0.21585634,-0.21585634,-0.6154885,0.41099688,0.12516782,0.49267432,0.2844453,0.01775996,-0.04047456,-0.22828661,-0.1394983,-0.07378949,-0.13400061,-0.094841644,-0.2075213,-0.6225945,0.11036916,0.17624322,0.30673066,-0.44427556,-0.27161714,-0.78732497,-0.8678738,-0.8824367,-1.1108587,1.2002422,-0.24987242,0.7799972,0.7935179,0.73177916,0.33871338,-0.4151063,0.15079124,-0.32486433,-0.08175777,-0.36202934,0.29180953,-0.24988164,-0.1495579,-0.117675856,-0.20649754,-0.20125405,-0.45125273,Lava,34
-0.315709,1.0,1.5135471,-1.1919056,-0.8912186,-0.98992234,-1.1654975,-1.1586745,0.286882,0.3575316,0.3723317,0.2684802,-0.3636804,1.6688241,-0.99093467,-0.99093467,-0.99093467,0.3876617,0.755425,1.3094381,1.7236056,1.44413,1.1390691,-1.0799524,1.708881,-1.1984019,-1.2766868,-1.2644857,-1.2383848,1.4105737,-0.7104784,-0.52987623,-0.4575709,-0.3431619,0.25121957,1.787028,-0.49230593,-0.49107903,-0.50946724,-0.45348758,0.284589,1.6687609,-1.0870879,-1.1280376,-0.88017327,-1.0890627,1.2224522,-0.2564821,-0.3191502,-0.32757092,-0.38898835,0.26731157,1.6688211,0.2910584,0.3846603,0.20310126,-0.4700414,-0.11679975,Lav,25
0.37924594,1.0,0.93645716,0.28013992,0.7303191,0.011418507,-0.37838575,-0.3800196,0.7029955,0.51030916,0.30560386,0.040149745,-0.009189716,0.27949217,-0.24254864,-0.24254864,-0.24254864,-1.0735519,-1.5261407,0.44698882,0.86246103,0.71223295,0.8334545,-0.7625398,0.3340129,1.1205305,1.2172526,0.9326326,0.3174351,-0.4274736,0.27132046,1.1937007,0.85511714,0.7275724,-0.75164807,0.26110303,1.1929914,1.5764713,1.3202163,1.29835,-1.1862525,0.27944458,0.49735802,0.51002514,0.6021964,0.011849197,-0.14895956,0.8802421,0.76707095,0.6009086,0.4118168,-0.41777205,0.27948856,-0.4542658,-0.58128196,-0.5298969,-0.6649086,0.8079387,Lvav,25
1.752047,1.0,-0.08307007,0.88381535,0.5038401,2.2506871,-0.21613024,-0.23489398,-0.3372882,-1.3230218,-0.40812817,0.039605908,-0.2262268,-0.15268837,-0.3928656,-0.3928656,-0.3928656,-0.87346137,1.117615,0.18530075,-0.39645115,0.14711674,0.4497189,-0.5998714,-0.15207346,1.4952126,1.6394539,1.9591361,1.7395637,-1.1841189,1.6946604,1.933681,2.2251422,2.1733656,-1.9316874,-0.023264738,-0.37537867,-0.48705992,-0.31579152,-0.22101164,0.030201776,-0.15273109,0.44014856,0.45112297,0.37891915,0.6700188,-0.8343997,0.55845034,0.03576945,0.70943063,1.0145179,-1.0699302,-0.15269211,-0.13063003,-0.0771504,-0.042816747,-0.6290069,0.60330427,Sav,24
-0.026495919,1.0,-0.47152138,-0.21139434,-0.10889754,0.22514571,-0.005543314,-0.053486936,0.9110522,0.3575316,1.1654532,1.292679,-1.3141191,-0.34387898,-0.695261,-0.695261,-0.695261,-0.12402708,1.1810948,0.49391687,-0.16762018,0.03594458,-0.29367742,0.25180402,-0.31693217,1.6522025,0.0773406,0.88400525,0.33848128,-0.5308309,0.50418687,-0.16183014,0.3374334,0.24088086,-0.38820493,-0.24907607,-0.10824574,-0.3122757,-0.13063371,-0.16073833,-0.029340966,-0.34391713,0.73301756,-0.11244207,0.40725306,0.47128114,-0.65269345,1.0939021,0.70590603,1.2391895,1.3001323,-1.2828925,-0.3438828,-0.44945624,-0.56486666,-0.52867246,-0.6200613,0.49871665,Sav,1
-1.6357102,1.0,-0.6160736,-1.053325,-1.4338856,-1.0650144,0.40182158,0.40700784,-1.5856286,-1.1702442,-0.45135567,0.13425282,-0.25264594,-0.6265528,0.5496169,0.5496169,0.5496169,0.022591462,0.5407366,-0.2043923,-0.5529517,-0.35849613,-0.39371297,0.16207415,-0.6340743,-0.95203567,-0.91815877,-0.8973968,-1.0480374,0.8276142,-1.1313379,-1.7981199,-1.5999987,-1.5443038,1.814681,-0.6462014,-1.4645966,-1.5862356,-1.426245,-1.2854755,1.391119,-0.6264783,0.06544323,0.07680606,-0.06417065,-0.47906265,0.26211786,-1.9907371,-1.7565855,-1.2813038,-0.9194133,0.8333831,-0.62655675,-0.19129235,-0.17474496,-0.21789633,-0.16171746,-0.46832848,Lava,50
-0.6084609,1.0,0.7365057,-1.4032941,-0.693491,-1.0616732,-0.9687196,-0.9995944,1.9513359,0.20475404,0.7075855,0.44687042,-0.53193426,0.6202422,-1.5259027,-1.5259027,-1.5259027,-1.6505655,-0.1320565,0.7996931,0.52961636,0.88212967,0.7685415,-0.7974374,0.6248612,-1.1838168,-1.1605169,-1.4268546,-1.3290715,1.297009,1.077004,-0.5191658,-0.052806642,-0.18986514,0.08030189,0.5991229,0.38143495,-0.42107534,-0.18794556,-0.1823897,-0.017099367,0.62020236,-1.3621495,-1.3560479,-1.6382356,-1.3890777,1.3249544,1.0306792,-0.23228493,0.023514168,-0.1772935,0.060016517,0.6202387,2.3160317,3.7307038,2.807711,2.1635823,-0.66526157,Lav,42
-0.359404,1.0,-0.29188704,0.9481641,0.01349377,0.3503931,1.2648828,1.2721798,0.286882,1.2741971,0.56862944,0.5048009,-0.5298649,-1.4055655,1.1381828,1.1381828,1.1381828,0.7105785,0.16989726,-0.5144281,-0.15646425,-0.113261476,0.4174624,-0.5102779,-1.4096214,0.8169836,0.6080447,0.594548,1.0477272,-0.87856907,-0.16172944,-0.27917796,-0.33960602,-0.24909507,0.07320052,-1.4269027,0.53533435,0.98421496,0.68975616,0.6160014,-0.7101654,-1.4055758,0.56745,0.5803288,0.47280937,1.2744044,-0.98379207,0.42232978,1.002319,0.5170303,0.4738162,-0.530138,-1.4055697,-0.009615691,-0.09741313,0.023325142,1.8096842,-0.6649042,Savav,33
-0.3834325,1.0,-0.33315256,0.7261578,-0.19531862,-0.00907356,1.1785767,1.1605448,0.7029955,0.6630868,1.1837894,1.2737164,-1.2490318,-1.3908745,0.72734,0.72734,0.72734,0.33490288,-0.52776265,0.7648341,0.4831641,1.3039533,1.5433111,-1.4767566,-1.3956964,0.3063338,0.38433287,0.22849976,0.28389934,-0.48960865,0.14759028,-0.58046323,-0.4936207,-0.5171357,0.41493762,-1.4130263,0.9485079,0.9754255,1.11682,1.0626364,-1.0554539,-1.3909034,0.79969865,0.8132788,0.46900025,0.4795181,-0.557702,0.6751007,0.6089993,0.87735206,0.9078119,-0.93405914,-1.3908788,-0.23830177,-0.23809806,-0.18952172,0.66774136,-0.6186194,Savav,86
0.3091514,1.0,-0.76398563,1.7259347,0.7028327,1.2518122,1.4064248,1.4145147,0.286882,0.3575316,0.6185323,0.85342675,-0.86787516,-1.2900834,1.2269471,1.2269471,1.2269471,0.112592526,-1.061549,-0.8689783,-0.75156164,-0.6757846,0.09003512,-0.21656048,-1.2921423,1.2542644,1.2624028,1.0449077,1.4112687,-1.0185355,0.34371293,-0.05316927,0.29297817,0.47011545,-0.6497268,-1.3128166,0.9325422,0.96779877,1.1344376,1.1041194,-1.078135,-1.2901063,1.7802219,1.7967631,1.3781222,1.4530029,-1.0406312,0.7338676,0.8763371,1.1221236,1.2554271,-1.2036242,-1.2900876,-0.16569313,-0.25400046,-0.14984708,1.0982931,-0.6427594,Savav,90
