RADIUS,LENGTH,WALL,SHEAR,CIRCUM,FLOW,NODES,EDGES,GRADIUS,GDIAMETER,AVG_ECCENTRICITY,AVG_SHORTEST_PATH,AVG_CLOSENESS,AVG_BETWEENNESS,AVG_IN_DEGREES,AVG_OUT_DEGREES,AVG_DEGREE,AVG_CLUSTERING,AVG_CORENESS,GRADIUS:FLOW,GDIAMETER:FLOW,AVG_ECCENTRICITY:FLOW,AVG_SHORTEST_PATH:FLOW,AVG_CLOSENESS:FLOW,AVG_BETWEENNESS:FLOW,GRADIUS:WALL,GDIAMETER:WALL,AVG_ECCENTRICITY:WALL,AVG_SHORTEST_PATH:WALL,AVG_CLOSENESS:WALL,AVG_BETWEENNESS:WALL,GRADIUS:SHEAR,GDIAMETER:SHEAR,AVG_ECCENTRICITY:SHEAR,AVG_SHORTEST_PATH:SHEAR,AVG_CLOSENESS:SHEAR,GRADIUS:RADIUS,GDIAMETER:RADIUS,AVG_ECCENTRICITY:RADIUS,AVG_SHORTEST_PATH:RADIUS,AVG_CLOSENESS:RADIUS,AVG_BETWEENNESS:RADIUS,GRADIUS:PRESSURE_AVG,GDIAMETER:PRESSURE_AVG,AVG_ECCENTRICITY:PRESSURE_AVG,AVG_SHORTEST_PATH:PRESSURE_AVG,AVG_CLOSENESS:PRESSURE_AVG,AVG_BETWEENNESS:PRESSURE_AVG,GRADIUS:PRESSURE_DELTA,GDIAMETER:PRESSURE_DELTA,AVG_ECCENTRICITY:PRESSURE_DELTA,AVG_SHORTEST_PATH:PRESSURE_DELTA,AVG_CLOSENESS:PRESSURE_DELTA,GRADIUS:OXYGEN_AVG,GDIAMETER:OXYGEN_AVG,AVG_ECCENTRICITY:OXYGEN_AVG,AVG_SHORTEST_PATH:OXYGEN_AVG,AVG_CLOSENESS:OXYGEN_AVG,AVG_BETWEENNESS:OXYGEN_AVG,GRADIUS:OXYGEN_DELTA,GDIAMETER:OXYGEN_DELTA,AVG_ECCENTRICITY:OXYGEN_DELTA,AVG_SHORTEST_PATH:OXYGEN_DELTA,AVG_CLOSENESS:OXYGEN_DELTA,LAYOUT,SEED
0.57415247,1.0,-0.6359759,0.18683751,0.42083326,0.23308016,0.015379784,0.0067294138,-1.1778169,-0.71335536,-0.78202045,-0.76967365,0.6716382,-0.37167972,0.016730176,0.016730176,0.016730176,0.28780666,1.0107073,0.2765425,0.40848404,0.26878124,0.17650738,-0.48440927,-0.40686032,-0.9892618,-0.65724874,-0.87483287,-1.0901353,1.0689471,-0.3864614,0.3110869,-0.1160001,-0.036712065,0.226012,-0.456166,0.24773069,-0.823069,-0.507609,-0.23707016,0.050944384,-0.37877053,-0.7837559,-1.0218285,-1.1891795,-1.1189351,1.0460993,-0.37175098,-0.04753332,-0.20719732,-0.17217726,0.05894708,-0.31955406,-0.8703985,-0.47087684,-0.44657367,-0.31993106,0.19219582,-0.37167972,-0.32795152,-0.42016476,-0.41306594,-0.53883713,0.27140468,Sav,84
-1.5613759,1.0,-0.3155997,-0.9387674,-1.0700034,-1.1603036,-0.3727802,-0.35820684,-0.9981963,-0.5297611,-0.23167923,0.2786258,-0.47632807,-0.43565038,0.12209399,0.12209399,0.12209399,1.8842901,0.20906322,-0.8398776,-1.1583012,-1.0251312,-1.3296827,1.5681424,-0.40628403,-0.5425963,-0.4108034,-0.45931777,-0.5123932,0.32952404,-0.4237057,-1.129499,-1.4560504,-1.2779864,-0.97669804,0.7582261,-0.91640294,-1.145798,-1.2610973,-1.2143061,1.0907255,-0.42648745,-1.1124667,-1.5447564,-1.1335262,-0.7119576,0.5796076,-0.43573356,-0.7288802,-1.166625,-0.811375,-0.5103803,0.2871421,-1.5728345,-1.1373907,-1.0134497,-0.6847871,0.48426053,-0.43565038,0.16042465,0.46328765,0.30004528,0.24860592,-0.47875243,Lava,27
-0.21687989,1.0,-0.10582879,1.4324749,-0.20341992,0.40124473,1.2214483,1.2356412,1.1572499,0.20461623,1.0408438,1.7917556,-1.827515,-1.218303,1.1768293,1.1768293,1.1768293,3.1011615,-0.74473166,0.1440744,0.2286186,0.2176049,0.29485786,-0.5468461,-1.2102834,0.6239209,-0.30262616,0.38310173,1.4606708,-1.5635432,-1.2232252,0.9699181,0.9372486,1.1691699,1.4581869,-1.1644489,0.33572412,-0.6704748,0.011310551,0.7305049,-0.8599467,-1.2235743,1.4450982,0.10313317,1.0174478,1.4420288,-1.3767217,-1.2183063,1.2886795,1.2877402,1.5658671,1.8596507,-1.5197196,1.1635462,0.23814966,1.0261313,1.6266359,-1.6238667,-1.218303,1.0135375,1.1774864,1.1622424,1.20577,-0.48027384,Savav,26
0.2933721,1.0,-0.3608148,2.0192597,0.38051686,1.0607312,1.8868654,1.886371,0.07952681,-0.07077525,0.09427518,0.3298121,-0.40845433,-1.2259626,1.2737209,1.2737209,1.2737209,-0.17030115,0.46478432,0.5900877,0.8991465,0.70467645,0.76920897,-0.71818423,-1.2168341,-0.08853721,-0.3136298,-0.2244566,0.26473284,-0.47293997,-1.2348386,1.1266975,1.2923076,1.3432384,1.6040869,-1.2032799,-0.5008331,-0.22702597,-0.2874104,0.17373018,-0.27670035,-1.2318423,1.1339618,0.12661135,0.4245235,0.8809767,-0.8896461,-1.2259276,0.87170994,1.3124939,1.3138036,1.7326075,-1.4235994,0.31682318,0.14485154,0.3511964,0.59609425,-0.64089936,-1.2259626,1.0908123,1.0159261,1.0740477,1.2018335,-0.48028365,Savav,24
-0.53451294,1.0,0.9257493,-0.60265225,-0.7839092,-0.6534151,0.57266665,0.5365465,0.07952681,0.20461623,0.4580963,1.1498368,-1.2137123,-0.3654445,-0.010303743,-0.010303743,-0.010303743,0.76018506,0.014099911,-0.6142829,-0.68899184,-0.60363376,-0.60959345,0.13060996,-0.34906432,-0.24264915,0.2528931,0.24798377,0.77282906,-0.81590354,-0.37267387,-0.83020365,-0.8672131,-0.5927318,-0.31809103,0.02351861,0.044844028,-0.5050191,-0.23058343,0.26514736,-0.4041262,-0.37282762,-0.7285307,-0.4294787,-0.1059798,0.05442272,-0.11513862,-0.36529335,-0.92748904,-0.753664,-0.3778951,-0.18076484,-0.058893505,-0.27449715,-0.13062042,0.017705284,0.5184141,-0.6259036,-0.3654445,-0.47940996,-0.495816,-0.5104038,-0.5237104,-0.3611965,Lava,76
0.9060367,1.0,1.87,-0.5614629,-0.2090459,-0.3752299,-0.9827459,-0.9957461,1.5164909,-0.6215582,0.555481,1.4043043,-1.5484308,1.2284384,-1.1706998,-1.1706998,-1.1706998,-0.08691396,-0.12946282,-0.25251982,-0.20934431,-0.21157734,0.5212027,-0.66091484,1.2128184,1.8596303,0.30496106,1.0385298,1.8457606,-1.8402286,1.1757799,0.19321887,-0.38440177,-0.2725199,0.14840843,-0.42425352,1.2492424,0.35311243,0.8383349,1.6014732,-1.5702499,1.205028,2.3196788,-0.6089012,0.76086384,1.0392371,-1.0603211,1.2281657,0.29976052,-0.5851253,-0.41994423,-0.055153854,-0.25232574,1.4376205,-0.644021,0.5436299,1.2641499,-1.3677444,1.2284384,-0.61850446,-0.6971252,-0.66214204,-0.53855824,0.1557118,Lav,26
-0.7662738,1.0,-1.3266762,1.060461,-0.31908277,-0.10286234,2.2362094,2.2095375,0.61838835,0.38821054,0.77611256,1.1585904,-1.2011939,-1.3307475,1.0849041,1.0849041,1.0849041,0.77707744,0.1262583,-0.3526101,-0.18359396,-0.38430914,-0.4160374,-0.02850405,-1.3287491,-0.40012679,-0.49591196,-0.35225514,0.25160414,-0.45349684,-1.3381076,-0.059634566,0.3956159,0.2549564,0.61993825,-0.6477896,-0.9998176,-0.5117903,-0.6854117,-0.23540182,0.12203539,-1.3360534,0.69856787,0.04027692,0.47303998,0.7694806,-0.8379519,-1.3307484,-0.042323876,0.22984056,0.43633547,1.1474668,-1.0684748,0.52534634,0.3573122,0.72341466,0.998693,-1.0254009,-1.3307475,0.11715081,0.50688326,0.20121233,-0.030721873,-0.4772495,Savav,70
1.4276298,1.0,0.9844003,0.47174332,0.8684352,1.0450401,0.10687464,0.114451565,-0.8185758,-1.2641383,-1.1753937,-1.1485707,1.1116865,-0.24875379,0.38810214,0.38810214,0.38810214,-0.37867337,1.0346771,0.8369706,0.8219358,0.9365859,1.3899622,-0.87977105,-0.22643384,0.06590605,-0.07010499,-0.24717264,-0.20473441,0.030947149,-0.24923953,0.63252217,0.49101537,0.55086344,0.68883526,-0.7313884,0.8045689,0.25349602,0.42927936,0.4626445,-0.53322375,-0.24480408,-1.1048208,-0.2952596,-0.31263694,-0.04836336,-0.11021047,-0.24885768,0.31864458,0.12284668,0.014189082,0.18867885,-0.40891427,-0.27324143,-0.82555383,-0.5514624,-0.32351738,0.21382503,-0.24875379,-0.58759457,-0.6573762,-0.6354403,-0.54158574,1.4118812,Sav,78
1.3686116,1.0,0.97164476,0.731201,1.6032106,1.9590379,0.048650637,0.061689693,-0.8185758,-0.5297611,-0.6694518,-1.3292944,1.458534,-0.2648903,0.44339094,0.44339094,0.44339094,-0.46116504,1.0195518,2.3757899,2.4439807,2.1944582,1.3541235,-0.8465138,-0.2514796,-0.25440192,0.13530527,-0.058152657,-0.12141058,0.07014092,-0.25020596,2.0364096,0.7947066,1.0556874,0.62914723,-0.6656139,0.7631547,0.21490169,0.48831362,0.0793656,-0.06032174,-0.24780741,0.1289533,0.4933021,0.34361926,0.3874872,-0.45926508,-0.26468736,1.024085,0.33696964,0.2660349,0.18201338,-0.38556892,-0.108720735,0.13413054,0.18327774,-0.26389557,0.27086887,-0.2648903,-0.5551392,-0.5958295,-0.6010095,-0.5406534,0.92002857,Sav,38
-0.6750974,1.0,-1.2141656,-0.55367583,0.9648916,-0.71797866,-0.63894707,-0.6681828,0.79800886,0.75539917,0.67247504,0.43289202,-0.36693674,-0.28899708,-1.0766463,-1.0766463,-1.0766463,-0.019181427,-0.65961945,-0.8351491,-0.9509723,-0.9297187,-0.7915513,0.4482156,-0.2691656,-0.99709696,-1.2573137,-1.2356426,-1.0962819,1.1611937,-0.28827348,-0.1889879,-0.72132266,-0.45598456,-0.6085572,0.4712886,0.5960922,-0.011111445,-0.018513959,-0.360056,0.38834572,-0.29288974,0.19199243,0.32876873,0.56063646,1.0656635,-1.0500094,-0.2890763,0.0060800985,-0.78220457,-0.3498177,-0.4536887,0.38363084,0.6652208,0.68982905,0.555466,0.2600243,-0.21115679,-0.28899708,0.0074207084,0.12990932,0.0866822,-0.50622374,-0.39193007,Lvav,3
