,R^2,num_observations
0,-9.228360190016716e-06,350
1,-9.036765265424407e-06,312
2,-4.3752832401544595e-07,276
3,-2.1402042631901708e-05,240
4,-1.920406935607133e-05,203
5,-2.2871815378522342e-05,166
6,-3.107022567716555e-05,130
7,-1.4676253994760913e-05,93
8,-4.108023698989882e-09,57
9,0.05810990202980992,21
